"Championnat Régional - ILES MORTES - CHAMPS-CHELLES - 2012-06-10","Course 3","2012-06-10","Régional","206"
"Mathurin Madore","K1H","95.06","123.17","193.08",""
"Nicolas Lair","K1H","95.56","146.08","198.73",""
"Pierre Dampeyrou","K1H","95.74","156.28","200.76",""
"Louis Savart","K1H","96.45","183.11","208.79",""
"Robin Pilard","K1H","96.59","187.8","210.37",""
"Ludovic Ngo","K1H","96.66","181.22","211.16",""
"Florian Perenchio","K1H","97.05","153.4","215.57",""
"Michel Gombert","K1H","97.2","100.92","217.27",""
"Jules Guilbaud","K1H","98.01","174.31","226.42",""
"Rodolphe Rodrigue","K1H","98.05","143.96","226.87",""
"Julien Fougeron","K1H","98.48","160.57","231.73",""
"Jeremy Huguenin","K1H","99.02","229.06","237.84",""
"Tom Barthelemy","K1H","99.1","150.5","238.74",""
"Yohan Marck","K1H","99.84","192.92","247.11",""
"Leo Zouggari","K1H","101.43","181.54","265.08",""
"Thibault Dhennin","K1H","101.8","267.24","269.26",""
"Philippe Thevenin","K1H","102.52","-","277.4",""
"Erwan Chevalier","K1H","103.41","259.86","287.46",""
"Yoann Nurit","K1H","103.49","242.51","288.37",""
"Remi Robin","K1H","103.73","175.68","291.08",""
"Dylan Garin","K1H","103.81","224.63","291.98",""
"Philippe Valeri","K1H","104.52","266.52","300.01",""
"Maxime Cousin","K1H","104.53","301.97","300.12",""
"Gerard Lafargue","K1H","105.87","322.29","315.27",""
"Bastien Meslet","K1H","106.27","223.48","319.79",""
"Jerome Urbanczyk","K1H","106.41","293.34","321.37",""
"Adrien Barlier","K1H","106.41","324.23","321.37",""
"Vincent Villeneuve","K1H","106.79","-","325.67",""
"Vincent Reiter","K1H","106.91","54.16","327.02",""
"Jeanbaptiste Truy","K1H","106.94","325.33","327.36",""
"Vincent Gales","K1H","107.19","286.04","330.19",""
"Maxime Pilard","K1H","107.28","319.47","331.21",""
"Xavier Chantry","K1H","108.72","186.14","347.48",""
"Thomas Postaire","K1H","108.73","347.01","347.6",""
"Jeremy Grippon","K1H","109.16","281.38","352.46",""
"Arthur Leduc","K1H","109.17","188.37","352.57",""
"Francois Durand","K1H","110.09","275.5","362.97",""
"Aubin Decambron","K1H","110.19","341.93","364.1",""
"Gilles Lucas","K1H","111.25","-","376.08",""
"Adrien Suardana","K1H","112.38","370.89","388.85",""
"Alexy Wengler","K1H","113.01","365.43","395.97",""
"Mathieu Domon","K1H","113.17","-","397.78",""
"Aurelien Coiffeteau","K1H","113.36","297.83","399.93",""
"Arnaud Jorand","K1H","114.64","-","414.4",""
"Juan Guerrero","K1H","115.53","-","424.46",""
"Pierre Ferrand","K1H","115.97","413.71","429.43",""
"Mehdy Lakenal","K1H","118.51","410.32","458.14",""
"Theo Zilber","K1H","119.65","432.27","471.03",""
"Theo Loury","K1H","120.25","-","477.81",""
"Jocelyn Racape","K1H","121.88","-","496.24",""
"Emmanuel Queven","K1H","129.45","-","581.8",""
"Paul Beteille","K1H","130.95","596.44","598.76",""
"Daniel Godin","K1H","131.86","-","609.04",""
"Christophe Simonin","K1H","134.69","-","641.03",""
"Pierre Navier","K1H","137.7","-","675.06",""
"Valentin Bonnot","K1H","138.36","-","682.52",""
"Romain Huguenin","K1H","138.63","-","685.57",""
"Pierre Emmanuel Ravet","K1H","147.67","525.91","787.75",""
"Nicolas Boursier","K1H","188.19","-","1245.77",""
"Charles Edouard Noyelle","K1H","193.28","-","1303.3",""
"Yves Souchal","K1H","227.88","-","1694.4",""
"Tristan Mignard","K1H","Nt","-","-",""
"Clement Pinard","K1H","Nt","-","-",""
"Lucas Paulin","K1H","Nt","-","-",""
"Jeremy Coiffeteau","K1H","Nt","-","-",""
"Theo Lefetey","K1H","Nt","-","-",""
"Theo Deslances","K1H","Nt","-","-",""
"Nathan Aubert","K1H","Nt","-","-",""
"Laurent Dupuis","K1H","Nt","-","-",""
"Corentin Robin","K1H","Nt","-","-",""
"Aymeric Dollat","K1H","Nt","-","-",""
"Romain Faurie","K1H","Nt","-","-",""
"Evence Granger","K1H","Nt","-","-",""
"Eric Lamour","K1H","Nt","-","-",""
"Jeremy Cremonesi","K1H","Nt","-","-",""
"Thibaud Vielliard","K1H","Nt","-","-",""
"Laurent Ernou","K1H","Nt","-","-",""
"Philippe Daumont","K1H","Nt","-","-",""
