"Manche de la Coupe de France National 3 Slalom Ouest - 22300 Lannion - Finale - 2019-02-24","Finale","2019-02-24","Nationale 3","191"
"Antoine Hirbec","K1H","111.65","359.84","421.6","Finale A"
"Lionel Tinevez","K1H","111.8","353.75","423.47","Finale A"
"Samuel Le Dean","K1H","112.36","323.35","430.47","Finale A"
"Julien Caillarec","K1H","112.55","397.33","432.85","Finale A"
"Frederic Castryck","K1H","112.66","301.63","434.22","Finale A"
"Stephane Odot","K1H","112.88","414.04","436.97","Finale A"
"Gwenael Marquer","K1H","113.44","388.14","443.97","Finale A"
"Gaston Guilmard","K1H","113.71","361.2","447.35","Finale A"
"Tom Marchand","K1H","113.81","457.8","448.6","Finale A"
"Thibault Lamour","K1H","114.26","352.91","454.22","Finale A"
"Noe Gorvo","K1H","114.45","414.87","456.6","Finale A"
"Alan Olivo","K1H","114.82","479.27","461.22","Finale A"
"Simon Rolland","K1H","115.08","370.46","464.47","Finale A"
"Jules Roos","K1H","115.39","494","468.35","Finale A"
"Stephane Debliquy","K1H","115.6","386.69","470.97","Finale A"
"Hugo Robert","K1H","115.81","510.26","473.6","Finale A"
"Emmanuel Cosse","K1H","116.24","426.1","478.97","Finale A"
"Jonas Le Guen","K1H","116.96","424.99","487.97","Finale A"
"Denis Guilmard","K1H","118.01","334.53","501.09","Finale A"
"Adrien Pierre","K1H","118.54","386.81","507.72","Finale A"
"Mael Segaud","K1H","118.67","868.66","509.34","Finale A"
"Ylan Penvenne","K1H","119.11","482.35","514.84","Finale A"
"Gregory Metayer","K1H","119.32","320.09","517.47","Finale A"
"Corentin Beaumois","K1H","120.38","481.09","530.72","Finale A"
"Yann Le Bourser","K1H","121.52","434.38","544.97","Finale A"
"Maxence Davy","K1H","121.82","538.28","548.72","Finale A"
"Ronan Nedelec","K1H","122.58","537.16","558.21","Finale A"
"Matheo Morin","K1H","122.75","604.43","560.34","Finale A"
"Thomas Hado","K1H","122.89","669.57","562.09","Finale A"
"Aurelien Le Duc","K1H","123.39","341.35","568.34","Finale A"
"Florian Torche","K1H","124.14","312.32","577.71","Finale A"
"Edouard Cozigou","K1H","124.14","379.7","577.71","Finale A"
"Romain Brouard","K1H","125.71","507.37","597.34","Finale A"
"Titouan Aussant","K1H","127.15","451.5","615.34","Finale A"
"Erwann Le Jeune","K1H","127.19","508.84","615.84","Finale A"
"Matthieu Escolano","K1H","127.19","561.12","615.84","Finale A"
"Come Le Gal","K1H","127.56","346.61","620.46","Finale A"
"Romain Foulon","K1H","128.8","576.87","635.96","Finale A"
"Alexis Pernelle","K1H","130.44","445.34","656.46","Finale A"
"Jules Brisson","K1H","133.46","493.4","694.2","Finale A"
"Maxime Berthaut","K1H","156.23","369.16","978.81","Finale A"
"Baptiste Loy","K1H","166.54","413","1107.67","Finale A"
"Antoine Sapin","K1H","169.36","519.06","1142.92","Finale A"
"Alexis Carpentey","K1H","176.09","402.41","1227.04","Finale A"
"Antoine Aubert","K1H","180.12","526.13","1277.41","Finale A"
"Nicolas Bidault","K1H","224.71","454.62","1834.75","Finale A"
"Titouan Aussant","C1H","126.28","631.91","534.3","Finale B"
"Julien Caillarec","C1H","127.79","523.15","552.28","Finale B"
"Victor Lagleyze","C1H","131.18","594.38","592.62","Finale B"
"Killian Flegeau","C1H","132.7","590.73","610.72","Finale B"
"Laurent Chiron","C1H","134.69","616.67","634.41","Finale B"
"Jean Aussant","C1H","134.81","487.75","635.83","Finale B"
"Louis Beaumois","C1H","135.42","496.71","643.1","Finale B"
"Baptiste Loy","C1H","138.59","1071.27","680.83","Finale B"
"Cedric Collet","C1H","139.88","530.21","696.19","Finale B"
"Roman Souffez","C1H","145.44","650.28","762.38","Finale B"
"Regis Navinel-dubois","C1H","150.48","670.13","822.37","Finale B"
"Nino Poisson","C1H","153.08","641.05","853.32","Finale B"
"Yannick Courtay","C1H","157.32","822.63","903.8","Finale B"
"Antoine Bizot","C1H","180.68","403.13","1181.87","Finale B"
"Mathieu Aussant","C1H","216.86","527.38","1612.55","Finale B"
"Elodie Morin - SÉrot","K1D","147.77","611.45","665.58","Finale B"
"Gwendoline Hall","K1D","164.61","573.06","851.86","Finale B"
"Juna Marquet","K1D","201.42","515.85","1259.01","Finale B"
"Valentine Jussy","K1D","204.27","598.72","1290.54","Finale B"
"Anna Gouraud","K1D","229.72","786.41","1572.04","Finale B"
"Zoe Marchand","K1D","236.76","769.7","1649.91","Finale B"
"Alexandra Rochard","K1D","251.23","571.43","1809.96","Finale B"
"Emma Chevallier","K1D","443.37","1534.28","3935.26","Finale B"
"Laurie Beaurepere","K1D","476.76","504.49","4304.58","Finale B"
"Deborah Larsonneur","K1D","Abs","-","-","Finale B"
"Carla Leray","K1D","Des","-","-","Finale B"
"Simon Seuru","K1H","113.18","407.62","445.72","Finale B"
"Eliott Reine","K1H","114.21","496.72","458.6","Finale B"
"Alain Droniou","K1H","115.92","411.77","479.97","Finale B"
"Romain Margerie","K1H","117.42","474.58","498.72","Finale B"
"Yoann Le Guyader","K1H","118.11","481.81","507.34","Finale B"
"Tom Milon","K1H","119.18","499.8","520.72","Finale B"
"ClÉment Louveau","K1H","120.32","429.21","534.97","Finale B"
"Theo Douady","K1H","121.29","351.06","547.09","Finale B"
"Maxime Lignereux","K1H","122.34","526.9","560.21","Finale B"
"Milio Le Touze","K1H","123.27","607.76","571.84","Finale B"
"Cesar Le Berder","K1H","123.84","518.14","578.96","Finale B"
"Martin Magras","K1H","124.07","415.01","581.84","Finale B"
"Kilian Berlu","K1H","124.16","564.16","582.96","Finale B"
"Aubin Davaic","K1H","127.56","495.46","625.46","Finale B"
"Elouan Pennors","K1H","127.6","499.49","625.96","Finale B"
"Yann Curti","K1H","127.8","532.72","628.46","Finale B"
"Noe Caillet","K1H","128.17","624.12","633.08","Finale B"
"Juan Riu","K1H","128.21","695.11","633.58","Finale B"
"Bastien Mailly","K1H","128.7","641.66","639.71","Finale B"
"Maxence Gautier Grall","K1H","129.13","549.45","645.08","Finale B"
"Ewen L'hereec","K1H","129.63","423.86","651.33","Finale B"
"Mathis Odot","K1H","130.66","486.31","664.21","Finale B"
"Vincent Donval","K1H","131.43","575.26","673.83","Finale B"
"Samuel Piton","K1H","132.57","836.29","688.08","Finale B"
"Luck Thomas","K1H","132.62","602.58","688.71","Finale B"
"Riwal Bourdoulous","K1H","133.56","564.42","700.45","Finale B"
"Louison Laumondais","K1H","134.28","535.57","709.45","Finale B"
"Dorian Ollivier","K1H","135.16","389.05","720.45","Finale B"
"Marwan Bazot","K1H","135.36","596.88","722.95","Finale B"
"Ewann Hervouet","K1H","136.28","688.9","734.45","Finale B"
"Samuel Flament","K1H","136.34","613.17","735.2","Finale B"
"Timeo Cornic","K1H","136.78","640.11","740.7","Finale B"
"Amael Samson","K1H","137.59","544.21","750.83","Finale B"
"Louis Beaumois","K1H","138.14","834.84","757.7","Finale B"
"Leo Le Mat","K1H","139","531","768.45","Finale B"
"Mael Calvez","K1H","139.07","630.52","769.32","Finale B"
"Benoit Reine","K1H","140.08","554.28","781.95","Finale B"
"Florian Szabo","K1H","143.09","739.83","819.57","Finale B"
"Pierre Rochon","K1H","144.23","598.97","833.82","Finale B"
"Baptiste Madic","K1H","145.88","664.88","854.44","Finale B"
"Yann Vergelin","K1H","149.47","899.02","899.32","Finale B"
"Riwan Le Roy","K1H","150.66","724.11","914.19","Finale B"
"Yves Hellemot","K1H","154.91","618.55","967.31","Finale B"
"Cedric Segaud","K1H","155.42","774.1","973.68","Finale B"
"Regis Navinel-dubois","K1H","158.11","767.39","1007.31","Finale B"
"Damien Guilloux","K1H","159.38","676.65","1023.18","Finale B"
"Louis Nivet","K1H","160.78","797.2","1040.68","Finale B"
"Gerard Lemonnier","K1H","163.64","790.24","1076.43","Finale B"
"Nolann Maudet","K1H","170.32","761.74","1159.92","Finale B"
"Brieuc Reucheron","K1H","173.51","558.02","1199.79","Finale B"
"Pacome Michel","K1H","174.13","681.15","1207.54","Finale B"
"Victor Robert","K1H","180.04","657.48","1281.41","Finale B"
"Axel Brin","K1H","184.6","664.21","1338.41","Finale B"
"Valentin Rolland","K1H","187.48","626.04","1374.41","Finale B"
"Logan Toubel","K1H","192.25","704.96","1434.03","Finale B"
"Maxime Moreau","K1H","194.58","757.18","1463.15","Finale B"
"Thierry Dugue","K1H","203.27","809.41","1571.77","Finale B"
"Ethan Robert","K1H","212.14","756.77","1682.63","Finale B"
"Victor Perebaskine","K1H","213.79","751.49","1703.26","Finale B"
"Steeve Protais","K1H","234.78","923.16","1965.61","Finale B"
"Mael Monjaret","K1H","235.96","474.86","1980.36","Finale B"
"Emilien Gobin","K1H","298.13","753.32","2757.43","Finale B"
"Alexandre Bourliaud","K1H","Abs","-","-","Finale B"
