"Slalom Bertrand - Réals - 2005-10-01","Course 1","2005-10-01","Régional","122"
"Nicollaud Margaux","K1D","303.21","-","749",""
"D'arcangues Gabrielle","K1D","312.81","476","805",""
"Camille Giraud","K1D","314.49","667","814",""
"Rinquin Amélie","K1D","403.29","-","1327",""
"Domergue Vinciane","K1D","423.09","-","1442",""
"Alicia Jourdier","K1D","424.44","-","1449",""
"Alizon Konig","K1D","481.84","405","1781",""
"Le Meillour Julia","K1D","501.38","-","1893",""
"Gaudin Marianne","K1D","718.02","861","3143",""
"Guizard Melanie","K1D","770.53","-","3447",""
"Duwyn Iris","K1D","904.00","-","4217",""
"Abadie Marie","K1D","1088.63","-","5282",""
"Dupuys Marion","K1D","1215.05","-","6012",""
"Sebastien Combot","K1H","165.61","44","79",""
"Florian Berail","K1H","169.63","53","106",""
"Benoit Molinier","K1H","171.56","55","119",""
"Benoit Fer","K1H","177.66","132","158",""
"Colin Molinier","K1H","178.52","171","164",""
"Luc Doye","K1H","179.42","116","170",""
"Nicolas Masson","K1H","182.43","210","190",""
"Marc Laborde","K1H","183.06","191","194",""
"Lesquer David","K1H","183.21","143","195",""
"Bernard Babi","K1H","184.22","80","201",""
"Serret Mathieu","K1H","184.37","184","202",""
"Delisse Thomas","K1H","184.47","281","202",""
"Jeremy Moureaux","K1H","184.58","152","203",""
"Octobre Olivier","K1H","185.09","-","206",""
"Jeanluc Nitard","K1H","187.01","300","220",""
"Hugo Cailhol","K1H","187.36","-","222",""
"Yannick Besse","K1H","187.49","243","223",""
"Mathieu Cataldo","K1H","188.01","220","226",""
"Nicolas Durand","K1H","188.29","242","228",""
"Picco Pierre","K1H","188.97","270","232",""
"Boris Doye","K1H","189.35","266","234",""
"Thomas Rieu","K1H","193.73","337","263",""
"Boris Lesimple","K1H","195.12","224","272",""
"Gregoire Cayez","K1H","195.62","306","275",""
"Paul Graton","K1H","196.88","297","283",""
"Molinier Vincent","K1H","199.78","-","302",""
"Olivier Cain","K1H","200.37","235","306",""
"Cossou Antoine","K1H","201.63","283","314",""
"Frederic Saint Agne","K1H","202.39","363","320",""
"Garros Samuel","K1H","212.39","333","384",""
"Pitman Arnaud","K1H","213.81","-","394",""
"Virgile Pigache-donnet","K1H","215.01","-","402",""
"Thibaud Lacour","K1H","215.24","-","403",""
"Thibault Gache","K1H","217.62","-","418",""
"Salame Jean","K1H","221.00","321","441",""
"Rossato Bastien","K1H","221.02","-","441",""
"Pelletier Jonas","K1H","225.19","472","468",""
"Pierre Moreau","K1H","227.39","392","482",""
"Hugues Lesimple","K1H","229.59","322","497",""
"Romain Chabrol","K1H","233.45","203","522",""
"Florent Lagorio","K1H","234.17","-","527",""
"Marc Cailhol","K1H","240.07","572","565",""
"Pierre Demateis","K1H","240.20","622","566",""
"Axel Mulle","K1H","240.33","276","567",""
"Bastien Salame","K1H","240.79","-","570",""
"Guilhem Becvort","K1H","241.05","786","572",""
"Pierrick Gaudin","K1H","242.29","-","579",""
"Hugo Biso","K1H","243.43","172","587",""
"Olivier Blanc","K1H","243.79","142","590",""
"Dubray Mathieu","K1H","244.74","276","596",""
"Salame Francois","K1H","258.39","-","684",""
"Valentin Grollemund","K1H","270.45","462","764",""
"Jonathan Delagnes","K1H","275.98","192","800",""
"Letarouilly Guillaume","K1H","276.51","-","803",""
"Levrien Corentin","K1H","290.30","797","892",""
"Ange Paul Micaelli","K1H","324.29","-","1114",""
"Adrien Quillet","K1H","329.86","-","1151",""
"Frasseto Romain","K1H","348.03","-","1270",""
"Alexandre Germinal","K1H","348.60","1250","1273",""
"Runel-Paulhan Sylvain","K1H","420.01","-","1738",""
"Oleszek Mathieu","K1H","443.28","-","1890",""
"Morgan Forget","K1H","495.39","-","2230",""
"Damien Chammings","K1H","556.40","-","2628",""
"Claparede Jonas","K1H","570.73","-","2722",""
"Cezaruk Nicolas","K1H","594.88","-","2879",""
"Boutet Charly","K1H","831.62","-","4423",""
"Plancade Robin","K1H","853.33","-","4565",""
