"SLALOM REGIONAL DE SAINT PIERRE DE BOEUF - Saint Pierre De Boeuf - 2007-03-10","Course 1","2007-03-10","Régional","196"
"Olivier Blanc","K1H","255.45","180","486",""
"Jeremy Viquesnel","K1H","256.39","704","491",""
"Cyril Gisbert","K1H","256.83","501","494",""
"Debicki Baptiste","K1H","257.18","-","496",""
"Hugues Peyret","K1H","257.22","-","496",""
"Koechlin Thomas","K1H","257.53","-","498",""
"Baudry Pierre Luc","K1H","257.66","495","499",""
"Thomas Dandel","K1H","257.82","490","500",""
"Sylvain Ferry","K1H","258.32","358","502",""
"Herrada Jean-Marc","K1H","258.71","574","504",""
"Marc Janeriat","K1H","259.48","482","508",""
"Sebastien Chapuis","K1H","260.15","-","512",""
"Barbosa Florent","K1H","261.36","419","519",""
"Adrien Quillet","K1H","261.91","502","522",""
"Romain Musy","K1H","261.92","403","522",""
"Oleon Jeancharles","K1H","261.95","367","522",""
"Sebastien Lepaulard","K1H","262.42","177","525",""
"Pierron David","K1H","263.52","-","531",""
"Rety Simon","K1H","269.35","391","565",""
"Sylvain Viallon","K1H","270.68","-","571",""
"Ludovic Smal","K1H","270.77","581","572",""
"Thomas Neime","K1H","270.92","555","573",""
"Corentin Metral","K1H","271.44","523","576",""
"Dominique Kremer","K1H","277.83","1001","612",""
"Olivier Bret","K1H","279.31","586","621",""
"Morel Luc","K1H","280.28","524","626",""
"Adrien Tappero","K1H","283.45","666","643",""
"Jeremy Pitton","K1H","284.97","696","652",""
"Fabrice Magueur","K1H","285.67","-","656",""
"Pradeau Xavier","K1H","290.22","390","682",""
"Neveu Remi","K1H","292.26","-","694",""
"Clement Rota","K1H","292.69","-","695",""
"Pierre Lagarde","K1H","294.06","519","703",""
"Laurent Fieschi","K1H","301.88","-","748",""
"Champeau Laurent","K1H","302.56","466","752",""
"Dimitri Durannot","K1H","305.93","506","770",""
"Malderez Sebastien","K1H","306.62","396","774",""
"Bayle Damien","K1H","306.80","490","775",""
"Deschamps Cedric","K1H","311.10","-","800",""
"Baptiste Smagghe","K1H","311.57","-","802",""
"Jeremy Tindiliere","K1H","315.19","628","822",""
"Remi Palisse","K1H","319.78","-","848",""
"Gibert Stephane","K1H","329.76","-","905",""
"Charles Redon","K1H","331.58","672","915",""
"Alexandre Bordas","K1H","332.36","1453","919",""
"Adrien Margot - Vallee","K1H","336.90","658","945",""
"Florent Bret","K1H","339.21","817","958",""
"Sebastien Villecourt","K1H","339.79","-","961",""
"Thomas Genet","K1H","344.76","-","989",""
"Ferraud Damien","K1H","344.78","-","990",""
"Kevin Callerin","K1H","349.77","-","1017",""
"Frederic Blanrue","K1H","360.26","385","1076",""
"Thomas Pinel","K1H","364.83","793","1102",""
"Adrien Kaiser","K1H","365.04","1121","1104",""
"Colas Geier","K1H","373.04","-","1148",""
"John Leger","K1H","395.12","-","1273",""
"Yanis Burdet","K1H","402.35","395","1314",""
"Damien Chammings","K1H","410.50","722","1360",""
"Picot Julien","K1H","445.36","-","1557",""
"Colin Marragou","K1H","454.72","-","1609",""
"Clement Gourmelon","K1H","466.75","-","1677",""
"Remi Vallin","K1H","492.69","1413","1824",""
"Olivier Kremer","K1H","507.91","952","1909",""
"Sebastien Disdier","K1H","613.19","-","2503",""
"Alexandre Rozand","K1H","685.18","-","2908",""
