"Compétition Régionale de Slalom - Chasseneuil Du Poitou - Finale - 2015-01-25","Finale","2015-01-25","Régional","87"
"Jeremi Toso","K1H","141.05","301.42","431.34","Finale A"
"Florentin Saumon","K1H","141.5","397.98","435.77","Finale A"
"Christophe Joubert","K1H","149.92","569.55","518.55","Finale A"
"Merwan Fliou","K1H","150.9","470.63","528.18","Finale A"
"Mathias Pannetier","K1H","163.96","-","656.58","Finale A"
"Yann Maillocheau","K1H","170.13","513.08","717.24","Finale A"
"Zeph Scamps","K1H","186.93","436.17","882.4","Finale A"
"Etienne Chauvin","K1H","190.82","285.01","920.65","Finale A"
"Quentin Chauvin","K1H","Abs","-","-","Finale A"
"Matheo Gillaizeau","K1HM","152.77","-","-","Finale A"
"Julien Brice","K1HM","185.36","-","-","Finale A"
"Younes Kismi","K1HM","199.94","-","-","Finale A"
"Ulysse Giel","K1HM","241.66","-","-","Finale A"
"Regis Navinel-dubois","K1HM","354.06","-","-","Finale A"
"Clement Capillon","K1HM","Abd","-","-","Finale A"
"Theo Foucher","C1H","141.82","363.92","377.52","Finale B"
"Etienne Chauvin","C1H","146.8","420.33","424.15","Finale B"
"Logan Stenton","C1H","148.97","370.62","444.46","Finale B"
"Fabrice Lacoudre","C1H","163.64","473.75","581.83","Finale B"
"Adrien Latus","C1H","188.8","-","817.4","Finale B"
"Yann Maillocheau","C1H","265","-","1530.87","Finale B"
"Michel Daupeux","C1H","Abs","-","-","Finale B"
"AdÈle Aguesseau","K1D","294","559.16","1607.52","Finale B"
"Margaux Longeau","K1D","557.25","975.01","3897.87","Finale B"
"Eliette Labrue","K1D","672.59","-","4901.35","Finale B"
"Valentin Alliot","K1H","123.81","242.33","266.85","Finale B"
"Raphael Jean","K1H","151.76","473.8","541.64","Finale B"
"Michel Daupeux","K1H","155.94","556.19","582.73","Finale B"
"Adrien Latus","K1H","157.16","566.28","594.73","Finale B"
"Franck Le Coz","K1H","159.44","-","617.14","Finale B"
"Antoine Bougette","K1H","159.73","574.01","619.99","Finale B"
"Maxime Bouvet","K1H","159.84","536.76","621.07","Finale B"
"Maxime Antoine","K1H","164.01","581.11","662.07","Finale B"
"Christian Belouin","K1H","164.42","617.58","666.1","Finale B"
"Remi Princet","K1H","172.98","-","750.26","Finale B"
"Dyllan Van De Weghe","K1H","175.49","575.43","774.93","Finale B"
"Eric Pouradier","K1H","185.98","748.13","878.06","Finale B"
"Thierry Dugue","K1H","187.93","664.4","897.24","Finale B"
"Gerard Lemonnier","K1H","195.59","640.37","972.54","Finale B"
"Jean-christophe Dubois","K1H","202.32","1053.01","1038.71","Finale B"
"Nicolas Mousset","K1H","239.83","1173.09","1407.48","Finale B"
"Thierry Le Bonniec","K1H","245.75","729.95","1465.68","Finale B"
"Andre Filipe Nunes Marques","K1H","348.37","1906.82","2474.57","Finale B"
"Louis Pezat","K1H","411.61","-","3096.3","Finale B"
"Anthony Penaud","K1H","584.69","-","4797.9","Finale B"
"Jonathan Bourdier","K1H","Abs","-","-","Finale B"
"Arnaud Verrons","K1HM","181.89","-","-","Finale B"
"Thimon Didier","K1HM","213.96","-","-","Finale B"
"Tanguy Odot","K1HM","219.17","-","-","Finale B"
"Lucas Mesquita","K1HM","352.94","-","-","Finale B"
"Martin Lassiste","K1HM","418.85","-","-","Finale B"
