"Championnat Interrégional Slalom Nord (finale N3) - Picquigny - Qualification - Manche 1 - 2017-06-17","Qualification - Manche 1","2017-06-17","Nationale 3","190"
"Gaspard Perrio","K1H","127.7","388.28","454.32",""
"Nicolas Dupres","K1H","127.91","449.06","456.67",""
"Isidore Dubuisson","K1H","128.85","394.92","467.18",""
"Quentin Angot","K1H","129.53","350.15","474.79",""
"Thomas Martinet","K1H","130","377.59","480.05",""
"Louison Laumondais","K1H","130.34","388.34","483.85",""
"Charles Bre","K1H","130.34","448.88","483.85",""
"Simon Philibert","K1H","130.7","392.6","487.88",""
"Romain Bezies","K1H","130.72","366.29","488.1",""
"Jeremy Huguenin","K1H","131","356.78","491.23",""
"Sebastien Delaunay","K1H","132.68","449.4","510.03",""
"Fabien Bonvalet","K1H","133.26","522.68","516.52",""
"Theo Viallard","K1H","133.55","488.74","519.76",""
"Benjamin Soroka","K1H","134.94","388.24","535.31",""
"Vladimir Krsmanovic","K1H","136.06","452.66","547.84",""
"Mathis Piepho","K1H","136.6","545.22","553.88",""
"Enzo Claeys","K1H","137.25","473.46","561.15",""
"Yann Castryck- -genereux","K1H","139.09","588.68","581.74",""
"Basile Drapier","K1H","140.38","463.42","596.17",""
"Marceau Decarsin","K1H","142.43","388.73","619.1",""
"Alexis Agent","K1H","142.74","483.39","622.57",""
"Philippe Valeri","K1H","143.69","533.04","633.2",""
"Gerard Lafargue","K1H","144.26","493.73","639.58",""
"Alberic Carpentier","K1H","144.59","516.54","643.27",""
"Leonard Soland","K1H","145.11","590.04","649.08",""
"Philippe Piat","K1H","145.31","496.46","651.32",""
"Elouan Fouquier","K1H","147.04","538.46","670.68",""
"Theo Zilber","K1H","148.73","385.48","689.58",""
"Estephe Decarsin","K1H","151.07","450.79","715.76",""
"Noe Vannier","K1H","152.85","600.56","735.67",""
"Dimitri Houlier","K1H","153.36","561.38","741.38",""
"Gabriel Benoit","K1H","153.38","668.31","741.6",""
"Gaetan Laperle","K1H","153.67","708.48","744.85",""
"Hugo Pidoux","K1H","155.01","377.02","759.84",""
"Dante Bourlet De La Vallee","K1H","155.59","632.59","766.33",""
"Maxence Galy","K1H","156.81","610.84","779.97",""
"Hector Combes","K1H","160.44","304.22","820.58",""
"Thomas Gossieaux","K1H","161.05","731.29","827.41",""
"Sebastien Masseline","K1H","161.39","655.64","831.21",""
"Noe Perreau","K1H","161.85","249.93","836.36",""
"Thibaut Evrard","K1H","162.35","543.75","841.95",""
"Nathan Saintobert","K1H","162.63","574.52","845.08",""
"Roman Vivier","K1H","163.92","501.21","859.51",""
"Quentin Mannier","K1H","168.17","321.34","907.06",""
"Dimitry Vandenabeele","K1H","171.67","339.63","946.21",""
"Theo Loury","K1H","172.37","325.84","954.04",""
"Bruno Brousselle","K1H","172.67","863.44","957.4",""
"Nicolas Candieu","K1H","177.07","352.76","1006.62",""
"Eric Bernard","K1H","177.81","724.37","1014.9",""
"Remi Blaud","K1H","178.21","497.29","1019.38",""
"Tom Armand","K1H","178.91","732.91","1027.21",""
"Mathis Pomares","K1H","180.82","927.81","1048.58",""
"Amaury Brucher","K1H","184.14","400.93","1085.72",""
"Johann Sacleux","K1H","201.54","582.88","1280.37",""
"Matteo Figueiredo Alves","K1H","220.78","727.49","1495.61",""
"Kilian Marais","K1H","222.58","863.58","1515.75",""
"Guillaume Munoz","K1H","Abs","-","-",""
"Julien Duahaut","K1H","Abs","-","-",""
"Valentin Fleury","K1H","Abs","-","-",""
"Jeremie Hepner","K1H","Abs","-","-",""
"Clement Font-boinel","K1H","Abs","-","-",""
"Ilan Foulongani","K1H","Abs","-","-",""
"Pierre Yves Tempier","K1H","Des","-","-",""
"Damien Marcq","K1H","Abs","-","-",""
