"Compétition Régionale de Slalom - Chateauneuf Sur Cher - Course n°1 | Qualification - 2015-11-21","Course n°1 | Qualification","2015-11-21","Régional","98"
"Jeremy Tabourin","K1H","111.39","373.87","414.98",""
"Kilian Godart","K1H","112.84","425","432.7",""
"Flavien Portier","K1H","113.87","471.02","445.28",""
"Charles Beaumont","K1H","114.04","420.11","447.36",""
"Gauthier Vanden  Abeele","K1H","115.1","357.03","460.31",""
"Arthur Lagleyze","K1H","115.76","454.73","468.37",""
"Quentin Robin","K1H","117.7","372.25","492.08",""
"Guillaume Arnaud","K1H","118.16","-","497.7",""
"Olivier Brochard","K1H","118.29","447.79","499.29",""
"Samuel Breton","K1H","119.87","473.66","518.59",""
"Erwan Degreve","K1H","121.25","494.01","535.45",""
"Yoann Turowsky","K1H","124","-","569.05",""
"Ludovic Couture","K1H","124.51","438.44","575.28",""
"Collin Pouradier","K1H","127.57","532.29","612.67",""
"Claude Flouret","K1H","129.21","699.71","632.71",""
"Nicolas Petipez","K1H","132.8","692.54","676.57",""
"Nicolas Leconte","K1H","133.04","536.95","679.5",""
"Bruno Louviot","K1H","134.88","-","701.99",""
"Claude Breuzard","K1H","140.19","694.23","766.86",""
"Reginald Grossin","K1H","140.34","-","768.7",""
"Thibaud Lacour","K1H","149.76","284.24","883.79",""
"Fabien Bezut","K1H","156.13","754.04","961.62",""
"Yann Dhieux","K1H","164.07","888.87","1058.64",""
"Andre Filipe Nunes Marques","K1H","173.97","2420.3","1179.6",""
"LÉo Favrie","K1H","184.88","-","1312.9",""
"Thibault Dobigny","K1H","191.72","-","1396.47",""
"Mael Poirier","K1H","194.17","-","1426.4",""
"Johann Abadie","K1H","198.67","-","1481.39",""
"Thomas Galbrun","K1H","220.53","1333.1","1748.48",""
"Hugo Chevalier","K1H","254.84","-","2167.68",""
"Tudual Telbois","K1H","264.29","-","2283.14",""
"Nicolas Dequeant","K1H","271.28","-","2368.55",""
"Eric Pouradier","K1H","306.48","791.92","2798.63",""
"Nicolas Mousset","K1H","312.14","1042.7","2867.79",""
"Anthony Dupoux","K1H","324.21","-","3015.26",""
"Romain Caburol","K1H","399.95","1427.91","3940.67",""
"Gerard Lafargue","K1H","Abs","-","-",""
"Gautier Nammour","K1H","Abd","-","-",""
"Alex Louveau","K1HM","103.12","-","313.94",""
"Theo Anton  Heteau","K1HM","122.39","-","549.38",""
"Johan Piat","K1HM","138.53","-","746.58",""
"Thijs Duvillard","K1HM","141.28","535.55","780.18",""
"Hugo Bardot","K1HM","156.1","-","-",""
"Colin Dobigny","K1HM","166.13","-","-",""
"Paul Farrugio","K1HM","184.87","715.85","1312.77",""
"Tristan Licoine Mercy","K1HM","186.01","-","1326.7",""
"Sander Duvillard","K1HM","187.54","615.98","1345.4",""
"Noe Lhote","K1HM","191.12","-","1389.14",""
"Lucas Corbin","K1HM","191.28","-","1391.09",""
"Leo Fresneda","K1HM","195.08","-","1437.52",""
"Leo Patypilate","K1HM","199.36","-","1489.82",""
"Thomas Ukalovic","K1HM","254.65","-","-",""
"Matheo Riba","K1HM","264.13","-","-",""
"Alexis Jarrige","K1HM","267.66","-","2324.32",""
"Olivier Fournier","K1HM","342.34","-","3236.78",""
