"Sélectif Régional de Slalom - Pont Querra Plemet - Finale - 2016-02-14","Finale","2016-02-14","Régional","97"
"Yannis Houze","C1HM","222.89","-","1499.29","Finale B"
"Luck Thomas","C1HM","230.85","-","1586.3","Finale B"
"Ewen Berrest","C1HM","Des","-","-","Finale B"
"Jules Roos","C1HM","Des","-","-","Finale B"
"Jann Le Corre","K1D","139.53","379.01","480.08","Finale B"
"Bleuenn Le Foll","K1D","184.49","726.28","936.75","Finale B"
"Taelle Cardin","K1D","186.44","580.76","956.56","Finale B"
"Dorian Ollivier","K1H","114.58","281.23","377.95","Finale B"
"Samuel Flament","K1H","120.06","358.3","440.85","Finale B"
"Erwann Le Jeune","K1H","123.19","404.09","476.77","Finale B"
"Jonas Flament","K1H","123.82","409.45","484","Finale B"
"Melenn Aubry","K1H","125.56","364.7","503.98","Finale B"
"Come Le Gal","K1H","125.67","485.59","505.24","Finale B"
"Gaston Canevet","K1H","126.24","488.92","511.78","Finale B"
"Nathan Chaumier","K1H","128.82","-","541.39","Finale B"
"David Hamon","K1H","132.26","433.8","580.88","Finale B"
"Deverig Cardiec","K1H","136.77","570.53","632.64","Finale B"
"Leo Paillat","K1H","137.03","478.42","635.63","Finale B"
"Yoann Donval","K1H","139.42","496.62","663.06","Finale B"
"Sylvain Premel","K1H","141.54","568.94","687.39","Finale B"
"Malo Querre","K1H","145.71","601.71","735.25","Finale B"
"Christian Le Parc","K1H","146.57","650.5","745.13","Finale B"
"Mael Crespel","K1H","147.51","647.05","755.91","Finale B"
"Gerard Lemonnier","K1H","150.14","636.51","786.1","Finale B"
"Liam Esteffe","K1H","164.17","927.02","947.14","Finale B"
"Regis Navinel-dubois","K1H","191.2","543.65","1257.38","Finale B"
"Fabiano Roma","K1H","192.53","654.85","1272.65","Finale B"
"Emmanuel L'anton","K1H","240.45","-","1822.67","Finale B"
"Rafael Lerusse","K1HM","147.11","-","751.32","Finale B"
"Enzo Lemaitre","K1HM","147.93","-","760.74","Finale B"
"Luck Thomas","K1HM","152.65","-","814.91","Finale B"
"Jules Roos","K1HM","154.86","-","840.28","Finale B"
"Glen Le Meur","K1HM","188.03","-","1221","Finale B"
"Tanguy Odot","K1HM","191.53","1293.58","1261.17","Finale B"
"Thomas Ollivo","K1HM","197.83","-","1333.48","Finale B"
