"Sélectif Régional de Slalom - 53300 Cigne - Finale - 2019-12-08","Finale","2019-12-08","Régional","88"
"Thibaud Chevalier","K1H","119.96","343.57","529.38","Finale A"
"Juan Riu","K1H","124.46","535.72","585.19","Finale A"
"Mathieu Aussant","K1H","126.56","420.19","611.23","Finale A"
"Bastien Mailly","K1H","137.81","537.13","750.75","Finale A"
"Max Derame","K1H","157.09","232.02","989.84","Finale A"
"Thomas Brochard","K1H","173.18","465.86","1189.38","Finale A"
"Louison Laumondais","K1H","190.62","607.46","1405.65","Finale A"
"Vincent Froger","K1H","263.25","551.79","2306.35","Finale A"
"ClÉment Louveau","K1HM","111.37","469.73","422.86","Finale A"
"Arthur Lescarmontier","K1HM","135.98","613.4","728.05","Finale A"
"Oscar Lapiche--dedun","K1HM","186.43","872.13","1353.69","Finale A"
"Nino Lechevallier","K1HM","191.25","893.35","1413.47","Finale A"
"Matteo Weinegaessel","K1HM","244.52","554.99","2074.08","Finale A"
"Romane Bronchet","C1D","190.32","424.01","1013.57","Finale B"
"Salome Huet","C1D","339.18","758.31","2551.94","Finale B"
"Vincent Froger","C1H","126.72","405.64","543.39","Finale B"
"Yoann Bizot","C1H","144.37","433.67","751.84","Finale B"
"Quentin Monot","C1H","178.84","908.81","1158.96","Finale B"
"Antoine Sapin","C1H","189.88","1813.24","1289.35","Finale B"
"Christopher Geslin","C1H","475.74","4101.35","4665.55","Finale B"
"Thomas Gossieaux","C1H","Des","-","-","Finale B"
"Salome Huet","K1D","192.91","540.96","1163.83","Finale B"
"Zoe Marchand","K1D","206.37","908.94","1311.54","Finale B"
"Daphnee Mouchelet","K1D","249.38","794.26","1783.56","Finale B"
"Nine Meyer","K1D","303.43","736.58","2376.73","Finale B"
"Herve Busson","K1H","114.64","256.72","468.41","Finale B"
"Samuel Vallienne","K1H","114.69","445.43","469.03","Finale B"
"Franck Cahagne","K1H","122.72","640.51","568.61","Finale B"
"Noe Caillet","K1H","126.36","582.84","613.75","Finale B"
"Olivier Brochard","K1H","130.69","599.92","667.45","Finale B"
"Axel Brin","K1H","134.75","534.06","717.8","Finale B"
"Maxence Galy","K1H","137.56","684.63","752.65","Finale B"
"Arold Pietrain","K1H","143.88","628.28","831.02","Finale B"
"Christophe Gergaud","K1H","145.53","622.48","851.48","Finale B"
"Mallory Brochard","K1H","145.9","813.45","856.07","Finale B"
"Valentin Soullard","K1H","158.16","879.38","1008.11","Finale B"
"Loan Guyomarch","K1H","165.26","717.51","1096.16","Finale B"
"Christian Belouin","K1H","169.74","1006.22","1151.72","Finale B"
"Charly Maherault","K1H","210.61","848.14","1658.55","Finale B"
"Quentin Monot","K1H","242.83","817.58","2058.12","Finale B"
"Gatien Bocage","K1H","293.33","754.93","2684.38","Finale B"
"Christopher Geslin","K1H","505.27","-","5312.69","Finale B"
"Thomas Gossieaux","K1H","Des","-","-","Finale B"
"Kevin Mousserion","K1H","Abd","-","-","Finale B"
"Thierry Dugue","K1H","Abs","-","-","Finale B"
"Yann Vergelin","K1HM","172.59","800.96","1187.06","Finale B"
"Sacha Menard","K1HM","190.23","938.05","1405.82","Finale B"
"Landry De La Motte","K1HM","207.94","800.74","1625.44","Finale B"
"Marius Francoise","K1HM","280.15","-","2520.93","Finale B"
"Jonas Huet","K1HM","286.1","1032.36","2594.72","Finale B"
"Simon Lefebvre","K1HM","310.66","1731.1","2899.3","Finale B"
"Clement Jacqueline","K1HM","Des","-","-","Finale B"
