"Sélectif Régional - Vichy - 2011-02-19","Course 1","2011-02-19","Régional","108"
"Sandra Carisey","K1D","208.81","881.25","690.15",""
"Melanie Palazy","K1D","218.56","562.25","765.46",""
"Marie Francois","K1D","225.39","1287.97","818.21",""
"Boris Sacre","K1H","120.43","96.43","128.43",""
"Charles Edouard Dherment","K1H","120.64","109.35","130.26",""
"Jean Messialle","K1H","125.46","126","172.33",""
"Mathieu Douillet","K1H","131.7","148.58","226.79",""
"Quentin Raissac","K1H","132.15","225.43","230.72",""
"Remy Cassar","K1H","132.17","159.45","230.9",""
"Titouan Dupras","K1H","133.11","243.09","239.1",""
"Julien Lafeuille","K1H","134.23","-","248.88",""
"Yoann Turowsky","K1H","134.83","194.81","254.11",""
"Valentin Blondel","K1H","135","206.45","255.6",""
"Robin Dupras","K1H","135.19","234.89","257.26",""
"Olivier Urbain","K1H","135.71","181.31","261.79",""
"Philippe Esnault","K1H","136.81","189.45","271.4",""
"Jose Pereira","K1H","137.41","211.51","276.63",""
"Thomas Janeriat","K1H","138.07","224.39","282.39",""
"Antoine Beguer","K1H","138.74","249.79","288.24",""
"Jean Francois Bry","K1H","139.67","234.91","296.36",""
"Vincent Nicolosi","K1H","140.66","255.18","305",""
"Aurelien Noble","K1H","140.96","-","307.62",""
"Marc Cailhol","K1H","141.07","323.72","308.58",""
"Herve Gouard","K1H","142.01","272.55","316.78",""
"Kevin Wos","K1H","143.93","444.06","333.54",""
"Francois Giondini","K1H","144.15","318.52","335.46",""
"Gaetan Viallard","K1H","144.2","351.97","335.9",""
"David Couture","K1H","144.28","324.68","336.59",""
"Jordan Agullo","K1H","145.57","-","347.85",""
"Florian Vinet","K1H","145.74","-","349.34",""
"Ludovic Couture","K1H","145.79","329.39","349.77",""
"Alexandre Ribeaudeau","K1H","150.39","400.34","389.92",""
"Sylvain Saigne","K1H","150.62","-","391.93",""
"Yannis Brousset","K1H","151.16","434.48","396.64",""
"Gauthier Vanden  Abeele","K1H","151.65","374.56","400.92",""
"Adrien Picco","K1H","151.76","320.3","401.88",""
"Sylvain Georges","K1H","152.19","433.05","405.63",""
"Francois Meunier","K1H","153.04","497.65","413.05",""
"Vincent Garcia","K1H","154.5","375.26","425.8",""
"Loic Bartolomeu","K1H","158.07","472.24","456.95",""
"Thibaut Gaudet","K1H","159.55","421.17","469.87",""
"Benoit Jacquot-bertrand","K1H","161.53","450.72","487.15",""
"Benjamin Tindiliere","K1H","163.33","489.19","502.86",""
"Christophe Cartault","K1H","164.74","-","515.17",""
"Maxime Flouret","K1H","164.86","-","516.22",""
"Baptiste Podor","K1H","165.39","443.83","520.84",""
"Alexis Migliaccio","K1H","166.35","953.17","529.22",""
"Pierre Carisey","K1H","169.1","-","553.23",""
"Nicolas Petipez","K1H","174.91","600.02","603.94",""
"Claude Flouret","K1H","176.93","-","621.57",""
"Joe Cook","K1H","177.24","570.18","624.27",""
"Florent Verbeke","K1H","179.07","424.38","640.24",""
"Henri Molet","K1H","183.72","-","680.83",""
"Emilien Senneret","K1H","187.43","634.23","713.21",""
"Nicolas Benoit","K1H","193.02","-","762",""
"Yoann Avenel","K1H","202.01","-","840.47",""
"Corentin Quignard","K1H","207.55","727.41","888.82",""
"Nicolas Verbeke","K1H","208","-","892.75",""
"Pierrick Agullo","K1H","226.81","-","1056.92",""
"Olivier Mercier","K1H","229.91","784.65","1083.98",""
"Clement Auchat","K1H","233.11","-","1111.91",""
"Thomas Delaigre","K1H","260.33","-","1349.49",""
"Jordan Grillet","K1H","273.45","1745.02","1464",""
"Theo Pages","K1H","361.05","-","2228.58",""
"Nicolas Ortange","K1H","Nt","-","-",""
"Julien Peynot","K1H","Nt","-","-",""
"Florian Plault","K1H","Nt","-","-",""
"Alex Piotte","K1H","Nt","-","-",""
"Claude Breuzard","K1H","Nt","-","-",""
"Eric Vidou","K1H","Nt","-","-",""
"Anthony Jonot","K1H","Nt","-","-",""
"Jules Goutte-toquet","K1H","Nt","-","-",""
"Thomas Neime","K1H","Nt","-","-",""
"Tom Scianimanico","K1H","Nt","-","-",""
