"Manche de la Coupe de France National 2 Slalom - 88000 Epinal - Finale - 2020-10-04","Finale","2020-10-04","Nationale 2","118"
"Jules Bevalot","K1H","163.63","178.48","1174.55","Finale A"
"Tom Bouchardon","K1H","201.65","186.74","1673.53","Finale A"
"Antonin Robert","K1H","207.66","241.01","1752.4","Finale A"
"Margot Perrin","C1D","125.41","521.58","403.64","Finale B"
"Elise Vegnaduzzo","C1D","153.22","577.43","707.79","Finale B"
"Eva Dauvergne","C1D","400.17","800.79","3408.6","Finale B"
"Benoit Chantry","C1H","106.56","244.44","363.98","Finale B"
"Alexis Sevrez","C1H","106.73","385","366.1","Finale B"
"Etienne Wiche","C1H","106.8","277.46","366.97","Finale B"
"Etienne Nardeau","C1H","111.65","374.55","427.59","Finale B"
"Maxime Cousin","C1H","112.79","434.06","441.84","Finale B"
"Lucas Latimier","C1H","113.98","401.5","456.71","Finale B"
"Stephane Abadie","C1H","114.5","421.91","463.22","Finale B"
"Loann Delle Dananchet","C1H","115.94","445.14","481.21","Finale B"
"Loric Bertrand Delorme","C1H","116.62","420.43","489.72","Finale B"
"Antoine Martin","C1H","116.85","555.45","492.59","Finale B"
"Silvere Desongins","C1H","120.03","457.58","532.33","Finale B"
"Zelie Ferraris","K1D","113.33","353.88","348.31","Finale B"
"Tifenn Primet","K1D","120.58","342.23","432.51","Finale B"
"Coline Regnier","K1D","121.17","445.57","439.36","Finale B"
"Souhayla Khattabi","K1D","126.9","492.44","505.91","Finale B"
"Eva Dauvergne","K1D","128.3","515.65","522.17","Finale B"
"Pauline Clerc","K1D","128.47","404.84","524.14","Finale B"
"Lucille Meunier-cheyssac","K1D","130.44","514.24","547.03","Finale B"
"Elise Vegnaduzzo","K1D","130.74","518.2","550.51","Finale B"
"Charlotte Chauvey","K1D","131.8","501.46","562.82","Finale B"
"Pauline Lybrecht","K1D","132.93","584.57","575.94","Finale B"
"Elorri Erdois","K1D","137.13","558.43","624.73","Finale B"
"Anais Mouhoub","K1D","168.75","398.88","991.96","Finale B"
"Julie Dupas","K1D","338.12","778.26","2959.05","Finale B"
"Jules Silvin","K1H","94.12","219.18","267.31","Finale B"
"Emilien Kempf","K1H","94.62","328.32","273.87","Finale B"
"Ianis Fleury","K1H","94.66","338.41","274.39","Finale B"
"Matheo Dupont","K1H","94.92","309.79","277.81","Finale B"
"Robin Pilard","K1H","95.32","353.88","283.06","Finale B"
"Sebastien De Berchem","K1H","95.38","301.77","283.84","Finale B"
"Silvere Desongins","K1H","96.3","303.95","295.92","Finale B"
"Jules Andrien","K1H","96.4","288.11","297.23","Finale B"
"Thibaut Evrard","K1H","97.51","286.76","311.8","Finale B"
"Pierre Biagui","K1H","97.52","298.27","311.93","Finale B"
"Romain Huguenin","K1H","99.32","349.09","335.55","Finale B"
"Arthur Contamine","K1H","99.7","237.77","340.54","Finale B"
"Melvin Queudeville","K1H","100.47","304.77","350.64","Finale B"
"Nicolas Mangeolle","K1H","102.34","394.56","375.19","Finale B"
"Jean Philippe Roche","K1H","102.93","317.76","382.93","Finale B"
"Hugo Pidoux","K1H","103.71","371.99","393.17","Finale B"
"Axel Colin","K1H","104.26","301.26","400.38","Finale B"
"Julien Saguet","K1H","104.98","340.24","409.83","Finale B"
"Simon Munch","K1H","105.1","374.65","411.41","Finale B"
"Theo Loury","K1H","105.75","306.4","419.94","Finale B"
"Gael Ettwiller","K1H","107.37","318.9","441.2","Finale B"
"Lucas Correia","K1H","108.36","427.69","454.19","Finale B"
"Hugo Martin -laemle","K1H","110","327.36","475.72","Finale B"
"Anthony Rouhier","K1H","145.77","295.99","945.16","Finale B"
"Mohamed Saœd Bekkadour","K1H","145.78","342.96","945.29","Finale B"
"Matthieu Koffel","K1H","150.72","301.94","1010.12","Finale B"
"Nathan Frison","K1H","152.26","342.61","1030.34","Finale B"
"Theo Brun","K1H","241.05","249.32","2195.61","Finale B"
