"Sélectif Régional - Lannion - Finale - 2014-01-19","Finale","2014-01-19","Régional","184"
"Gaetan Cougoulat","K1H","113.2","-","399.06","Finale B"
"Patrick Jegou","K1H","113.24","312.21","399.55","Finale B"
"Quentin Famechon","K1H","113.57","448.21","403.58","Finale B"
"Alan Olivo","K1H","114.08","465.52","409.81","Finale B"
"Samuel Flament","K1H","114.13","417.78","410.43","Finale B"
"Yann Le Bourser","K1H","114.44","352.92","414.21","Finale B"
"Nathan Leretrif","K1H","117.75","470.78","454.65","Finale B"
"Mathis Busnel","K1H","119.4","-","474.81","Finale B"
"Marc-antoine Nannette","K1H","119.67","532.97","478.11","Finale B"
"Luc Le Diouron","K1H","121.46","503.88","499.98","Finale B"
"Brian Pieddefer","K1H","122.17","444.95","508.66","Finale B"
"Mathis Daniel","K1H","122.28","544.69","510","Finale B"
"Keliann Le Breton","K1H","123.03","476.6","519.16","Finale B"
"Clement Le Collinet","K1H","125.05","556.22","543.84","Finale B"
"Pierre-amaury Duclau","K1H","129.39","682.49","596.87","Finale B"
"Valentin Rault","K1H","130.13","549.43","605.91","Finale B"
"Valentin Le Paih","K1H","130.57","601.63","611.28","Finale B"
"Jean Christophe Olivo","K1H","132.46","515.98","634.37","Finale B"
"Jordan Daniel","K1H","135.33","-","669.44","Finale B"
"Nathan De Saint Just","K1H","139","534.12","714.28","Finale B"
"Manuel Coquelin","K1H","150","259.33","848.67","Finale B"
"Gauttier Thomas","K1H","155.17","1198.8","911.84","Finale B"
"William Simon","K1H","160.95","372.81","982.46","Finale B"
"Leo Tasset","K1H","165.44","477.64","1037.31","Finale B"
"Dorian Ollivier","K1H","168.17","392.51","1070.67","Finale B"
"Leo Paillat","K1H","184.27","714.73","1267.37","Finale B"
"Kylian Lavole","K1H","186.73","887.34","1297.43","Finale B"
"Alexandre Jaffre","K1H","187.56","627.83","1307.57","Finale B"
"Gwenael Coadou","K1H","193.03","541.19","1374.4","Finale B"
"Samuel Le Dean","K1H","241.45","-","1965.98","Finale B"
"Christian Le Parc","K1H","283.38","763.15","2478.26","Finale B"
"Thibaud Le Berre","K1H","405.01","1251.28","3964.29","Finale B"
"Max Grandvillain","K1H","Nt","-","-","Finale B"
"Jean Beringuer","K1H","Nt","-","-","Finale B"
"Eloann Le Fur","K1H","Nt","-","-","Finale B"
"Quentin Le Floch","K1HM","178.49","-","-","Finale B"
"Martin Le Morvan","K1HM","195.65","-","-","Finale B"
"Timothee Cornu","K1HM","206.84","-","-","Finale B"
"Roman Busnel","K1HM","Nt","-","-","Finale B"
"Baptiste Illien","K1HM","Nt","-","-","Finale B"
