"Sélectif Régional Slalom (Double) - Isle De La Serre (sault Brénaz) - Course n°1 | Qualification - 2016-10-29","Course n°1 | Qualification","2016-10-29","Régional","322"
"Clara Gache","K1D","149.28","566.29","545.74",""
"Maeva Auriol","K1D","149.61","396.15","549.09",""
"Emma Miton","K1D","152.71","500.67","580.58",""
"Jocelyne Roupioz","K1D","155.36","509.91","607.49",""
"Sarah Monod","K1D","156.26","842.52","616.63",""
"Elke Saragas","K1D","156.52","430.12","619.27",""
"Elise Carbon","K1D","160.16","746.87","656.24",""
"Nathalie Chapuis","K1D","163","-","685.08",""
"Juliette Ribault","K1D","187.84","1194.77","937.35",""
"Clara Jannic","K1D","264.28","525.4","1713.65",""
"Barbara Lassechere","K1D","Abs","-","-",""
"Tifenn Primet","K1D","Abs","-","-",""
"Solen Friconneau","K1DM","138.26","474.03","433.83",""
"Ilona Martin -laemle","K1DM","155.17","390.33","605.56",""
"Kesia Georgel","K1DM","155.29","538.79","606.78",""
"Adeline Roux","K1DM","174.19","787.6","798.72",""
"Cendres Le Floch","K1DM","213.13","-","1194.19",""
"Anouk Alberti","K1DM","235.73","522.16","1423.71",""
"Benjamin Travostino","K1H","90.61","36.75","69.53",""
"Kevin Schultz","K1H","95.79","102.11","128.98",""
"Martin Daviet","K1H","97.33","68.43","146.65",""
"Gurgen Brun","K1H","97.58","72.8","149.52",""
"Nicolas Baudoin","K1H","97.91","105.65","153.31",""
"Matthieu Le Gall","K1H","98.85","195.76","164.1",""
"Gregoire Guerin","K1H","99.53","144.68","171.9",""
"Antoine Roux","K1H","99.58","148.68","172.47",""
"Maxime Bottex","K1H","100.07","106.71","178.1",""
"Pierre Grapotte","K1H","100.4","176.89","181.88",""
"Davy Egraz","K1H","100.65","201.87","184.75",""
"Benjamin Jacon","K1H","100.8","84.75","186.47",""
"Raphael Olla","K1H","100.96","228.54","188.31",""
"Kawan Thomas","K1H","101.29","201.75","192.1",""
"Henri Bergognon","K1H","102.03","261.74","200.59",""
"Mathieu Monier","K1H","102.38","221.87","204.61",""
"Raphael Lassechere","K1H","102.6","214.58","207.13",""
"Bertrand Bercon","K1H","102.99","244.87","211.61",""
"Leo Fournier","K1H","103.28","171.96","214.93",""
"Xavier Marie","K1H","103.36","-","215.85",""
"Samuel Bonella","K1H","103.91","218.41","222.16",""
"Robin Pilard","K1H","104.17","259.46","225.15",""
"Maxence Barouh","K1H","104.97","-","234.33",""
"Benjamin Dodane","K1H","105.17","240.77","236.62",""
"Erwan Cadio","K1H","105.69","315.41","242.59",""
"Charles Fernandes De Oliveira","K1H","106.88","307.15","256.25",""
"Thomas Sicre","K1H","107.18","-","259.69",""
"Louis Masson","K1H","107.33","196.07","261.41",""
"Corentin Talancieux","K1H","108.48","383.32","274.61",""
"Yoni Beghoura","K1H","109.48","374.53","286.08",""
"Jules Silvin","K1H","109.93","258.09","291.25",""
"Jean Philippe Roche","K1H","110.43","244.65","296.99",""
"Bertrand Dubiez","K1H","110.65","358.48","299.51",""
"Antoine Grillier","K1H","111.05","339.8","304.1",""
"Yann Rivallant","K1H","111.15","351.48","305.25",""
"Patrice Campioni","K1H","111.58","367.69","310.18",""
"Cedric Mace","K1H","111.92","278.58","314.09",""
"Axel Guilleret","K1H","111.94","743.18","314.32",""
"Maxence Merpillat","K1H","112.31","262.17","318.56",""
"Axel Sleebus","K1H","112.35","246.11","319.02",""
"Maxime Melmont","K1H","112.62","365.2","322.12",""
"Nicolas Detheve","K1H","112.88","295.88","325.1",""
"Alexis Dorey","K1H","113.16","277.69","328.32",""
"Armand Rakowski","K1H","114.03","-","338.3",""
"Luca Barone","K1H","114.49","411.49","343.58",""
"Teo Bouvier","K1H","114.99","333.45","349.32",""
"Tom Zanfini","K1H","115.1","345.41","350.58",""
"Nour Ait Kaddour","K1H","115.55","390.24","355.74",""
"Sebastien Lepaulard","K1H","116.1","340.68","362.06",""
"Olivier Bourgey","K1H","116.59","-","367.68",""
"Nayl Tazi-sidqui","K1H","116.74","326.25","369.4",""
"Remi Wolf","K1H","116.96","-","371.92",""
"Romain Gayral","K1H","117.27","387.93","375.48",""
"Olivier Barriere","K1H","118.03","357.6","384.2",""
"Nikolas Stanik","K1H","118.72","503.18","392.12",""
"Arnaud Lejeune","K1H","118.86","452.6","393.73",""
"Kevin Rancon","K1H","118.99","336.84","395.22",""
"Eloi Seemann","K1H","119.18","-","397.4",""
"Djimy Kar","K1H","119.43","403.19","400.27",""
"Pascal Ferry","K1H","119.48","-","400.84",""
"Enzo Cozette","K1H","119.58","376.38","401.99",""
"Alexandre Bordas","K1H","120.17","331.72","408.76",""
"Emmanuel Triomphe","K1H","120.51","404.11","412.66",""
"Louis Mazoyer","K1H","120.52","365.7","412.78",""
"Louis Pein","K1H","121.36","375.73","422.42",""
"Jerome Talbot","K1H","121.43","500.46","423.22",""
"Leo Demazeau","K1H","122.01","367","429.88",""
"Karl Bouthegourd","K1H","122.51","399.78","435.62",""
"Loic Bourgeois","K1H","123.34","457.94","445.14",""
"Mikael Clanchin","K1H","123.48","314.54","446.75",""
"Nino Chailan","K1H","123.68","418.57","449.04",""
"Thibault Gache","K1H","123.84","-","450.88",""
"Lucas Barriere","K1H","124.47","448.54","458.11",""
"Dyclan Plessis","K1H","125.16","377.38","466.03",""
"Kilian Godart","K1H","126.21","376.54","478.08",""
"Loic Bouvier","K1H","126.7","398.19","483.7",""
"Nathaniel Levy","K1H","127.3","420.03","490.59",""
"Hugo Martin -laemle","K1H","127.45","437.76","492.31",""
"Alexandre Goujon","K1H","128.75","369.74","507.23",""
"Antoine Beguer","K1H","128.79","-","507.69",""
"Laurence Scrimgeour","K1H","129.45","745.18","515.26",""
"Adrien Jacquemet","K1H","129.48","595.27","515.6",""
"Felix Balas","K1H","129.71","649.48","518.24",""
"Herve Vitali","K1H","130.46","-","526.85",""
"Louis Bouchiat","K1H","133.32","420.66","559.67",""
"Quentin Laplace","K1H","133.36","521.47","560.13",""
"Remy Beal","K1H","133.36","516.95","560.13",""
"Leonard Painteaux","K1H","134.54","623.27","573.67",""
"Aymeric Rivier","K1H","135.71","534.94","587.1",""
"Come Champurney","K1H","136.04","570.01","590.89",""
"Charles Culine","K1H","136.45","556.37","595.59",""
"Serge Doby","K1H","136.62","1484.51","597.54",""
"Hugo Lelieur","K1H","137.17","449.21","603.85",""
"Jonathan Himpens","K1H","137.23","420.48","604.54",""
"Erwan Degreve","K1H","137.68","502.53","609.71",""
"Romaric Baron","K1H","138.44","-","618.43",""
"Maxime Parigot","K1H","138.76","-","622.1",""
"Yves Masson","K1H","139.25","510.48","627.72",""
"Maxime Pilard","K1H","140.57","528.67","642.87",""
"Titouan Auriol","K1H","140.88","450.41","646.43",""
"Hugo Avril","K1H","141.59","540.82","654.58",""
"Francois Lecuit","K1H","142.43","648.7","664.22",""
"Benjamin Gonthier","K1H","142.81","814.97","668.58",""
"Benjamin Bergin","K1H","143.7","-","678.79",""
"Paul Farrugio","K1H","149.25","623.94","742.48",""
"Tom Mazouat","K1H","150.57","605.63","757.63",""
"Jonathan Chapatte","K1H","151.23","192.55","765.21",""
"Valentin Vibert","K1H","151.24","249.93","765.32",""
"Kevin Vienny","K1H","152.05","754.05","774.62",""
"Charles Billon","K1H","155.53","579.07","814.55",""
"Yasin Gulay","K1H","161.74","1310.45","885.82",""
"Gabriel Lebosse","K1H","182.46","-","1123.6",""
"Jos Tabone","K1H","184.6","-","1148.16",""
"Jean-marc Suarez","K1H","189.9","-","1208.98",""
"Victoryan Krahenbuhl","K1H","200.25","2242.37","1327.76",""
"Antoine Gossieaux","K1H","210.78","-","1448.6",""
"Arthur Brune","K1H","215.47","1166.26","1502.42",""
"Remi Guerinet","K1H","219.3","-","1546.38",""
"Bastien Cothenet","K1H","222.37","720.59","1581.61",""
"Marc Jungling","K1H","223.08","600.19","1589.75",""
"Thomas Moret","K1H","233.73","-","1711.97",""
"Pierre Jules Lhommel","K1H","254.29","-","1947.92",""
"Arthur Bernot","K1H","Abs","-","-",""
"Victor Dormoy","K1H","Abs","-","-",""
"Arthur Tebib","K1H","Abd","-","-",""
"Florent Vallier","K1H","Abd","-","-",""
"Philippe Lelieur","K1H","Abs","-","-",""
"Yanniss Aghanine","K1H","Abs","-","-",""
"Lucas Matkovic","K1H","Abs","-","-",""
"Julien Coutet","K1H","Abd","-","-",""
"Dimitri Durannot","K1H","Abs","-","-",""
"Joachim Saussol","K1H","Abs","-","-",""
"Alexis Mercoirol","K1H","Abs","-","-",""
"Marc Brossard","K1H","Abs","-","-",""
"Guilhem Douillet","K1H","Abs","-","-",""
"Erwan Quellec","K1H","Abs","-","-",""
"LoÏc Winiarski","K1HM","107.28","323.1","260.84",""
"Noe Monier","K1HM","113.03","377.93","326.82",""
"Etienne Wiche","K1HM","117.69","372.17","380.3",""
"Edouard Chenal","K1HM","119.93","482.51","406.01",""
"Yazid Koraichi","K1HM","120.36","594.34","410.94",""
"Benjamin Guyon","K1HM","120.52","562.55","412.78",""
"Baptiste Gaillard","K1HM","122.39","603.3","434.24",""
"Loic Trenchant","K1HM","123.54","516.6","447.44",""
"Kilian Cottet","K1HM","125.98","494.85","475.44",""
"Mohamed SaÏd Bekkadour","K1HM","126.82","507.63","485.08",""
"Raphael Massot","K1HM","127.1","506.64","488.29",""
"Aurelien Merieux Danneaux","K1HM","128.02","500.05","498.85",""
"Matheo Dejonghe","K1HM","129.35","516.1","514.11",""
"Maxence Jehan","K1HM","129.69","421.69","518.01",""
"Batiste Ansaldi","K1HM","130.28","480.35","524.78",""
"Theo Zembalia","K1HM","130.4","533.14","526.16",""
"Gino Benini","K1HM","132.61","470.77","551.52",""
"Corentin Georgeon","K1HM","133.71","558.97","564.15",""
"Nicolas Demofsqui","K1HM","134.74","601.78","575.97",""
"Mael Hervault","K1HM","135.04","585.22","579.41",""
"Arthur Contamine","K1HM","137.72","533.02","610.17",""
"ClÉment Corbeil","K1HM","138.96","-","624.4",""
"Matthew Vuillard","K1HM","139.29","620.05","628.18",""
"Theo Soulier","K1HM","139.55","591.23","631.17",""
"Clement Couchoud","K1HM","140.08","628.92","637.25",""
"Arthur Talarmain","K1HM","141.43","706.98","652.74",""
"Luca Gabelli","K1HM","144.65","581.72","689.69",""
"Jonathan Ferreira","K1HM","145.9","1056.53","704.04",""
"Antonin Robert","K1HM","147.03","580.23","717.01",""
"Simon Tourtois","K1HM","155.34","-","812.37",""
"Oscar Pasteur","K1HM","156.77","831.58","828.78",""
"Antoine Marion","K1HM","158.55","757.55","849.21",""
"Djendy Simeant","K1HM","172.51","292.03","1009.41",""
"Erwann Buthod","K1HM","179.42","515.67","1088.71",""
"Tom Dubourd","K1HM","201.46","1388.31","1341.64",""
"Heino Leveque","K1HM","210.12","-","1441.03",""
"Daniel Chambert","K1HM","225.67","841.25","1619.48",""
"Julien Barbut","K1HM","471.65","-","4442.34",""
"Stephen Furio","K1HM","Abs","-","-",""
"Baptiste Dumas","K1HM","Abs","-","-",""
"Pierre Fillinger","K1HM","Abs","-","-",""
"Yann Mercier","K1HM","Abs","-","-",""
"Sylvain Arnaud","K1HM","Abs","-","-",""
"Robin Andre","K1HM","Abs","-","-",""
