"Sélectif régional slalom - coupe d'Aquitaine - Perigueux - 2003-11-16","Course 1","2003-11-16","Régional","109"
"Boris Lesimple","K1H","226.70","261","385",""
"Roso Emilien","K1H","226.76","359","385",""
"Valerian Boulet","K1H","228.32","349","395",""
"Gregory Ponassie","K1H","229.25","219","401",""
"Frederic Descot","K1H","230.41","374","408",""
"De Teyssiere Thomas","K1H","239.16","-","462",""
"Marc Darribere","K1H","239.27","-","463",""
"Lafitte Gerard","K1H","241.38","-","476",""
"Fontaine Franck","K1H","241.41","-","477",""
"Lafitte Vincent","K1H","241.97","-","480",""
"Doat Francois","K1H","243.10","417","487",""
"Tayeel Aymeric","K1H","243.75","-","491",""
"Jean-daniel Bost","K1H","244.62","-","496",""
"Thebault Denis","K1H","246.67","-","509",""
"Kraemer Nicolas","K1H","246.69","511","510",""
"Jean Luc Pessoni","K1H","252.78","442","548",""
"Sylvain Mendez","K1H","253.18","-","551",""
"Martinez-Arconada Armel","K1H","253.68","-","554",""
"Musseau Yvan","K1H","255.47","-","565",""
"Bibonne Kevin","K1H","255.85","-","567",""
"Havard Romain","K1H","257.00","-","574",""
"Arrouge Julien","K1H","257.59","-","578",""
"Caignard Ronan","K1H","258.62","-","585",""
"Simon Dosiere","K1H","260.47","-","597",""
"Cassagne Geoffroy","K1H","260.59","-","597",""
"Lafenetre Joris","K1H","262.12","-","606",""
"Delpeyroux Pierre","K1H","262.37","-","608",""
"Van Kalsbeek Elwin","K1H","264.19","1184","619",""
"Matabos Sylvain","K1H","267.79","983","642",""
"Peyre Maxime","K1H","269.00","1591","650",""
"Barbe Erwan","K1H","269.41","-","652",""
"Maziere Bruno","K1H","271.44","-","665",""
"Hugo Biso","K1H","271.60","-","666",""
"Mazagot Christophe","K1H","273.29","-","676",""
"Thomas Wingerter","K1H","273.94","916","681",""
"Thomas Dauvet","K1H","276.56","-","697",""
"Ansaloni Stephane","K1H","276.97","-","700",""
"Le Naour Damien","K1H","291.76","-","792",""
"Lopez Ivo","K1H","304.91","-","874",""
"Le Naour David","K1H","309.78","-","905",""
"Vidal Gael","K1H","310.10","-","906",""
"Sellay Anthony","K1H","311.54","603","916",""
"Sauval Maxime","K1H","320.63","-","972",""
"Cornier Aurelien","K1H","323.97","-","994",""
"Pipo Pierre","K1H","326.61","-","1011",""
"Chambon Cédric","K1H","340.29","-","1096",""
"Garrido Lionel","K1H","363.79","-","1243",""
"Merlet Michael","K1H","433.53","-","1680",""
"Dupont Guillaume","K1H","441.38","-","1728",""
"Perrar Charles","K1H","482.15","-","1984",""
