"SELECTIF REGIONAL SERVON SUR VILAINE -  - 2001-12-02","Course 1","2001-12-02","Régional","202"
"Geraldine Leclerc","K1D","260.77","-","382",""
"Chevalier Yvane","K1D","262.48","393","391",""
"Guelou Typhaine","K1D","269.84","-","433",""
"Bel Charlene","K1D","273.81","455","455",""
"Fouille Aline","K1D","274.35","-","458",""
"Bel Amandine","K1D","276.08","452","468",""
"Collet Aurore","K1D","276.09","384","468",""
"Warion Flavie","K1D","290.72","-","551",""
"Rocher Laura","K1D","295.22","-","576",""
"Reveillere Fleur Anne","K1D","296.31","-","582",""
"Tanguy Sandrine","K1D","320.23","-","717",""
"Nathalie Courant","K1D","328.33","-","763",""
"Magre Sabrine","K1D","329.14","-","767",""
"Vincent Marie","K1D","346.06","77","863",""
"Troel Sarah","K1D","350.16","-","886",""
"Pattein Marieannabelle","K1D","351.87","-","895",""
"Le Maux Aurore","K1D","365.68","-","973",""
"Benoit Lepage","K1H","188.54","94","134",""
"Mathieu Le Gal","K1H","190.83","154","149",""
"Nicolas Coudert","K1H","192.5","147","159",""
"Ducouret Mathieu","K1H","195.41","-","178",""
"Christophe Le Mercier","K1H","196.39","150","185",""
"Lionel Tinevez","K1H","198.43","191","198",""
"Zoungrana Sebastien","K1H","199.36","175","204",""
"Alain Droniou","K1H","199.42","174","204",""
"Tirel Paul","K1H","200.48","150","211",""
"Jerome Mainguy","K1H","201.21","242","216",""
"Emmanuel Cosse","K1H","202.85","222","227",""
"Frederic Castryck","K1H","204.79","-","239",""
"Mickael Louchard","K1H","204.91","264","240",""
"Delaunay Johann","K1H","205.02","191","241",""
"Gwenael Marquer","K1H","205.08","210","241",""
"Manuel Coquelin","K1H","205.49","243","244",""
"Sebastien Combot","K1H","206.93","-","253",""
"Besnard Thomas","K1H","207.08","222","254",""
"Le Coq Sebastien","K1H","208.19","364","261",""
"Jean Yves Prigent","K1H","209.25","257","268",""
"Duliscouet Richard","K1H","210.37","221","275",""
"Vincent Froger","K1H","212.65","314","290",""
"Olivier Clement","K1H","212.96","278","292",""
"L'haridon Olivier","K1H","213.1","273","293",""
"Le Mercier David","K1H","213.72","381","297",""
"Arnaud Hybois","K1H","213.74","272","297",""
"Pascal Marrec","K1H","213.98","-","299",""
"Tanguy Anthony","K1H","214.27","307","301",""
"Retailleau Gael","K1H","216.04","187","312",""
"Herfray Francois","K1H","216.43","334","315",""
"Reveillere Pierrick","K1H","216.62","328","316",""
"Vincent Salmon","K1H","217.69","332","323",""
"Le Troadec Brendan","K1H","217.72","339","323",""
"Erwan Desbordes","K1H","218.06","315","325",""
"Brustiec Jerom","K1H","218.76","325","330",""
"Adrien Ferec","K1H","219.5","-","335",""
"Josselin Bertrand","K1H","219.58","318","335",""
"Morin Mathieu","K1H","220.07","-","338",""
"Erwan Cadio","K1H","220.74","326","343",""
"Gaillard Simon","K1H","221.13","-","345",""
"Le Pesquer Yann","K1H","221.27","-","346",""
"Patrick Jegou","K1H","221.82","-","350",""
"Cedric Le Corvaisier","K1H","222.9","-","357",""
"Pierre Marie Roussel","K1H","223.24","-","359",""
"Grosvalet Pierre","K1H","223.72","358","362",""
"David Despierres","K1H","223.84","390","363",""
"Louet Jeremie","K1H","223.98","394","364",""
"Decurey Franck","K1H","224.07","-","364",""
"Guillaume Coroller","K1H","224.2","393","365",""
"Nogues Olivier","K1H","225.16","-","371",""
"Denays Sylvain","K1H","226.12","422","378",""
"Le Feuvre Nicolas","K1H","228.15","482","391",""
"Kevin Lemenaheze","K1H","228.41","448","392",""
"Yves Lecointe","K1H","228.88","351","395",""
"Corrignan Florian","K1H","229.4","-","399",""
"Rhamed Ali","K1H","229.41","-","399",""
"Brosseau Benoit","K1H","229.83","-","402",""
"Jeansebastien Simonklein","K1H","230.17","372","404",""
"Berree Guillaume","K1H","230.29","800","405",""
"Lebret Matthieu","K1H","230.99","564","409",""
"Pasquier Marc","K1H","232.7","373","420",""
"Tual Jacky","K1H","233.00","501","422",""
"Herve Gwenn","K1H","234.03","-","429",""
"Josse Nicolas","K1H","234.11","758","429",""
"Prigent Mathieu","K1H","234.42","420","431",""
"Nicolas Veillard","K1H","235.29","-","437",""
"Didier Rouet","K1H","235.45","482","438",""
"Le Dean Yannn","K1H","236.3","646","444",""
"Pierre Emanuel Marchand","K1H","236.56","490","445",""
"Louet Gwenael","K1H","236.72","431","446",""
"Baudelot Luc","K1H","237.69","464","453",""
"Deportzamparc David","K1H","240.55","520","471",""
"Le Corvaisier Fabien","K1H","240.73","437","472",""
"Le Bris Pierrick","K1H","242.22","486","482",""
"Chapel Mikael","K1H","243.04","536","487",""
"Yann Lardic","K1H","243.12","511","488",""
"Chaumier Florian","K1H","243.9","-","493",""
"Louet Steven","K1H","244.96","503","500",""
"Ollivier Riwal","K1H","245.21","-","501",""
"Vincent Richard","K1H","245.42","454","503",""
"Marrec Pierre-Yves","K1H","246.38","-","509",""
"Blesteau Jerome","K1H","247.88","-","519",""
"Maze Ronan","K1H","247.89","555","519",""
"Colombert Yann","K1H","248.59","895","523",""
"Pierreyves Hellard","K1H","248.93","487","525",""
"Debray Damien","K1H","252.9","-","551",""
"Guyomard Julien","K1H","253.95","865","558",""
"Fargetton Renan","K1H","254.8","-","564",""
"Guilloux Romuald","K1H","254.8","-","564",""
"Le Vourch Alexandre","K1H","255.63","613","569",""
"Achard Vincent","K1H","257.21","-","579",""
"Simier Alan","K1H","257.25","-","579",""
"Pierre Yves Tanguy","K1H","257.4","-","580",""
"Guillotin Simon","K1H","258.24","-","586",""
"Rivoal Yoann","K1H","258.41","-","587",""
"Rocher Manuel","K1H","258.42","541","587",""
"Rivallain Ludovic","K1H","258.58","818","588",""
"Mahe Alan","K1H","258.97","-","591",""
"Benard Fabien","K1H","259.41","605","593",""
"Arnaud Le Calvez","K1H","260.01","-","597",""
"Lebreton Simon","K1H","260.69","-","602",""
"Hoel Carnot","K1H","262.58","669","614",""
"Massot Sebastien","K1H","264.66","-","628",""
"Le Garrec Julien","K1H","270.44","-","665",""
"Rose Morvan","K1H","272.93","-","681",""
"Nicolas Romain","K1H","274.38","-","691",""
"Germaine Olivier","K1H","274.71","-","693",""
"Pedron Jessy","K1H","275.49","-","698",""
"Mordant Ludovic","K1H","277.61","-","711",""
"Cadoudal Vincent","K1H","277.68","-","712",""
"Georgin Etienne","K1H","277.94","-","714",""
"Guesny Thomas","K1H","278.57","-","718",""
"Garzuel Erwan","K1H","279.91","-","726",""
"Taburet Guillaume","K1H","279.91","-","726",""
"Leroux Samuel","K1H","282.73","-","745",""
"Tropee Nicolas","K1H","282.75","-","745",""
"Priol Yoann","K1H","285.63","-","764",""
"Stephen Le Diagon","K1H","286.14","-","767",""
"Sinquin Gwenael","K1H","289.12","-","786",""
"Philippe Ronan","K1H","292.41","420","807",""
"Laurent Rigaud","K1H","302.33","-","872",""
"Rogue Clement","K1H","304.29","-","885",""
"Leclaire Pierre Louis","K1H","306.77","-","901",""
"Mathieu Bourdet","K1H","310.6","-","925",""
"Flageul Pierre","K1H","317.56","1625","971",""
"Simon Ddamien","K1H","317.99","-","973",""
"Leyzour Pierrefrancois","K1H","334.67","-","1082",""
"Panaget Ludovic","K1H","351.03","-","1188",""
"Gacogne Yves","K1H","361.4","-","1255",""
"Brize Guillaume","K1H","433.36","-","1722",""
