"Sélectif Régional de Slalom - 17400 St Jean D Angely - Finale - 2020-01-19","Finale","2020-01-19","Régional","112"
"Jules Rathier","K1HM","121.01","630.1","725.66","Finale A"
"Alexis Hemerit","K1HM","129.6","709.05","845.76","Finale A"
"Nathan Caprice Michaux","K1HM","142.39","710.9","1024.57","Finale A"
"Nolann Lacoudre","K1HM","158.42","459.91","1248.68","Finale A"
"Robin Bienassis","K1HM","172.13","799.16","1440.35","Finale A"
"Maxime Blondeau","C1H","116.14","802.52","585.27","Finale B"
"Gauthier Beyneix","C1H","120.08","510.75","637.72","Finale B"
"Aurele Neveu","C1H","120.56","609.47","644.11","Finale B"
"Baptiste Vinet","C1H","122.23","705.74","666.35","Finale B"
"Tom Delens","C1H","125.09","561.09","704.42","Finale B"
"Amaury Sokolik","C1H","140.41","730.94","908.41","Finale B"
"Geraud Gallais","C1H","215.54","902.49","1908.75","Finale B"
"Emilien Gelinaud","C1H","226.43","2531.97","2053.76","Finale B"
"Marie-zelia Lafont","K1D","92.79","21.48","186.89","Finale B"
"Cecile Grehan","K1D","142.23","364.1","798.57","Finale B"
"Louise Gannac","K1D","261.7","939.56","2276.68","Finale B"
"Julie Charpentier","K1D","465.52","1047.37","4798.38","Finale B"
"Gabrielle Chenu","K1DM","130.16","491.22","649.24","Finale B"
"Nora Koubaiti","K1DM","135.89","801.87","720.14","Finale B"
"Elena Penot","K1DM","206.39","1519.7","1592.37","Finale B"
"Antoine Grillier","K1H","100.11","349.41","438.47","Finale B"
"Sylvain Lauth","K1H","120.01","521.41","716.68","Finale B"
"Baptiste Vinet","K1H","121.29","925.46","734.58","Finale B"
"Emilien Gelinaud","K1H","125.66","1726.21","795.67","Finale B"
"Stephane Francois","K1H","126.16","906.83","802.66","Finale B"
"Antoine Bougette","K1H","126.95","963.11","813.71","Finale B"
"Theo Lebastard","K1H","131.58","2058.07","878.44","Finale B"
"Baptiste Barat","K1H","131.67","864.97","879.7","Finale B"
"Tristan Gueguen","K1H","137.29","999.48","958.27","Finale B"
"Noe Joseph","K1H","146.73","1316.14","1090.24","Finale B"
"Sebastien Ruiz","K1H","150.32","1038.76","1140.43","Finale B"
"Liam Jacquot","K1H","151.64","1530.59","1158.89","Finale B"
"Nathan Gibaud","K1H","158.94","1056.21","1260.95","Finale B"
"Loic Gourdin","K1H","167.75","707.42","1384.12","Finale B"
"Remi Granet","K1H","179.8","1664.47","1552.58","Finale B"
"Dominique Gireaud","K1H","180.25","955.98","1558.87","Finale B"
"Wilfrid Delpech","K1H","180.75","1718.87","1565.86","Finale B"
"Nicolas Leman","K1H","200.23","915.69","1838.2","Finale B"
"LoÏck Vidal","K1H","234.62","1128.56","2319","Finale B"
"Lucas Bizy","K1H","244.77","687.44","2460.9","Finale B"
"Nicolas Grzeskowiak","K1H","285.99","1874.77","3037.18","Finale B"
"Antonin Beyneix","K1H","354.13","389.79","3989.81","Finale B"
"Maxime Dupuy","K1H","Abd","-","-","Finale B"
"Felix Chevallier","K1HM","115.24","1138.66","650","Finale B"
"Jules Mauget","K1HM","123.55","737.04","766.18","Finale B"
"Timothee Borde","K1HM","135.71","1045.37","936.18","Finale B"
"Simon Francois","K1HM","163.67","708.77","1327.08","Finale B"
"Matteo Leman","K1HM","218.79","1284.3","2097.68","Finale B"
"Elian Remacle","K1HM","230.2","3945.22","2257.2","Finale B"
"Cyprien Perochon","K1HM","230.8","2516.95","2265.59","Finale B"
"Marius Garnavault","K1HM","253.3","1234.95","2580.15","Finale B"
"Simon Bauchaud","K1HM","364.7","6749.47","4137.59","Finale B"
"Alexis Dran Collado","K1HM","364.86","-","4139.82","Finale B"
