"Championnat Régional d'Ile de France - Corbeil - 2010-06-20","Course 1","2010-06-20","Régional","163"
"Romain Lemaire","K1H","126.67","229","338",""
"Tom Barthelemy","K1H","126.68","272","338",""
"Guillaume Quintaine","K1H","127.21","339","344",""
"Yoann Nurit","K1H","128.04","319","353",""
"Adrien Goetink","K1H","129.21","304","367",""
"Loic Ozeray","K1H","130.99","368","388",""
"Florian El Assali","K1H","131.2","428","390",""
"Remi Robin","K1H","132.82","-","409",""
"Thibault Dhennin","K1H","133.06","327","412",""
"Pierre Dampeyrou","K1H","133.2","444","414",""
"Antoine Martin","K1H","133.66","396","419",""
"Sylvain Barrois","K1H","134.18","380","425",""
"Loic Andre","K1H","136.37","261","451",""
"Pierre Lecorre","K1H","136.97","439","458",""
"Thomas Theunissen","K1H","137.4","385","462",""
"Adrien Dacruz","K1H","138.82","-","478",""
"Erwan Chevalier","K1H","148.28","-","588",""
"Ricardo Tonini","K1H","148.6","-","592",""
"Robin Guibaud","K1H","149.68","-","605",""
"Thibault Mas-cerda","K1H","150.03","562","608",""
"Anthony Gillot","K1H","150.29","684","612",""
"Adrien Barlier","K1H","156.52","608","683",""
"Emmanuel Queven","K1H","159.64","742","719",""
"Jose Santos","K1H","159.66","613","719",""
"Jacky Bachelot","K1H","165.72","719","790",""
"Sebastien Paigneau","K1H","183.66","-","997",""
"Clement Gangnon","K1H","193.68","-","1113",""
"Denis Martin","K1H","197.84","441","1162",""
"Laurent Dampeyrou","K1H","304.73","-","2399",""
"Arnaud Allibert","K1H","334.54","-","2745",""
"Michel Andre","K1H","Nt","-","-",""
"Jean Marc Lejot","K1H","Nt","-","-",""
"Hassan Zaryoh","K1H","Nt","-","-",""
"Sergepatrick Viseur","K1H","Nt","-","-",""
"Jeanchristophe Laroque","K1H","Nt","-","-",""
"Mathieu Durand","K1H","Nt","-","-",""
"Yves Moreno","K1H","Nt","-","-",""
"Olivier Lebreton","K1H","Nt","-","-",""
"Gaetan Kieffert","K1H","Nt","-","-",""
"Yves Debailleul","K1H","Nt","-","-",""
"Anthony Thuillier","K1H","Nt","-","-",""
"Oswald Besch","K1H","Nt","-","-",""
"Ludovic Lino","K1H","Nt","-","-",""
"Arman Karimi","K1H","Nt","-","-",""
"Thomas Letellier","K1H","Nt","-","-",""
