"Sélectif Régional de slalom - Sev Vinon Sur Verdon - Course n°2 | Qualification - 2016-04-10","Course n°2 | Qualification","2016-04-10","Régional","154"
"Jeremy Wagner","K1H","102.33","286.37","348.29",""
"Jean Philippe Roche","K1H","103.51","270.93","363.24",""
"William Gettliffe","K1H","104.62","307.95","377.3",""
"Raphael Olla","K1H","104.95","279.84","381.48",""
"Mikael Clanchin","K1H","105.28","328.39","385.66",""
"Maxime Gaillard","K1H","105.43","268.44","387.57",""
"Antonin Barraud","K1H","105.81","291.13","392.38",""
"Jean Charles Creusot Walter","K1H","106.31","-","398.72",""
"Alexandre Goujon","K1H","106.71","410.66","403.78",""
"Samuel Bonella","K1H","107.2","252.14","409.99",""
"Thomas Thieblemont","K1H","108.26","271.5","423.42",""
"Nayl Tazi-sidqui","K1H","109.72","386.22","441.92",""
"Cyril Audoit","K1H","111.6","352.08","465.74",""
"Sebastien Riou","K1H","111.98","477.89","470.55",""
"Adrien Fischer","K1H","112.37","355.17","475.5",""
"Ludovic Gaignon","K1H","113.2","-","486.01",""
"Nino Chailan","K1H","115.02","454.93","509.07",""
"Cedric Castel","K1H","115.29","-","512.49",""
"Enzo Briffa","K1H","115.33","535.72","513",""
"Romain Gayral","K1H","116.04","423.24","522",""
"Paul Gaillard","K1H","116.92","371.76","533.15",""
"Adrien Jacquemet","K1H","117.07","547.74","535.05",""
"Louis Scalbert","K1H","117.2","469.21","536.69",""
"Kevin Gix","K1H","118.69","-","555.57",""
"Louis Mazoyer","K1H","118.9","448.07","558.23",""
"Paul Roubaud","K1H","119.07","413.91","560.39",""
"Paul Badache","K1H","119.59","557.34","566.97",""
"Stephane Marcellot","K1H","119.88","579.23","570.65",""
"Aymeric Rivier","K1H","120","645.98","572.17",""
"Antonin Dustou","K1H","120.03","576.03","572.55",""
"Luca Barone","K1H","121.1","506.23","586.11",""
"Hugo Polard","K1H","121.29","458.09","588.51",""
"Erwan Quellec","K1H","121.45","708.62","590.54",""
"Pierre Courtois","K1H","121.5","556.55","591.17",""
"Baptiste Marcellot","K1H","121.6","704.19","592.44",""
"Alexis Mercoirol","K1H","121.89","421","596.12",""
"Hugo Avril","K1H","122.57","555.53","604.73",""
"Anton Gille","K1H","122.68","551.09","606.13",""
"Quentin Laplace","K1H","125.47","618.47","641.48",""
"Alexei Evlachev","K1H","125.78","618.08","645.4",""
"Matthieu Rousseau","K1H","126.37","-","652.88",""
"Yves Masson","K1H","129.78","511.03","696.08",""
"Dominique Polard","K1H","131.79","564.71","721.55",""
"Philippe Bigard","K1H","134.25","599.49","752.72",""
"Bastien Cothenet","K1H","141.6","846.87","845.85",""
"Simon Louchard","K1H","173.42","504.25","1249.01",""
"Maxime Melmont","K1H","174.02","462.15","1256.61",""
"Tao Semeria","K1H","190.74","749.26","1468.46",""
"Valentin Renier","K1H","204.74","837.51","1645.84",""
"Matteo Salomoni","K1H","560.52","-","6153.64",""
"Simon Del Negro","K1H","Abs","-","-",""
"Florent Cossou","K1H","Abs","-","-",""
"Alexandre Florent","K1H","Abs","-","-",""
"Romain Berthon","K1H","Abs","-","-",""
"Thomas Courtois","K1H","Abs","-","-",""
"Charlie Genovese","K1H","Abs","-","-",""
"Alexandre Rozand","K1H","Abs","-","-",""
"Alexis Cordier","K1H","Abs","-","-",""
"Joachim Saussol","K1H","Abs","-","-",""
"Nil Coudouy","K1H","Abs","-","-",""
"Yann Tabone","K1H","Abs","-","-",""
"Mathieu Lions","K1H","Abs","-","-",""
"Charles Coulon","K1H","Abs","-","-",""
"Hugo Andre","K1H","Abs","-","-",""
"Ollivier Paumier","K1H","Abs","-","-",""
"Kawan Thomas","K1H","Abs","-","-",""
"Etienne Wiche","K1HM","107.13","422.38","409.1",""
"Noe Monier","K1HM","111.64","546.54","466.25",""
"Guillaume Belet","K1HM","115.54","655.17","515.66",""
"Gino Benini","K1HM","115.85","622.1","519.59",""
"Mohamed SaÏd Bekkadour","K1HM","119.61","636.24","567.23",""
"Gabin Siau","K1HM","124.29","1205.87","626.52",""
"Arthur Contamine","K1HM","124.35","-","627.28",""
"Sylvain Arnaud","K1HM","131.48","-","717.62",""
"Edouard Chenal","K1HM","131.59","-","719.02",""
"Corentin Georgeon","K1HM","147.44","-","919.84",""
"Thibaud Chovin","K1HM","159.79","-","1076.32",""
"Raphael Massot","K1HM","160.47","-","1084.93",""
"Pierre Fillinger","K1HM","175.83","-","1279.55",""
"Baptiste Gaillard","K1HM","184.73","-","1392.31",""
"Baptiste Dumas","K1HM","245.6","-","2163.54",""
"Allan Stievenard","K1HM","Abs","-","-",""
"Robin Andre","K1HM","Abs","-","-",""
"Valentin Jossemit","K1HM","Abs","-","-",""
"Ulysse Brunel","K1HM","Abs","-","-",""
"Djendy Simeant","K1HM","Abs","-","-",""
"Erwan Chabaud","K1HM","Abs","-","-",""
