"SÈlectif RÈgional Slalom (Double) - Toulouse - Course n∞2 | Finale - 2018-03-18","Course n∞2 | Finale","2018-03-18","RÈgional","211"
"Quentin Clerc","K1H","112.66","266.51","345.2","Course n∞2 | Finale A"
"Esteban Illido","K1H","113.21","324.98","351.62","Course n∞2 | Finale A"
"Mael Hervault","K1H","113.25","382.17","352.08","Course n∞2 | Finale A"
"Paul Pradalie","K1H","113.77","259.63","358.15","Course n∞2 | Finale A"
"Dimitri Thauvin","K1H","114.42","368.72","365.73","Course n∞2 | Finale A"
"Nicolas Saurat","K1H","115.12","288.21","373.9","Course n∞2 | Finale A"
"Alex Baldoni","K1H","116.21","470.99","386.62","Course n∞2 | Finale A"
"Arthur Cousty","K1H","116.4","366.74","388.83","Course n∞2 | Finale A"
"Clement Caillard","K1H","117.05","372.87","396.42","Course n∞2 | Finale A"
"Bertrand Bercon","K1H","117.78","315.16","404.93","Course n∞2 | Finale A"
"Pascal Dongarra","K1H","117.95","356.51","406.91","Course n∞2 | Finale A"
"Paul Gobert","K1H","118.43","434.63","412.51","Course n∞2 | Finale A"
"Loris Shayam Affre","K1H","118.89","378.03","417.88","Course n∞2 | Finale A"
"Etienne Saint Picq","K1H","118.94","415.94","418.46","Course n∞2 | Finale A"
"Louis Bouchiat","K1H","121.76","457.96","451.36","Course n∞2 | Finale A"
"Clement Guiraud","K1H","122.88","292.39","464.43","Course n∞2 | Finale A"
"Fabien Paleau","K1H","125.65","315.43","496.74","Course n∞2 | Finale A"
"Tom Zanfini","K1H","129.45","302.21","541.08","Course n∞2 | Finale A"
"Olivier Cail","K1H","153.33","205.44","819.66","Course n∞2 | Finale A"
"Vincent Garcia","K1H","158.13","278.15","875.66","Course n∞2 | Finale A"
"Paul Commenges","K1H","158.98","280.17","885.58","Course n∞2 | Finale A"
"Marc Sarramea","K1H","160.77","339.77","906.46","Course n∞2 | Finale A"
"Hugo Mouffle","K1H","163.1","282.65","933.64","Course n∞2 | Finale A"
"Nathaniel Levy","K1H","170.78","364.18","1023.24","Course n∞2 | Finale A"
"Emilien Courtiade","K1HM","110.14","314.79","315.8","Course n∞2 | Finale A"
"Edgar Paleaubrasseur","K1HM","122.16","493.8","456.03","Course n∞2 | Finale A"
"Antton Erdois","K1HM","131.2","482.77","561.49","Course n∞2 | Finale A"
"Maxime Blondeau","K1HM","132.51","530.11","576.77","Course n∞2 | Finale A"
"Guillaume Pradalie","K1HM","144.2","537.26","713.15","Course n∞2 | Finale A"
"K…ziah Lecomte","K1HM","145.78","617.48","731.58","Course n∞2 | Finale A"
"Clement Claret","K1HM","148.1","686.27","758.65","Course n∞2 | Finale A"
"Florian Malaval","K1HM","150.94","617.19","791.78","Course n∞2 | Finale A"
"Matheo Nassieu","K1HM","153.25","664.23","818.73","Course n∞2 | Finale A"
"Timeo Canonico","K1HM","169.81","634.24","1011.92","Course n∞2 | Finale A"
"Antoine Rouaud","K1HM","329.37","2378.32","2873.38","Course n∞2 | Finale A"
"Margot Beziat","C1D","143.16","349.46","427.66","Course n∞2 | Finale B"
"Manon Prioux","C1D","155.14","357.63","544.13","Course n∞2 | Finale B"
"C…cilia Bourgeois","C1D","156.02","384.81","552.69","Course n∞2 | Finale B"
"Youlia Estanguet","C1D","172.51","489.73","713","Course n∞2 | Finale B"
"Solene Lafitte","C1D","173.8","478.87","725.54","Course n∞2 | Finale B"
"Theo Viens","C1H","122.04","442.55","391.84","Course n∞2 | Finale B"
"Loris Shayam Affre","C1H","140.38","488.91","595.6","Course n∞2 | Finale B"
"Nicolas Sauteur","C1H","140.5","1066.95","596.94","Course n∞2 | Finale B"
"Paul Gobert","C1H","148.04","570.53","680.7","Course n∞2 | Finale B"
"Louis Bouchiat","C1H","148.05","702.67","680.82","Course n∞2 | Finale B"
"Tom Ydoux","C1H","149.37","441.7","695.48","Course n∞2 | Finale B"
"Arthur Cousty","C1H","149.65","483.98","698.6","Course n∞2 | Finale B"
"Tonin Desmet","C1H","154.49","581.65","752.37","Course n∞2 | Finale B"
"Loic Leymonerie","C1H","160.31","691.66","817.03","Course n∞2 | Finale B"
"Quentin Escudero","C1H","177.13","860.06","1003.92","Course n∞2 | Finale B"
"Laurence Scrimgeour","C1H","189.66","747.51","1143.14","Course n∞2 | Finale B"
"Clement Serres","C1H","218.68","719.21","1465.57","Course n∞2 | Finale B"
"Martin Thermidor","C1H","380.08","1456.1","3258.83","Course n∞2 | Finale B"
"Natan Brule","C1H","Abs","-","-","Course n∞2 | Finale B"
"Clement Claret","C1HM","Abs","-","-","Course n∞2 | Finale B"
"Laetitia Thueux","K1D","145.9","356.21","542.17","Course n∞2 | Finale B"
"Youlia Estanguet","K1D","153.17","408.18","617.23","Course n∞2 | Finale B"
"Amelie Leclercq","K1D","153.68","473.07","622.49","Course n∞2 | Finale B"
"Cleo Santini","K1D","156.41","530.02","650.68","Course n∞2 | Finale B"
"Camille Santa Cruz","K1D","158.42","379.99","671.43","Course n∞2 | Finale B"
"Solene Lafitte","K1D","159.56","404.9","683.2","Course n∞2 | Finale B"
"Lyse Brichet","K1D","164.2","554.67","731.1","Course n∞2 | Finale B"
"Stephanie Kaczmarek","K1D","166.92","259.83","759.18","Course n∞2 | Finale B"
"Agathe Benoit","K1D","175.76","464.48","850.45","Course n∞2 | Finale B"
"Pauline Rouilhet","K1D","180.57","537.45","900.1","Course n∞2 | Finale B"
"Celia Roulleau","K1D","266.36","799.07","1785.81","Course n∞2 | Finale B"
"H…l»ne Gassie","K1D","309.73","1078.96","2233.56","Course n∞2 | Finale B"
"Estelle Baron","K1D","Abd","-","-","Course n∞2 | Finale B"
"Perrine Dujourd'hui","K1D","Abd","-","-","Course n∞2 | Finale B"
"Jeremie Palazy","K1H","105.49","177.05","266.55","Course n∞2 | Finale B"
"Alexis Dorey","K1H","105.91","229.6","271.45","Course n∞2 | Finale B"
"Angus Cruickshank","K1H","113.04","397.09","354.63","Course n∞2 | Finale B"
"Karl Bouthegourd","K1H","114.3","334.86","369.33","Course n∞2 | Finale B"
"Clement Riera","K1H","117.62","460.52","408.06","Course n∞2 | Finale B"
"Pablo Chaminade","K1H","117.71","361.09","409.11","Course n∞2 | Finale B"
"Laurence Scrimgeour","K1H","119.08","429","425.1","Course n∞2 | Finale B"
"Marc Cordier","K1H","120.73","303.11","444.35","Course n∞2 | Finale B"
"Paul Ballery","K1H","122.04","681.88","459.63","Course n∞2 | Finale B"
"Hugo Crespo","K1H","122.36","357.61","463.36","Course n∞2 | Finale B"
"Romain Gresle","K1H","123.82","473.69","480.4","Course n∞2 | Finale B"
"Fantin Delage-garez","K1H","123.92","396.36","481.56","Course n∞2 | Finale B"
"Theo Dunie","K1H","124.34","521.37","486.46","Course n∞2 | Finale B"
"Jules Besson","K1H","125.08","454.62","495.09","Course n∞2 | Finale B"
"Abel Boidron","K1H","129.55","504.31","547.24","Course n∞2 | Finale B"
"Pierrick Bresson","K1H","131.05","495.65","564.74","Course n∞2 | Finale B"
"Marin Saint Macary","K1H","133.96","500.14","598.69","Course n∞2 | Finale B"
"Baptiste San Nicolas","K1H","134.81","483.71","608.61","Course n∞2 | Finale B"
"Thomas Moret","K1H","135.7","498.45","618.99","Course n∞2 | Finale B"
"Matt Vidou","K1H","137.3","546.14","637.66","Course n∞2 | Finale B"
"Guillaume Malmezac","K1H","137.41","512.04","638.94","Course n∞2 | Finale B"
"Simeon Althabegoity","K1H","137.66","496.98","641.86","Course n∞2 | Finale B"
"Jean Christophe Erdois","K1H","138.23","345.03","648.51","Course n∞2 | Finale B"
"Baptiste Moret","K1H","138.51","667.1","651.77","Course n∞2 | Finale B"
"Loan Jioux","K1H","142.42","711.27","697.39","Course n∞2 | Finale B"
"Thomas Terr…","K1H","144.63","480.58","723.17","Course n∞2 | Finale B"
"Remi Dolcin Tillant","K1H","144.8","604.08","725.15","Course n∞2 | Finale B"
"Alexandre Weiler","K1H","144.83","1039.01","725.5","Course n∞2 | Finale B"
"Clement Serres","K1H","146.39","843.36","743.7","Course n∞2 | Finale B"
"Arthur Crueghe","K1H","147.45","728.77","756.07","Course n∞2 | Finale B"
"Gabriel Felenc","K1H","148.01","609.35","762.6","Course n∞2 | Finale B"
"Damien Caillard","K1H","150.08","676","786.75","Course n∞2 | Finale B"
"Jean Dayraut","K1H","150.29","577.44","789.2","Course n∞2 | Finale B"
"Tristan Ruiz","K1H","151.28","624.03","800.75","Course n∞2 | Finale B"
"Arthur Barreteau","K1H","153.58","585.14","827.58","Course n∞2 | Finale B"
"Felix Bedulho","K1H","154.32","875.84","836.21","Course n∞2 | Finale B"
"Quentin Rabot","K1H","156.19","933.17","858.03","Course n∞2 | Finale B"
"Yoan Dalla Longa","K1H","158.22","725.73","881.71","Course n∞2 | Finale B"
"Vincent Falchi","K1H","159.09","781.02","891.86","Course n∞2 | Finale B"
"Quentin Escudero","K1H","163","554.68","937.48","Course n∞2 | Finale B"
"Mael Bernes","K1H","167.1","374.05","985.31","Course n∞2 | Finale B"
"Jules Maitre","K1H","179.52","1207.67","1130.2","Course n∞2 | Finale B"
"Leo Arriau","K1H","181.98","880.03","1158.9","Course n∞2 | Finale B"
"Martin Thermidor","K1H","189.86","905.44","1250.83","Course n∞2 | Finale B"
"Mateo Destruel","K1H","192.52","895.65","1281.86","Course n∞2 | Finale B"
"Liam Caradec","K1H","206.12","559.43","1440.52","Course n∞2 | Finale B"
"Mat…o Million","K1H","217.07","1637.55","1568.27","Course n∞2 | Finale B"
"Angel Campillo","K1H","217.73","760.48","1575.97","Course n∞2 | Finale B"
"Tom Huertas","K1H","260.16","1905.11","2070.96","Course n∞2 | Finale B"
"Leo Larroque","K1H","302.31","1323.12","2562.69","Course n∞2 | Finale B"
"Daniel Lafitte","K1H","308.84","679.11","2638.87","Course n∞2 | Finale B"
"Julien Ducroq","K1H","468.35","1238.78","4499.75","Course n∞2 | Finale B"
"Bruno Lamothe","K1H","Abd","-","-","Course n∞2 | Finale B"
"Loic Leymonerie","K1H","Abd","-","-","Course n∞2 | Finale B"
"Aurelien Blois","K1H","Abd","-","-","Course n∞2 | Finale B"
"Eyquem Martin Skutnik","K1HM","174.52","1284.17","1071.87","Course n∞2 | Finale B"
"Arsene Labarthe","K1HM","177.53","839.15","1106.99","Course n∞2 | Finale B"
"Antonin Bretecher","K1HM","187.34","779.49","1221.43","Course n∞2 | Finale B"
"Wilfrid Pinto De Magalhaes","K1HM","189.48","857.28","1246.4","Course n∞2 | Finale B"
"Malo Maitrejean","K1HM","190.53","2224.61","1258.65","Course n∞2 | Finale B"
"Arthur Piqueras","K1HM","205.76","990.42","1436.32","Course n∞2 | Finale B"
"Theo Bertauts","K1HM","222.05","1086.59","1626.37","Course n∞2 | Finale B"
"Lilian Dujourd'hui","K1HM","223.21","1901.76","1639.9","Course n∞2 | Finale B"
"Nicolas Leman","K1HM","270.31","1464.42","2189.38","Course n∞2 | Finale B"
"Quentin Arnaudin","K1HM","272.25","2240.64","2212.01","Course n∞2 | Finale B"
"Martin Grzeskowiak","K1HM","668.36","7014.63","6833.11","Course n∞2 | Finale B"
"Miguel Irungaraylarronde","K1HM","Des","-","-","Course n∞2 | Finale B"
