"Sélectif Régional - SEV Lannion - 2013-01-13","Course 1","2013-01-13","Régional","181"
"Julien Rocaboy-Melaine Pichard","C2H","113.62","197.3","219.8",""
"Malo Poles-Baptiste Le Poncin","C2H","117.27","137.33","255.09",""
"Alan Dollo-Leo Le Druillennec","C2H","130.42","180.4","382.2",""
"Lucas Le Gall-Guillaume Kerambrun","C2H","136.07","-","436.82",""
"Melenn Aubry-Louis Raguenes","C2H","165.74","169.5","723.63",""
"Pierre Hellard-Malo Quemeneur","C2H","184.23","-","902.36",""
"Jonas Turmeau-Kevin Lemenaheze","C2H","184.5","260.57","904.97",""
"Lorin Dumont-Nicolas Le Belleguic","C2H","188.32","287.25","941.9",""
"Valentin Marteil-Paul Cazee","C2H","294.85","-","1971.67",""
"Jocelyn Le Floch-Thomas Launay","C2H","Nt","-","-",""
"Vincent Dubois-Alexis Pernelle","C2H","Nt","-","-",""
"Dimitri Etienne-Francois Gillot","C2H","Nt","-","-",""
"Vincent Dubois-Adele Renard","C2M","Nt","-","-",""
"Nagwa Lanchec El Desouki","K1D","111.43","-","170.04",""
"Camille Prigent","K1D","113.46","66","189.15",""
"Margaux Henry","K1D","113.67","95.17","191.12",""
"Marine Leveque","K1D","118.61","-","237.61",""
"Manon Caveribere","K1D","120.38","119.86","254.26",""
"Sarah Despres","K1D","122.75","114.27","276.55",""
"Heloise Geffray","K1D","126","152.38","307.14",""
"Lisa Marechal","K1D","129.25","165.47","337.73",""
"Emmanuelle Cossic","K1D","129.93","196.07","344.12",""
"Clothilde Le Louarn","K1D","130.16","159.39","346.29",""
"Sylviane Quemerais","K1D","130.45","220.31","349",""
"Adele Renard","K1D","136.29","247","403.98",""
"Fanny Kerambrun","K1D","137.67","-","416.96",""
"Muriel Van Vliet","K1D","150.59","-","538.53",""
"Maela Le Corre","K1D","156.86","-","597.53",""
"Oriane Pottier","K1D","161.41","207.93","640.35",""
"Anais Pignet","K1D","227.48","400.21","1262.06",""
"Maelle Le Guillou","K1D","293.73","-","1885.47",""
"Camille Grasland","K1D","318.68","-","2120.26",""
"Enora Bronsard","K1D","Nt","-","-",""
"Betty Merand","K1D","Nt","-","-",""
"Jeanne Henry","K1D","Nt","-","-",""
"Elodie Le Nechet","K1D","Nt","-","-",""
"Sarah Desnos","K1D","Nt","-","-",""
"Ewen Legrand","K1H","92.81","27.81","108.36",""
"William Desnos","K1H","96.49","38.29","147.49",""
"Cedric Jegouzo","K1H","97.59","74.04","159.18",""
"Fabien Le Nechet","K1H","98.07","72.07","164.29",""
"Alan Dollo","K1H","99.55","95.36","180.03",""
"Jonas Turmeau","K1H","99.82","41.27","182.89",""
"Laurent Le Touze","K1H","100.33","92.8","188.32",""
"Stann Savels","K1H","100.45","72.82","189.6",""
"Melaine Pichard","K1H","100.53","143.06","190.44",""
"Hugo Maher","K1H","100.82","101.48","193.53",""
"Anthony Mottais","K1H","101.76","56.54","203.53",""
"Romain Lecrenais-perrel","K1H","102.25","31.26","208.74",""
"Vincent Dubois","K1H","102.65","123.65","212.99",""
"Sami Rocher","K1H","102.8","88.99","214.58",""
"Nicolas Coudert","K1H","102.94","79.58","216.07",""
"Alexis Pernelle","K1H","103.17","110.58","218.52",""
"Francois Gillot","K1H","103.5","109.09","222.03",""
"Christophe Le Mercier","K1H","103.69","155.07","224.05",""
"Kevin Lemenaheze","K1H","103.84","105.03","225.64",""
"Malo Quemeneur","K1H","103.95","-","226.81",""
"Julien Dosse","K1H","104.66","168.33","234.36",""
"Lionel Tinevez","K1H","104.75","110.48","235.32",""
"Franck Delachair","K1H","104.86","117.16","236.48",""
"Simon Despres","K1H","106.24","108.84","251.16",""
"Hugo Guilleray","K1H","106.49","183.31","253.83",""
"Malo Le Paih","K1H","106.55","137.24","254.46",""
"Pierre Hellard","K1H","107.12","-","260.52",""
"Theo Quenouillere","K1H","107.15","93.19","260.84",""
"Nicolas Mignon","K1H","107.19","180.67","261.26",""
"Alexandre Bordas","K1H","107.36","-","263.07",""
"Clement Le Moal","K1H","107.37","149.1","263.18",""
"Manuel Coquelin","K1H","107.43","134.58","263.81",""
"Benoit Jouan","K1H","107.51","135.42","264.67",""
"Yann Le Govic","K1H","107.55","14.3","265.09",""
"Nicolas Carduner","K1H","107.84","-","268.18",""
"Leo Le Druillennec","K1H","107.89","121.9","268.71",""
"Regis Cabel","K1H","108.44","176.28","274.56",""
"Luc Hellard","K1H","109.02","101.32","280.73",""
"Paul-antoine Henry","K1H","109.03","204.59","280.83",""
"Jean Yves Prigent","K1H","109.75","177.7","288.49",""
"Ronan Nedelec","K1H","110.01","256.72","291.25",""
"Gwenael Marquer","K1H","110.29","155.71","294.23",""
"Pierre Yves Tanguy","K1H","110.33","146.18","294.66",""
"Morgan Le Friec","K1H","110.39","182.96","295.3",""
"Manuel Savels","K1H","111.01","161.82","301.89",""
"Maxime Foucault","K1H","112.38","98.75","316.46",""
"Stephane Debliquy","K1H","112.79","174.79","320.82",""
"Alain Droniou","K1H","113.65","223.43","329.96",""
"Maxime Lignereux","K1H","113.65","159.37","329.96",""
"Pol Hamon","K1H","113.91","168.36","332.72",""
"Florian Lepretre","K1H","114.33","132.07","337.18",""
"Simon Seuru","K1H","114.36","134.14","337.51",""
"Francois Adam","K1H","114.97","-","343.99",""
"Stephane Gallerne","K1H","115.05","171.34","344.84",""
"Emmanuel Cosse","K1H","115.25","161.26","346.96",""
"Arthur Chaumet","K1H","115.3","188.59","347.5",""
"Eadwin Famechon","K1H","115.66","245.72","351.32",""
"Nicolas Foulon","K1H","117.4","231.93","369.83",""
"Johann Loiseau","K1H","118.05","-","376.74",""
"Melaine Colin","K1H","118.06","245.22","376.84",""
"Nicolas Le Belleguic","K1H","118.97","213.42","386.52",""
"Francois Faguet","K1H","120.06","180.57","398.12",""
"Vincent Pelgrin","K1H","121.21","320.16","410.35",""
"Quentin Brillaut","K1H","122.71","307.71","426.3",""
"William Simon","K1H","123.55","242.36","435.23",""
"Lorin Dumont","K1H","123.95","143.64","439.47",""
"David Julou","K1H","124.01","-","440.11",""
"Anthony Drouhin","K1H","124.84","279.46","448.94",""
"Matthieu Lebret","K1H","125.43","-","455.21",""
"Patrick Jegou","K1H","125.96","233.97","460.85",""
"Nathan Flageul","K1H","129.44","335.8","497.86",""
"Awen Le Paih","K1H","132.05","343.39","525.6",""
"Guillaume Djaid","K1H","132.19","-","527.1",""
"Christophe Mitchell","K1H","132.22","335.73","527.41",""
"Pierre Texier","K1H","132.25","315.55","527.74",""
"Jeremy Lecollinet","K1H","135.15","-","558.57",""
"Brendan Croizer","K1H","135.99","480.55","567.5",""
"Jocelyn Le Floch","K1H","136.92","-","577.39",""
"Matheo Lebaindre","K1H","138.23","-","591.32",""
"Quentin Famechon","K1H","145.62","-","669.9",""
"Quentin Le Duc","K1H","146.88","-","683.29",""
"Boris Pernelle","K1H","151.54","92.34","732.85",""
"Henrik Lidstrom","K1H","153.11","-","749.54",""
"Yoann Le Guyader","K1H","157.93","122.18","800.79",""
"Maxence Briand","K1H","176.15","-","994.53",""
"Ludovic Le Cointre","K1H","177.52","242.53","1009.1",""
"Yann Le Bourser","K1H","178.97","-","1024.52",""
"Sylvain Le Dantec","K1H","179.49","301.88","1030.05",""
"Samuel Flament","K1H","194.92","-","1194.12",""
"Guillaume De Fierville","K1H","200.87","272.68","1257.39",""
"Paul Cazee","K1H","202.14","-","1270.89",""
"Kevin Lelievre - Le Ruyet","K1H","202.36","423","1273.23",""
"Nathan De Saint Just","K1H","217.15","-","1430.5",""
"Nathan Leretrif","K1H","254.77","-","1830.52",""
"Florentin Guguen","K1H","294.12","-","2248.93",""
"Thomas Rocher","K1H","Nt","-","-",""
"Glenn Tanguy","K1H","Nt","-","-",""
"Augustin Thomas","K1H","Nt","-","-",""
"Jules Chaumet","K1H","Nt","-","-",""
"Simon Guetta","K1H","Nt","-","-",""
"Edern Le Ruyet","K1H","Nt","-","-",""
"Dimitri Etienne","K1H","Nt","-","-",""
"Romain Guyomard","K1H","Nt","-","-",""
