"Sélectif Régional Slalom (Double) - Vinon-sur-verdon - Course n°1 | Qualification - 2017-11-18","Course n°1 | Qualification","2017-11-18","Régional","179"
"Andy Pajani","K1H","109.6","639.5","365.21",""
"Robin Andre","K1H","110.03","383.13","370.38",""
"Joachim Saussol","K1H","110.57","412.26","376.87",""
"Nicolas Detheve","K1H","112.18","320.02","396.23",""
"Julien Signarbieux","K1H","112.91","-","405.01",""
"Mikael Clanchin","K1H","113.38","334.64","410.67",""
"Hugues Lesimple","K1H","114.49","446.62","424.01",""
"Yann Leruste","K1H","114.55","319.17","424.74",""
"Raphael Massot","K1H","117.8","343.07","463.82",""
"Victorien Lombard","K1H","118.04","470.21","466.71",""
"Theo Soulier","K1H","118.54","393.81","472.72",""
"Gabriel Saul","K1H","118.54","495.65","472.72",""
"Remy Beal","K1H","119.16","424.47","480.18",""
"Germain Court","K1H","119.86","-","488.59",""
"Laurent Echivard","K1H","120.05","406.62","490.88",""
"Erwann Buthod","K1H","120.31","369.39","494.01",""
"Arthur Talarmain","K1H","121.28","612.38","505.67",""
"Erwan Quellec","K1H","121.58","549.29","509.28",""
"Tao Semeria","K1H","121.89","519.09","513.01",""
"Baptiste Duboc","K1H","122.6","449.62","521.55",""
"Romain Hautecouverture","K1H","123.39","440.48","531.05",""
"Remi Vallin","K1H","123.55","1369.3","532.97",""
"Valentin Affortit","K1H","123.79","519.29","535.86",""
"Alexis Mercoirol","K1H","124.93","593.18","549.57",""
"Cedric Mace","K1H","125.1","308.76","551.61",""
"Philippe Lelieur","K1H","125.11","501.77","551.73",""
"Bruno Giovannelli","K1H","125.58","572.23","557.38",""
"Charlie Genovese","K1H","126.28","473.65","565.8",""
"Paul Badache","K1H","126.54","535.32","568.93",""
"Esteban Reder-issartel","K1H","127.24","653.65","577.35",""
"Dominique Polard","K1H","127.51","530.79","580.59",""
"Pierre Courtois","K1H","127.72","524.1","583.12",""
"Valentin Jossemit","K1H","128.93","1100.45","597.67",""
"Romain Bourguignon","K1H","129.43","611.89","603.68",""
"Matthieu Rousseau","K1H","129.88","640.06","609.1",""
"Nicolas Demofsqui","K1H","130.34","462.68","614.63",""
"Jocelyn Locatelli","K1H","131.09","662.56","623.65",""
"Rutger Hoedemaker","K1H","135.26","652.47","673.8",""
"Ulysse Brunel","K1H","135.34","652.01","674.76",""
"Swann Imbert","K1H","136.55","777.56","689.31",""
"Ollivier Paumier","K1H","140.22","671.91","733.45",""
"Clement Blancgras","K1H","141.85","816.13","753.05",""
"Baptiste Dumas","K1H","144.18","604","781.07",""
"Simon Del Negro","K1H","145.33","651.55","794.9",""
"Stephen Furio","K1H","149.92","2123.39","850.1",""
"Justin Murphy","K1H","150.47","678.55","856.71",""
"Manu Kempf","K1H","159.43","1562.41","964.47",""
"Kilian Cottet","K1H","169.83","379.01","1089.54",""
"Mathieu Buono-michel","K1H","176.28","518.12","1167.11",""
"Gilles Lovera","K1H","177.13","553.32","1177.33",""
"Ange Bernard","K1H","185.61","774.88","1279.31",""
"Bastien Cothenet","K1H","187.81","578.51","1305.77",""
"Stephane Breton","K1H","188.55","-","1314.67",""
"Aurelien Lauze","K1H","200.16","923.05","1454.29",""
"Philippe Bigard","K1H","Abs","-","-",""
"Aymeric Rivier","K1H","Abs","-","-",""
"Pierre Fillinger","K1H","Abs","-","-",""
"Quentin Mignard","K1H","Abs","-","-",""
"Jeremy Wagner","K1H","Abs","-","-",""
"Alexandre Goujon","K1H","Abs","-","-",""
"Lucas Dominguez","K1H","Abs","-","-",""
"Maxime Bottex","K1H","Abs","-","-",""
"Maxence Jehan","K1H","Abs","-","-",""
"Thomas Thieblemont","K1H","Abs","-","-",""
"Louis Scalbert","K1H","Abs","-","-",""
"Jean-marc Suarez","K1H","Abs","-","-",""
"Mael Hervault","K1HM","112.82","394.52","403.93",""
"Tanguy Adisson","K1HM","118.18","490.47","468.39",""
"Corentin Georgeon","K1HM","119.27","497.67","481.5",""
"Gino Benini","K1HM","119.28","326.6","481.62",""
"Ugo Zanellato","K1HM","120.62","484.29","497.73",""
"Theo Brun","K1HM","121.92","454.5","513.37",""
"Clement Grapotte","K1HM","125.18","440.26","552.57",""
"Mathis Borie","K1HM","130.12","751.28","611.98",""
"Thibaud Chovin","K1HM","135.04","644.2","671.15",""
"Raphael Bonnard","K1HM","135.45","905.85","676.08",""
"Daniel Chambert","K1HM","136.54","719.3","689.19",""
"Leo Parnotte","K1HM","136.69","703.1","690.99",""
"Axel Clement","K1HM","139.68","532.04","726.95",""
"Arthur Sanchez","K1HM","142.17","650.32","756.9",""
"Louis Payan","K1HM","147.71","639.38","823.52",""
"Pierre Escuret","K1HM","150.71","646.79","859.6",""
"Axel Gondard","K1HM","152.22","1262.47","877.76",""
"Marc Lanchais","K1HM","155.29","-","914.68",""
"Oscar Puc","K1HM","158.61","937.49","954.61",""
"Edouard Chenal","K1HM","159.16","289.87","961.22",""
"Guillaume Mele","K1HM","163.1","1457.53","1008.6",""
"Clement Couchoud","K1HM","166.08","393.25","1044.44",""
"William Varela","K1HM","169.8","1611.43","1089.18",""
"Jules Sourieau","K1HM","195.62","1019.02","1399.69",""
"Gaspard Gonseth","K1HM","201.99","1011.07","1476.3",""
"Emile Jacquet","K1HM","Abs","-","-",""
"Baptiste Saul","K1HM","Abs","-","-",""
"Luka Balestrieri","K1HM","Abs","-","-",""
"Emmy Bernard","OUV","165.04","-","-",""
"Eloise Brisset","OUV","172.61","-","-",""
