"SLALOM REGIONAL DE MOUTIERS - Moutiers - 2004-10-10","Course 1","2004-10-10","Régional","187"
"Phily Anne","K1D","266.42","-","785",""
"Gaudin Marianne","K1D","269.20","-","806",""
"Gregori Stephanie","K1D","273.02","-","834",""
"Tiphanie Borlet","K1D","293.34","-","984",""
"Raphaelle Hovine","K1D","293.77","-","987",""
"Le Borgne Melanie","K1D","299.68","946","1031",""
"Carine Chapuis","K1D","304.12","-","1064",""
"Fromenteau Anais","K1D","422.94","-","1943",""
"Metje Aude","K1D","452.88","-","2165",""
"Pallud Renaud","K1H","154.54","29","106",""
"Damien Boudet","K1H","154.79","67","107",""
"Patrice Fischer","K1H","156.33","52","120",""
"Dimitriou Alexandre","K1H","158.46","196","138",""
"Boris Lutinier","K1H","158.69","211","140",""
"Thomas Bersinger","K1H","159.48","139","147",""
"Davy Egraz","K1H","159.55","54","147",""
"Luc Doye","K1H","160.71","155","157",""
"Renaud Doby","K1H","161.05","102","159",""
"Bertrand Bercon","K1H","161.98","149","168",""
"Wadel Florian","K1H","162.07","155","168",""
"Colliex Olivier","K1H","162.25","123","170",""
"Guillaume Provost","K1H","162.81","184","175",""
"Benoit Fer","K1H","163.39","161","180",""
"Renaud Metereau","K1H","164.80","186","191",""
"Julien Beltrami","K1H","165.01","151","193",""
"Laurent Brissaud","K1H","165.09","-","193",""
"Pascal Ferry","K1H","166.19","186","203",""
"Sebastien Lepaulard","K1H","166.35","189","204",""
"Bertrand Lamy","K1H","166.41","184","204",""
"Hugo Hager","K1H","167.40","194","213",""
"Delfs Yann","K1H","167.55","197","214",""
"Etienne Daille","K1H","167.76","237","216",""
"Daumas Jeremy","K1H","167.87","240","216",""
"Adrien Roussel","K1H","168.57","238","222",""
"Despax Cedric","K1H","168.69","-","224",""
"Jeremiah Mosch","K1H","168.72","252","224",""
"Keller Paco","K1H","169.04","201","226",""
"Andy Pajani","K1H","169.71","188","232",""
"Lebourgeois Alexis","K1H","170.25","214","237",""
"Ballini Yoann","K1H","171.08","310","243",""
"Bersinger Sylvain","K1H","171.31","253","246",""
"Olivier Hardonniere","K1H","171.33","185","246",""
"Noize Martial","K1H","172.16","298","253",""
"Muller Aurelien","K1H","172.97","-","259",""
"Guillaume Gery","K1H","173.37","314","263",""
"Pascal Hunault","K1H","174.93","258","276",""
"Alain Ferry","K1H","175.64","234","282",""
"Froissard Jonathan","K1H","176.14","276","286",""
"Bonnetain Quentin","K1H","176.22","333","287",""
"Olivier Bourgey","K1H","177.73","293","299",""
"Palix Lorin","K1H","177.83","265","300",""
"Nicolas Abbal","K1H","178.78","304","308",""
"Fabrice Madier","K1H","180.44","385","322",""
"Chassain Nathael","K1H","181.36","343","330",""
"Felix Balas","K1H","183.79","353","350",""
"Baude Francois","K1H","184.49","407","356",""
"Marsault Emilien","K1H","184.65","-","358",""
"Benjamin Renia","K1H","184.70","-","358",""
"Remi Wolf","K1H","184.80","206","359",""
"Martin Moreau","K1H","185.20","366","361",""
"Cottet Gaydon Francois","K1H","185.68","428","366",""
"Francony Bastien","K1H","186.03","989","369",""
"Tissot Fabien","K1H","186.03","584","369",""
"Martelet Romain","K1H","186.11","279","370",""
"Berenger Franck","K1H","186.81","-","375",""
"Rety Simon","K1H","187.31","378","379",""
"Philippe Jules","K1H","187.48","360","381",""
"Yan Labeye","K1H","187.51","-","381",""
"Antoine Vinay","K1H","188.25","463","387",""
"Bessiere Florian","K1H","188.31","409","388",""
"Yann Gudefin","K1H","188.46","171","389",""
"Biard Adrien","K1H","188.78","443","392",""
"Ardito Julien","K1H","189.41","-","397",""
"Jimy Bercon","K1H","190.44","-","405",""
"Wolfgang Schulz","K1H","191.55","435","415",""
"Balhat Youcef","K1H","191.85","473","417",""
"Christophe Lacave","K1H","191.91","-","417",""
"Vibert Guillaume","K1H","192.21","-","421",""
"Yoann Aupee","K1H","193.40","457","431",""
"Guilhem Courduries","K1H","194.30","1475","439",""
"Laurent Wolf","K1H","194.65","452","440",""
"Vaucher Dimitri","K1H","195.91","409","451",""
"Pradeau Xavier","K1H","196.62","464","457",""
"Dupriez Julien","K1H","198.72","-","474",""
"Vanier Lucas","K1H","200.66","-","492",""
"Vallet Florian","K1H","200.68","734","492",""
"Friboulet Mickael","K1H","201.20","512","495",""
"Aupee Eric","K1H","205.01","468","527",""
"Sylvain Ferry","K1H","206.06","-","537",""
"Fatou Clement","K1H","206.96","598","544",""
"Guillois Ugo","K1H","207.18","-","545",""
"Deswarte Antoine","K1H","207.46","-","548",""
"Provost Olivier","K1H","207.89","-","551",""
"Dalex Karl","K1H","208.83","616","560",""
"Romain Hager","K1H","210.88","-","577",""
"Dekerleau Sebastien","K1H","212.28","-","588",""
"Zaki Yassine","K1H","212.35","-","589",""
"Matthieu Basset","K1H","215.15","-","612",""
"Hafiz Ali Hassan","K1H","218.75","155","643",""
"Anxionnaz Gildas","K1H","223.24","-","680",""
"Cancel Guillaume","K1H","223.61","1106","683",""
"Pierre Alexandre Facon","K1H","226.02","-","703",""
"Neveu Remi","K1H","226.87","-","711",""
"Jeremy Pitton","K1H","229.38","-","731",""
"David Berthillier","K1H","233.96","-","769",""
"Bernard Valentin","K1H","235.39","-","781",""
"Yanis Burdet","K1H","235.53","-","783",""
"Billon Emerick","K1H","237.29","-","797",""
"Garcia Sébastien","K1H","264.94","-","1029",""
"Chanteloup Laurent","K1H","267.24","-","1048",""
"Bourneix Pierre","K1H","267.36","-","1049",""
"Chambellan Damien","K1H","268.81","-","1061",""
"Cnapelynck Aurélien","K1H","280.38","1540","1158",""
"Schifano Jordane","K1H","304.34","-","1359",""
"Remi Baudot","K1H","311.48","-","1418",""
"Charrier Michaël","K1H","318.43","-","1477",""
"Bergougnoux Anthony","K1H","323.08","-","1516",""
"Sautarel Cedric","K1H","323.57","-","1519",""
"Kim Hervé","K1H","346.42","-","1711",""
"Roullier Christophe","K1H","479.71","-","2826",""
