"SELECTION REGIONALE 1 - Servon Sur Vilaine - 2004-11-07","Course 1","2004-11-07","Régional","201"
"Charlotte Hay","K1D","292.42","438","351",""
"Charlene Le Corvaisier","K1D","293.34","-","356",""
"Laetitia Odermatt","K1D","295.12","503","365",""
"Prigent Julie","K1D","303.18","-","404",""
"Gallot Lavallee Edith","K1D","306.77","510","421",""
"Chevalier Yvane","K1D","307.22","571","423",""
"Laurent Le Touze","K1H","223.17","115","155",""
"Thomas Masuy","K1H","223.36","123","156",""
"Simon Despres","K1H","224.13","202","160",""
"Erwan Cadio","K1H","225.55","104","168",""
"Bercon Mathieu","K1H","225.70","151","169",""
"Matthieu Le Gall","K1H","225.76","38","169",""
"Le Marec Hermann","K1H","226.53","221","174",""
"Benoit Guillaume","K1H","226.91","175","176",""
"Roger Jeremie","K1H","227.07","65","177",""
"Sullivan Porcher","K1H","227.30","134","178",""
"Mathieu Le Gal","K1H","228.27","80","183",""
"Herve Busson","K1H","229.34","144","189",""
"Nicolas Coudert","K1H","229.52","78","190",""
"Lionel Tinevez","K1H","230.17","175","193",""
"Laurent Rigaud","K1H","230.40","169","196",""
"Sebastien Combot","K1H","230.69","64","197",""
"Sarazin Emmanuel","K1H","232.36","144","206",""
"Zoungrana Sebastien","K1H","232.41","334","207",""
"Pierre Marie Roussel","K1H","232.91","172","209",""
"Riwal Le Berre","K1H","233.88","97","214",""
"Kevin Gouabault","K1H","234.27","247","217",""
"Anthony Cadoret","K1H","237.29","233","233",""
"Nicolas Veillard","K1H","237.77","129","235",""
"Richard Davy","K1H","237.99","231","236",""
"Adrien Ferec","K1H","238.13","136","238",""
"Frederic Leclerc","K1H","238.49","161","240",""
"Florian Ordonneau","K1H","238.60","196","240",""
"Nicolas Carduner","K1H","238.74","123","241",""
"Franck Delachair","K1H","238.78","184","241",""
"Jerome Mainguy","K1H","239.18","235","243",""
"Jerome Le Hegarat","K1H","240.08","155","249",""
"Manuel Coquelin","K1H","240.18","188","249",""
"Betrom Ronan","K1H","240.57","178","251",""
"Goulwen Chapelier","K1H","241.54","161","256",""
"Frederic Castryck","K1H","241.90","235","259",""
"Piton Romain","K1H","242.20","-","260",""
"Benjamin Thiboust","K1H","242.63","279","263",""
"Gwenael Marquer","K1H","242.76","230","263",""
"Emmanuel Cosse","K1H","242.89","237","264",""
"Fouquart Thierry","K1H","243.22","322","265",""
"Ludovic Gloaguen","K1H","243.61","276","267",""
"Duliscouet Richard","K1H","243.84","233","270",""
"Le Pesquer Yann","K1H","245.41","186","277",""
"Jeremy Poux","K1H","245.80","201","280",""
"Le Coq Sebastien","K1H","245.92","210","281",""
"Yves Lecointe","K1H","246.17","216","282",""
"Melaine Pichard","K1H","246.25","269","283",""
"Potin Francois","K1H","246.33","-","283",""
"Emeric Bertrand","K1H","247.65","-","291",""
"Edern Le Ruyet","K1H","247.76","-","291",""
"Christophe Le Mercier","K1H","247.84","172","292",""
"Le Troadec Brendan","K1H","249.52","-","301",""
"Vincent Gourmel","K1H","249.61","337","301",""
"Vivien Colober","K1H","249.63","-","301",""
"Brieuc Cadic","K1H","250.18","298","304",""
"Erwan Le Pen","K1H","250.32","250","305",""
"Olivier Clement","K1H","250.62","267","306",""
"Philippe Rocher","K1H","250.90","326","308",""
"Laurent Van Poucke","K1H","252.24","336","315",""
"Le Garrec Julien","K1H","252.39","308","316",""
"Jean Yves Prigent","K1H","252.79","260","318",""
"Chaumier Florian","K1H","253.35","336","322",""
"Jean-luc Mottais","K1H","253.88","319","325",""
"Le Bouder Emilien","K1H","254.03","-","325",""
"Romain Richard","K1H","254.05","384","326",""
"Guillaume Huppert","K1H","254.90","306","330",""
"Lebreton Simon","K1H","255.22","302","331",""
"Cozigou Edouard","K1H","255.34","270","333",""
"Reuche Benjamin","K1H","255.35","397","333",""
"Ollivier Riwal","K1H","256.28","382","338",""
"Rossignol Yves","K1H","256.89","317","341",""
"Valentin Brindeau","K1H","256.95","412","341",""
"Fabien Le Nechet","K1H","257.25","-","342",""
"Froissard Arnaud","K1H","257.28","310","344",""
"David Despierres","K1H","257.54","310","345",""
"Guillotin Simon","K1H","257.70","-","346",""
"Paul Fievet","K1H","257.96","396","347",""
"Pierre Yves Tanguy","K1H","258.28","340","349",""
"Anthony Thuillier","K1H","258.40","360","349",""
"Gardan Benjamin","K1H","258.87","300","352",""
"Pennarun         * Kevin","K1H","259.54","379","356",""
"Pierre-yves Lebreton","K1H","260.05","407","358",""
"Romain Guyomard","K1H","260.48","-","361",""
"Erwan Desbordes","K1H","260.54","344","361",""
"Marrec Loic","K1H","260.92","-","363",""
"Corbeau Benjamin","K1H","260.93","382","363",""
"Jeremy Froger","K1H","261.24","374","365",""
"Eon Tom","K1H","261.50","386","367",""
"Charles Kerbellec","K1H","261.70","380","368",""
"Thomas Le Lons","K1H","263.13","-","376",""
"Fabien Le Bourser","K1H","263.34","-","377",""
"Andrieux Martin","K1H","263.47","409","378",""
"Debray Damien","K1H","263.75","330","379",""
"Simon Joseph","K1H","266.11","409","392",""
"Martin Fabien","K1H","266.98","-","397",""
"Joris Rocher","K1H","267.19","504","398",""
"Barroche Christopher","K1H","267.44","419","399",""
"Madec Christophe","K1H","267.61","434","400",""
"Anthony Mottais","K1H","268.00","448","402",""
"Deffay Axel","K1H","269.52","-","411",""
"Melen Pilorge","K1H","271.43","483","421",""
"Simon Even","K1H","273.19","-","431",""
"Lefort David","K1H","273.48","-","432",""
"Prigent Mathieu","K1H","273.54","417","433",""
"Le Bihan Yann","K1H","279.26","501","464",""
"Le Cornec Hilaire","K1H","282.34","-","482",""
"Hamou Charles-Elie","K1H","285.93","525","502",""
"Julien Dosse","K1H","287.86","128","511",""
"Hamou Axel","K1H","292.34","-","537",""
