"Sélectif Régional de slalom - Bassin D'eau Vives De Lisieux - Qualification - 2015-10-11","Qualification","2015-10-11","Régional","144"
"Antoine Martin-Romain Bouillon","C2H","131.49","728.77","665.73",""
"Lucas Jacob-Benoit Guernic","C2H","142.4","814.9","800.02",""
"Christophe Bachelot-Jacky Bachelot","C2H","146.55","683.85","851.09",""
"Louison Laumondais-Antoine Cruard","C2H","148.11","-","870.29",""
"Quentin Angot-Nicolas Candieu","C2H","159.58","-","1011.48",""
"Theo Moalic-Marceau Decarsin","C2H","211.14","840.85","1646.1",""
"Nathan Bouillon-Yves Boudon","C2H","308.84","1572.71","2848.66",""
"Thomas Martinet-Lucas Walbreq","C2HM","167.9","-","1113.88",""
"Teddy Poulard-Alize Bachelot","C2M","133.4","512.25","552.41",""
"Geoffroy Lauth-Rachel Broin","C2M","154.65","612.49","792.17",""
"Anne Lambert-Louison Laumondais","C2M","185.68","-","1142.27",""
"Estelle Boudon-Antoine Martin","C2M","230.18","-","1644.37",""
"Marion Matura-Pierre Sotto","C2M","259.24","-","1972.24",""
"Chloe Gatuingt","K1D","115.99","362.86","437.05",""
"Alize Bachelot","K1D","119.34","519.86","477.19",""
"Leontine Dubuisson","K1D","120.14","383.48","486.78",""
"Melina Letellier","K1D","124.4","438.59","537.81",""
"Theodora Seemann","K1D","141.14","-","738.39",""
"Marion Taviaux","K1D","152.27","452.52","871.74",""
"Anne Lambert","K1D","155.71","698.79","912.96",""
"Dominique Badie-kallou","K1D","162.62","691.9","995.75",""
"Marion Matura","K1D","284.21","-","2452.62",""
"Melanie Brunet","K1D","Abs","-","-",""
"Lison Gautrelet","K1DM","134.18","-","-",""
"Mylene Despres","K1DM","150.81","-","-",""
"Julianne Brosse","K1DM","166.78","-","-",""
"Mathilde HerbiniÈre","K1DM","188.68","-","1308",""
"Eloise Riviere","K1DM","244.02","-","1971.08",""
"Mehdi Rouich","K1H","81.87","168.82","155.75",""
"Xavier Jourdain","K1H","86.93","154.21","224.26",""
"Benjamin Thiboust","K1H","89.43","126.07","258.11",""
"Anthony Mottais","K1H","91.4","175.73","284.78",""
"Simon Boulan","K1H","92.84","-","304.28",""
"Bertrand Avril","K1H","96.78","251.76","357.62",""
"Louis Bouclier","K1H","99.02","-","387.95",""
"Teddy Poulard","K1H","99.55","444.65","395.13",""
"Martin Mottais","K1H","99.56","-","395.26",""
"Guillaume Doutreix","K1H","99.58","288.97","395.53",""
"Nicolas Candieu","K1H","99.65","352.72","396.48",""
"Mathieu Godin","K1H","99.81","325.04","398.65",""
"Clement Font-boinel","K1H","100.74","400.91","411.24",""
"Lucas Jacob","K1H","101.3","343.97","418.82",""
"Thibault Joncret","K1H","102.54","-","435.61",""
"Simon Dubosc","K1H","103.46","299.8","448.07",""
"Niels Beaumont","K1H","103.84","432.05","453.21",""
"Isidore Dubuisson","K1H","104.43","437.57","461.2",""
"Enzo Cozette","K1H","105.52","501.77","475.96",""
"Alexandre Marteau","K1H","106.8","-","493.29",""
"Thomas Trey D'ousteau","K1H","107.78","-","506.56",""
"Louison Laumondais","K1H","107.84","388.8","507.37",""
"Eloi Seemann","K1H","107.99","-","509.4",""
"Loic Goubert","K1H","108.37","-","514.54",""
"Mickael Pra","K1H","108.99","-","522.94",""
"Quentin Angot","K1H","109.65","545.89","531.88",""
"Marceau Decarsin","K1H","110.34","544.6","541.22",""
"Benoit Guernic","K1H","110.55","517.55","544.06",""
"Alexis Pitres","K1H","113.3","461.87","581.29",""
"Theo Lecointe","K1H","113.65","446.44","586.03",""
"Theo Moalic","K1H","114.34","686.65","595.38",""
"Charles Bre","K1H","116.96","-","630.85",""
"Amael Samson","K1H","117.49","-","638.02",""
"Charles Ferrion","K1H","117.55","-","638.84",""
"Jean-luc Mottais","K1H","118.3","-","648.99",""
"Lilian Lepenant","K1H","118.62","689.63","653.32",""
"Baptiste Le Cocq","K1H","120.11","740.7","673.5",""
"Mathieu Cruard","K1H","120.18","574.7","674.45",""
"Romain Bouillon","K1H","120.37","413.4","677.02",""
"Eddie Vinandy","K1H","120.62","-","680.4",""
"Pablo Ramirez","K1H","122.49","667.48","705.72",""
"Augustin Francois","K1H","124.74","559.39","736.19",""
"Axel Lepenant","K1H","125.71","-","749.32",""
"Maxime Langlais","K1H","127.55","-","774.23",""
"Nathan Bouillon","K1H","129.24","827.71","797.11",""
"Yves Boudon","K1H","132.81","678.55","845.45",""
"Alexandre Mauger","K1H","141.65","-","965.14",""
"Jerome Bourlet","K1H","154.52","-","1139.39",""
"Bruno Hely","K1H","162.46","-","1246.89",""
"Axel Kottelanne","K1H","172.46","-","1382.29",""
"Kevin Langlois","K1H","197.37","-","1719.55",""
"Sacha Touati","K1H","210.49","-","1897.19",""
"Leo Demazeau","K1H","Abs","-","-",""
"Quentin Mannier","K1H","Abs","-","-",""
"Nathan Aubert","K1H","Abs","-","-",""
"Mathieu Aussant","K1H","Des","-","-",""
"Thomas Martinet","K1HM","118.52","-","651.97",""
"Estephe Decarsin","K1HM","121.81","-","-",""
"Hugo Lecointe","K1HM","125.18","-","-",""
"Lucas Weilbach","K1HM","128.11","-","781.81",""
"Lenny Touati","K1HM","133.37","-","-",""
"Tom Allio","K1HM","138.47","-","-",""
"Clement Hamel","K1HM","141.34","-","-",""
"Lucas Walbreq","K1HM","144.93","565.97","1009.55",""
"Mathias Felix","K1HM","168.65","-","-",""
"Steven Vannier","K1HM","175.18","-","-",""
"Enzo Baillobay","K1HM","181.71","-","1507.53",""
"Isaac Bowring","K1HM","200.81","-","-",""
"Dante Bourlet De La Vallee","K1HM","225.52","-","2100.69",""
"Baptiste Gacoin","K1HM","227.43","-","2126.55",""
"Elie Gerault","K1HM","234.37","-","2220.51",""
"Benjamin Georgin","K1HM","303.74","-","-",""
