"Sélectif National 3 Slalom Est - Pontarlier - Finale - 2018-04-15","Finale","2018-04-15","Nationale 3","165"
"Victor Henry","K1H","108.8","470.02","485.77","Finale A"
"Christophe Godinat","K1H","108.87","478.42","486.72","Finale A"
"Constant Jeandon","K1H","110.33","459.32","506.44","Finale A"
"Matthieu Walfard","K1H","110.41","355.18","507.52","Finale A"
"Theo Beucler","K1H","110.81","452.35","512.92","Finale A"
"Arnaud Jamet","K1H","112.37","479.06","533.99","Finale A"
"Axel Ganthier","K1H","112.86","471.4","540.61","Finale A"
"Paul Farrugio","K1H","113.27","506.74","546.15","Finale A"
"Loann Delle Dananchet","K1H","113.78","561.19","553.04","Finale A"
"Pierre Biagui","K1H","114.44","356.79","561.95","Finale A"
"Antoine Marion","K1H","114.59","455.46","563.98","Finale A"
"Erwan Degreve","K1H","115.05","399.72","570.19","Finale A"
"Nathan Frison","K1H","115.63","651.97","578.02","Finale A"
"Loic Bourgeois","K1H","118.15","440.76","612.06","Finale A"
"Leonard Painteaux","K1H","154.75","416.17","1106.41","Finale A"
"Tanguy Malingre","K1H","155.76","381.82","1120.06","Finale A"
"Mae Bianco","C1D","140.13","613.24","598.49","Finale B"
"Heloise Pinon","C1D","150.4","598.92","714.08","Finale B"
"Melyne Jost","C1D","189.1","548.3","1149.68","Finale B"
"Vivien Stemmelen","C1H","114.71","478.73","496.82","Finale B"
"Lionel Borde","C1H","118.61","646.05","546.99","Finale B"
"Anthony Ulrich","C1H","119.77","622.23","561.91","Finale B"
"Simon Munch","C1H","120.03","657.48","565.25","Finale B"
"Claude Menissier","C1H","120.84","417.98","575.68","Finale B"
"Matthieu Koffel","C1H","121.62","942.56","585.71","Finale B"
"Anthony Menissier","C1H","122.84","514.54","601.39","Finale B"
"Sebastien Varin","C1H","123.97","659.3","615.94","Finale B"
"Jules Andrien","C1H","125.95","569.14","641.4","Finale B"
"Arnaud Caillet","C1H","128.24","567.19","670.86","Finale B"
"Maxime Devis","C1H","136.61","1005.83","778.54","Finale B"
"Nathan Frison","C1H","137.32","803.23","787.67","Finale B"
"Antoine Marion","C1H","138.71","820.49","805.55","Finale B"
"Vincent Chamois","C1H","143.01","970.47","860.86","Finale B"
"Christophe Billaud","C1H","144.86","765.66","884.66","Finale B"
"Victor Henry","C1H","145.19","911.38","888.9","Finale B"
"Clement Fremy","C1H","146.99","918.82","912.05","Finale B"
"Alexis Sevrez","C1H","175.78","664.43","1282.41","Finale B"
"Gaelle Aumer-Olivier Urbain","C2M","141.01","531.07","608.39","Finale B"
"Caroline Scherer-Michel Bert","C2M","156.27","589.95","780.16","Finale B"
"Alexis Sevrez-Lucille Meunier-cheyssac","C2M","169.29","2083.03","926.71","Finale B"
"Maeva Auriol","K1D","126.18","495.39","529.45","Finale B"
"Fiona Gille","K1D","127.59","481.95","546.31","Finale B"
"Agathe Caillet","K1D","130.35","536.88","579.3","Finale B"
"Maude Dominique","K1D","135.42","527.86","639.9","Finale B"
"Sarah Rothenbuhler","K1D","139.18","668.03","684.84","Finale B"
"Carole Dolmaire","K1D","140.15","667.67","696.44","Finale B"
"Margaux Cornet","K1D","146.02","944.84","766.6","Finale B"
"Heloise Pinon","K1D","148.74","706.88","799.11","Finale B"
"Audrey Masson","K1D","151.24","713.11","829","Finale B"
"Manon Bucher","K1D","159.14","887.42","923.42","Finale B"
"Lucile Bessot","K1D","161.1","846.6","946.85","Finale B"
"Kilian Godart","K1H","98.74","303.84","354.89","Finale B"
"Lois Pignon","K1H","105.94","507.76","452.14","Finale B"
"Vincent Idriss Achaoui","K1H","108.31","395.14","484.15","Finale B"
"Titouan Auriol","K1H","111.51","619.65","527.37","Finale B"
"Matthew Vuillard","K1H","112.53","445.82","541.15","Finale B"
"Patrick Gass","K1H","112.93","493","546.55","Finale B"
"Jonathan Ferreira","K1H","113.81","603.74","558.44","Finale B"
"Gael Ettwiller","K1H","114","539.74","561.01","Finale B"
"Gilles Barthelemy","K1H","114.06","918.36","561.82","Finale B"
"Jules Latimier","K1H","114.1","447.86","562.36","Finale B"
"Virgile Bessot","K1H","114.14","590.75","562.9","Finale B"
"Philippe Koffel","K1H","114.39","504.96","566.27","Finale B"
"Christophe Billaud","K1H","114.6","411.22","569.11","Finale B"
"Gerard Menissier","K1H","115.67","480.34","583.56","Finale B"
"Alexandre L'huillier","K1H","115.97","572.64","587.62","Finale B"
"Gauthier Principaud","K1H","116.11","678.22","589.51","Finale B"
"Mehdi Moussaid","K1H","116.24","631.65","591.26","Finale B"
"Luc Primet","K1H","116.36","724.08","592.88","Finale B"
"Samuel Tahaafe","K1H","116.42","499.34","593.69","Finale B"
"Sebastien Chapatte","K1H","116.82","489.72","599.1","Finale B"
"Xavier Rat","K1H","116.98","497.24","601.26","Finale B"
"Yann Mercier","K1H","117.14","609.14","603.42","Finale B"
"Aymeric Dollat","K1H","117.36","470.2","606.39","Finale B"
"Arnaud Caillet","K1H","117.72","515.16","611.25","Finale B"
"Clement Fremy","K1H","118.5","616.28","621.79","Finale B"
"Louis Sibille","K1H","118.6","518.95","623.14","Finale B"
"Mattheo Szkuta","K1H","119.45","737.6","634.62","Finale B"
"Nicolas Bougnon","K1H","120.21","919.74","644.89","Finale B"
"Seraphin Michelstahl","K1H","121.4","811.15","660.96","Finale B"
"Valentin Bostoen","K1H","121.42","631.54","661.23","Finale B"
"Maxime Devis","K1H","121.61","593.2","663.79","Finale B"
"Jules Ferber","K1H","122.43","674.84","674.87","Finale B"
"Alexandre Lambert","K1H","123.44","707.4","688.51","Finale B"
"Paul Gstalter","K1H","126.15","978.89","725.12","Finale B"
"Robin Giurlando","K1H","128.81","706.94","761.04","Finale B"
"Kevin Vienny","K1H","130.77","804.79","787.52","Finale B"
"Heino Leveque","K1H","131.17","792.45","792.92","Finale B"
"Theophile Vincent","K1H","136.79","718.53","868.83","Finale B"
"Maxence Raymond","K1H","136.9","726.94","870.32","Finale B"
"Barnabe Sennelier","K1H","143.91","873.78","965","Finale B"
"Aloys Morel","K1H","145.64","919.91","988.37","Finale B"
"Mathieu Jacquelin","K1H","147.28","926.04","1010.52","Finale B"
"Gregoire Rozain","K1H","174.61","822.06","1379.66","Finale B"
"Evan Trenchant","K1H","180.44","809.98","1458.41","Finale B"
"Jean Guyot","K1H","Abs","-","-","Finale B"
