"SÈlectif RÈgional de Slalom Vaires-sur-Marne - 77360 Vaires Sur Marne - Qualification - 2020-09-13","Qualification","2020-09-13","RÈgional","281"
"Romain Huguenin","K1H","223.91","349.09","1969.33",""
"Helwann Rachdi","K1H","233.75","370.98","2096.61",""
"Kyllian Leroux Senac","K1H","241.49","776.63","2196.73",""
"Philippe Valeri","K1H","250.59","597.42","2314.44",""
"Theo Brun","K1H","257.43","249.32","2402.91",""
"Alexandre Allemang","K1H","345.18","-","3537.96",""
"Joris Bonine","K1H","374.09","617.45","3911.91",""
"Leo Leblanc","K1H","386.14","1596.25","4067.78",""
"Yann Dhieux","K1H","408.29","641.48","4354.29",""
"Victor Cauet","K1H","Abd","-","-",""
"Esteban Saussereau","K1H","Abs","-","-",""
"Thomas Alves","K1H","Abd","-","-",""
"Maixent De Poucques","K1H","Abs","-","-",""
"Francois Durand","K1H","Abs","-","-",""
"Jerome Talbot","K1H","Abs","-","-",""
"Cosme Duboc","K1H","Abs","-","-",""
"GaÀtan De Greef","K1H","Abs","-","-",""
"Loric Bertrand Delorme","K1H","Abs","-","-",""
"Alain Brucher","K1H","Abd","-","-",""
"Elouan Debliquy","K1HM","105.06","362.64","432",""
"Luca Chapatte","K1HM","115.75","374.57","570.28",""
"Ianis Triomphe","K1HM","115.89","369.05","572.09",""
"Tao Petit","K1HM","118.81","582.57","609.86",""
"Yuha Egraz","K1HM","124.31","539.7","681",""
"Cl…ment Davy","K1HM","131.49","-","773.88",""
"Eliot Gompel","K1HM","136.35","-","836.74",""
"Colin Floch","K1HM","149.82","-","1010.98",""
"Martin Cornu","K1HM","153.97","328.62","1064.66",""
"Jan Gabin Pischek","K1HM","166.13","489.72","1221.95",""
"Quentin Dubelloy","K1HM","169.88","738.23","1270.45",""
"Alric Detheve","K1HM","170.24","648.54","1275.11",""
"Gustave Gonseth","K1HM","182.78","746.47","1437.31",""
"Nathan Morris","K1HM","183.82","671.12","1450.77",""
"Antonin Costa","K1HM","226.53","697.4","2003.22",""
"Kavishan Kulatunga","K1HM","264.68","625.12","2496.69",""
"Leo Le Sort","K1HM","309.62","836.73","3077.99",""
"Mathys Valliere","K1HM","349.07","973.57","3588.28",""
"Antoine Fournier","K1HM","Abs","-","-",""
"Romain Podevin","K1HM","Des","-","-",""
