"Coupe de France N1 - Rabodanges - 2ème Manche - 2001-03-04","2ème Manche","2001-03-04","Nationale 1","118"
"Charles Edouard Dherment","K1H","228.36","-","99",""
"Alonso Remy","K1H","228.62","-","99",""
"Radureau Lionel","K1H","229.39","-","102",""
"Bluy Alexandre","K1H","229.4","-","102",""
"Ragot Laurent","K1H","229.92","-","103",""
"Fabien Hantz","K1H","230.14","-","104",""
"Trzeciak Vincent","K1H","230.93","-","107",""
"Riwal Le Berre","K1H","231.14","-","107",""
"Gregory Busson","K1H","231.55","-","109",""
"Thibaud Delaunay","K1H","233.08","-","113",""
"Aurelien Maynadier","K1H","235.07","-","120",""
"Arnaud Lapeze","K1H","236.73","-","125",""
"Mehdi Amini","K1H","258.56","-","194",""
