"Finale de la Coupe de France Nationale 1 Slalom - Bourg St Maurice - Qualification - Manche 2 - 2018-07-28","Qualification - Manche 2","2018-07-28","Nationale 1","120"
"Benjamin Thiboust","K1H","101.95","-","-",""
"Mathieu Monier","K1H","102.14","-","-",""
"Pierre-louis Saussereau","K1H","102.88","-","-",""
"Lucas Galmiche","K1H","103.41","-","-",""
"Emmanuel Walczak","K1H","103.62","-","-",""
"Florian Busson","K1H","103.91","-","-",""
"Theo Foucher","K1H","104.19","-","-",""
"Hippolyte Cail","K1H","104.65","-","-",""
"Sebastien Routhier","K1H","105.38","-","-",""
"Nicolas Mevel","K1H","105.46","-","-",""
"Pierre Marie Roussel","K1H","106.42","-","-",""
"Vincent Reiter","K1H","106.75","-","-",""
"Gurgen Brun","K1H","107.39","-","-",""
"Pol Euzenes","K1H","109.69","-","-",""
"Erwan Rouch","K1H","112.31","-","-",""
"Jonathan Chapatte","K1H","117.24","-","-",""
"Anthony Thuillier","K1H","123.46","-","-",""
"Laurent Starck","K1H","143.3","-","-",""
"Jules Bevalot","K1H","147.63","-","-",""
"Louison Turmeau","K1H","148.39","-","-",""
"Luca Dos Santos","K1H","150.04","-","-",""
"Olivier Cail","K1H","150.19","-","-",""
"Pierre Hellard","K1H","157.04","-","-",""
"Yanis Rainaud","K1H","157.05","-","-",""
"Zeph Scamps","K1H","159.24","-","-",""
"Leo Fournier","K1H","161.32","-","-",""
"Maxime Bottex","K1H","170","-","-",""
"Alan Dollo","K1H","199.28","-","-",""
"Benjamin Dodane","K1H","202.86","-","-",""
"Bertrand Gutierrez","K1H","259.34","-","-",""
"Dylan Sourbe","K1H","281.46","-","-",""
"Paul Gestin","K1H","307.15","-","-",""
"Nicolas Rouleaud","K1H","Abs","-","-",""
