"Sélectif N3 Nord Est - Sélestat - 2002-05-05","Course 1","2002-05-05","Nationale 3","128"
"Eric Marmet","K1H","266.72","548","498",""
"Bechade Olivier","K1H","267.39","560","502",""
"Zimmermann Clement","K1H","270.78","509","521",""
"Hubschwerlin Pierre","K1H","272.93","573","533",""
"Pollet Manu","K1H","273.48","755","536",""
"Dameron Antoine","K1H","273.83","581","538",""
"Ehlinger Robin","K1H","275.05","498","544",""
"Hamann Damien","K1H","275.08","507","544",""
"Eric Louis","K1H","277.20","562","556",""
"Hetier Louis","K1H","277.86","540","560",""
"Lantenois Mickael","K1H","283.54","542","590",""
"Zouaoui Jose","K1H","284.59","768","596",""
"Ureta Stephane","K1H","285.39","550","601",""
"Gilles Lucas","K1H","287.08","545","610",""
"Senechal Alexis","K1H","289.54","696","623",""
"Vieillard Alexis","K1H","295.51","492","656",""
"Doury Jean-Francois","K1H","298.62","577","673",""
"Bartl Boris","K1H","299.14","434","676",""
"Pascal Sallot","K1H","301.80","623","690",""
"Levasseur Nicolas","K1H","306.86","492","718",""
"Malboze Jerome","K1H","307.22","576","720",""
"Muguet-Robba Paul-Antoine","K1H","316.87","409","773",""
"Ospitalier Vincent","K1H","339.44","726","897",""
"Thenon Gregori","K1H","348.70","580","947",""
"Feltin Johan","K1H","351.46","587","962",""
"Christophe Benjamin","K1H","352.13","455","966",""
"Serra Thibault","K1H","387.80","701","1161",""
