"Sélectif régional slalom du pont des grottes de Betharam - St Pée De Bigorre - 2008-12-07","Course 1","2008-12-07","Régional","207"
"Remy Guerinet","K1H","256.37","226","267",""
"Thibaud Lacour","K1H","258.13","148","275",""
"Anthony Themines","K1H","258.54","260","277",""
"Gurgen Brun","K1H","259.52","240","281",""
"Clement Guiraud","K1H","263.81","286","302",""
"Antoine Roux","K1H","265.81","318","311",""
"Maxime Le Henaff","K1H","265.96","331","312",""
"Manuel Dolie","K1H","266.34","342","313",""
"Thomas Ducoms","K1H","267.63","300","320",""
"Franck Guarderia","K1H","268.54","-","324",""
"Marc Anthoine Marchand","K1H","268.72","308","325",""
"Jeancharles Bernis","K1H","270.71","325","334",""
"Jean-francois Souville","K1H","270.94","237","335",""
"Antoine Demateis","K1H","271.70","328","338",""
"Tony Deshayes","K1H","272.02","336","340",""
"Olivier Cain","K1H","273.03","-","345",""
"Benjamin Renia","K1H","273.89","38","349",""
"Guillaume Marmer","K1H","273.89","278","349",""
"Remi Parayre","K1H","274.40","356","351",""
"Romain Chabrol","K1H","275.22","110","355",""
"Frederic Lascourreges","K1H","275.99","-","358",""
"Antony Alves","K1H","276.20","-","359",""
"Baptiste Soulat","K1H","277.95","-","368",""
"Gaetan Coat","K1H","278.24","404","369",""
"Remi Dramard","K1H","278.72","-","372",""
"Nicolas Herr","K1H","278.80","453","372",""
"Brice Desbieys","K1H","279.15","-","373",""
"Nicolas Fayol","K1H","279.26","-","373",""
"Brice Dantin","K1H","280.41","-","379",""
"Pascal Dongarra","K1H","280.61","-","380",""
"Igor Verdy","K1H","281.72","313","385",""
"Jolan Konig","K1H","287.02","494","410",""
"Francois Cauchi","K1H","287.27","300","411",""
"Florian Fargier","K1H","289.70","441","422",""
"Francois Giondini","K1H","290.11","-","424",""
"Adrien Ponassie","K1H","293.16","-","439",""
"Alain Minvielle","K1H","296.48","-","454",""
"Alexandre Ittel","K1H","296.62","237","455",""
"Jean Bernard Lacave","K1H","297.92","428","461",""
"Louis Bouchiat","K1H","300.48","465","472",""
"Romain Cazaux-lerou","K1H","300.88","-","474",""
"Aymeric Maynadier","K1H","301.17","172","476",""
"Frederic Saint Agne","K1H","301.24","379","476",""
"Eric Vidou","K1H","302.63","-","483",""
"Jean-philippe Rome","K1H","302.71","522","483",""
"Jean-daniel Bost","K1H","303.41","383","487",""
"Thomas Wingerter","K1H","305.28","407","495",""
"Kevin Monlezun","K1H","309.54","-","515",""
"Marc Lalande","K1H","310.24","-","518",""
"Elie Compain","K1H","313.08","476","532",""
"Pierre Cottereau","K1H","316.47","867","547",""
"Nicolas Neveu","K1H","318.06","-","555",""
"Sebastien Mathieu","K1H","318.26","-","556",""
"Loic Gibert","K1H","319.30","472","561",""
"Sebastien Martel","K1H","319.77","-","562",""
"Florian Campagnole","K1H","321.46","473","570",""
"Xavier Auneau","K1H","324.28","710","584",""
"Mathieu Pouchet","K1H","324.29","271","584",""
"Benjamin Boniface","K1H","330.94","-","615",""
"Komlangan Gassou","K1H","339.18","-","654",""
"Aurelien Penicaud","K1H","340.22","826","658",""
"Kevin Alves","K1H","349.43","-","702",""
"Loic Pierre","K1H","362.38","-","762",""
"Thibault Le Henaff","K1H","365.03","332","774",""
"Sebastien Peres","K1H","373.75","-","815",""
"Benjamin Rols","K1H","377.29","-","831",""
"Nathanael Jay","K1H","397.15","301","924",""
"Ludovic Carniaux","K1H","401.12","551","942",""
"Paul Bousquet","K1H","401.82","-","945",""
"Gabriel Prunet-foch","K1H","421.20","-","1036",""
"Francois Curo","K1H","450.88","-","1175",""
"Vincent Zago","K1H","476.90","-","1296",""
"Olivier Ramos","K1H","512.70","-","1463",""
"Marc Cailhol","K1H","517.46","418","1485",""
"Damien Berger","K1H","532.81","836","1556",""
"Adrien Chatignol","K1H","626.87","-","1996",""
"Vincent Lapeyrigne","K1H","701.61","-","2344",""
"Sylvain Bonneau","K1H","733.92","-","2496",""
