"SLALOM REGIONAL DE PAU - Pau - 2004-11-28","Course 1","2004-11-28","Régional","222"
"Ponassie Adrien- Barthes Julien","C2H","211.98","302","264",""
"Deslux Richard- Deslux Bertrand","C2H","217.20","322","295",""
"Heugas Jeremy- Heugas Alexandre","C2H","234.07","-","395",""
"Thomas Martin- Caillon Romain","C2H","240.37","-","433",""
"Ponassie Gregory- Bibonne Kevin","C2H","245.87","-","465",""
"Le Provost Nicolas- Mareau Damien","C2H","246.78","-","471",""
"Hecquet Guillaume- Vouillat Nathan","C2H","274.86","-","638",""
"Frederic Descot-Yoan Dalla Longa","C2H","282.95","421","686",""
"Thebault Denis- Le Furaut Nathalie","C2M","317.51","-","892",""
"Nelly Tornare","K1D","179.13","56","40",""
"Bardet Annelise","K1D","183.57","13","66",""
"Bomboy Alice","K1D","187.79","76","91",""
"Marie-zelia Lafont","K1D","188.09","68","93",""
"Mathilde Pichery","K1D","189.17","32","99",""
"Elisa Venet","K1D","192.73","106","119",""
"Ophelie Delaplace","K1D","193.13","57","121",""
"Thome Celine","K1D","194.92","57","132",""
"Perrine Beguery","K1D","198.60","151","153",""
"Laura Combot","K1D","199.93","121","161",""
"Barthelme Anne-France","K1D","203.70","168","183",""
"Agulhon Marianne","K1D","206.94","-","201",""
"Zoe Anxionnaz","K1D","207.87","167","207",""
"Laura Lyphout","K1D","208.41","207","210",""
"Stephanie Kaczmarek","K1D","208.54","166","211",""
"Anais Bouchet","K1D","215.46","244","251",""
"Laurence Pessoni","K1D","225.83","241","311",""
"Beuvin Camille","K1D","228.02","301","324",""
"Thiebaut Magali","K1D","231.07","-","341",""
"Laetitia Thueux","K1D","234.58","316","362",""
"Pauline Guiet","K1D","253.11","-","468",""
"Bresson Celia","K1D","255.18","365","481",""
"Detollenaere Manon","K1D","255.24","432","481",""
"Violaine Truche","K1D","269.64","379","565",""
"Vasseur Diane","K1D","270.79","438","571",""
"Lyphout Virginie","K1D","275.51","228","599",""
"Pommarede Aurelie","K1D","281.47","574","633",""
"Heape Alexandra","K1D","297.64","-","727",""
"Natacha Lafitte","K1D","305.94","-","774",""
"Le Furaut Nathalie","K1D","358.61","-","1079",""
"Fabien Lefevre","K1H","158.71","16","41",""
"Loris Minvielle","K1H","162.87","45","69",""
"Benoit Molinier","K1H","163.98","88","76",""
"Julien Billaut","K1H","164.31","18","78",""
"Sebastien Halilou","K1H","165.43","40","85",""
"Frederic Walczak","K1H","166.70","21","94",""
"Julien Dekarczyk","K1H","166.90","23","96",""
"Pierre Devaux","K1H","168.61","15","107",""
"Michael Guyon","K1H","168.72","63","107",""
"Dardilhac Anthony","K1H","168.79","116","108",""
"Bernis Camille","K1H","169.04","37","109",""
"Damien Laborde","K1H","169.14","51","110",""
"Florian Berail","K1H","169.22","93","110",""
"Benoit Rouffet","K1H","170.11","60","116",""
"Aurelien Leroy","K1H","171.29","134","124",""
"Samuel Hernanz","K1H","172.76","44","134",""
"Guillaume Picco","K1H","172.89","99","135",""
"Florian Gosselin","K1H","174.62","137","146",""
"Fabrice Poueyto","K1H","176.04","176","155",""
"Estanguet Aldric","K1H","177.35","54","163",""
"Deguil Eric","K1H","178.49","-","171",""
"Quentin Bove","K1H","179.17","144","176",""
"Antoine Egreteau","K1H","179.21","158","176",""
"Louis Georges Lafont","K1H","179.53","190","178",""
"Ronan Lucas","K1H","180.31","181","183",""
"Bibron Florian","K1H","180.40","143","184",""
"Bibes Jean Michel","K1H","180.47","-","184",""
"Bertrand Gourrat","K1H","180.66","149","185",""
"Menager Vincent","K1H","180.76","150","186",""
"Julien Lenaour","K1H","181.50","220","191",""
"David Riffaud","K1H","182.78","137","199",""
"Colin Molinier","K1H","183.21","178","202",""
"Remy Guerinet","K1H","183.26","230","202",""
"Julien Coudert","K1H","184.55","146","211",""
"Lucien Delfour","K1H","184.73","160","212",""
"Baylacq Dominique","K1H","186.16","-","221",""
"Eric Jolit","K1H","186.50","204","224",""
"Jonathan Delagnes","K1H","186.71","210","225",""
"Duquet Guillaume","K1H","186.93","195","226",""
"Bastien Dantin","K1H","187.98","236","233",""
"Larenaudie Sebastien","K1H","189.03","-","240",""
"Boris Lesimple","K1H","189.47","217","243",""
"Maelstaf Jeremy","K1H","189.49","226","244",""
"Franck Peyrical","K1H","190.44","237","250",""
"Thibaud Rottier","K1H","190.86","261","252",""
"Le Menu Cedric","K1H","190.98","-","253",""
"Marc Laborde","K1H","191.39","198","256",""
"Jose Pereira","K1H","191.49","217","256",""
"Hugo Biso","K1H","191.49","214","256",""
"Processe Christian","K1H","192.30","279","261",""
"Valerian Boulet","K1H","192.73","268","264",""
"Clerc Pierrealain","K1H","193.00","205","266",""
"Delahaie Emmanuel","K1H","193.68","275","270",""
"Christophe Gosselin","K1H","193.93","199","272",""
"Jerome Dorizon","K1H","194.45","259","275",""
"Debons Frederic","K1H","195.58","366","283",""
"Olivier Cain","K1H","195.79","199","285",""
"Forgerit Andry","K1H","195.87","-","285",""
"Frederic Descot","K1H","196.33","296","288",""
"Axel Mulle","K1H","197.39","536","295",""
"Guillaume Dumora","K1H","197.42","-","295",""
"Lucas Kelifaoui","K1H","197.62","295","296",""
"Frederic Lascourreges","K1H","198.39","299","301",""
"Sylvain Mendez","K1H","199.12","339","306",""
"Guillaume Fletcher","K1H","199.81","264","310",""
"Manuel Legros","K1H","200.37","278","314",""
"Pourteyron Olivier","K1H","200.63","-","316",""
"Martinez-Arconada Armel","K1H","201.59","340","323",""
"Chasseloup Christophe","K1H","202.75","248","330",""
"Francois Giondini","K1H","203.00","284","332",""
"Benjamin Renia","K1H","205.06","328","345",""
"Thomas Dauvet","K1H","205.12","407","345",""
"Cassagne Geoffroy","K1H","205.70","396","349",""
"Pourtau Stephane","K1H","207.21","332","360",""
"Damien Caillon","K1H","210.01","322","377",""
"Francois Cauchi","K1H","210.91","389","383",""
"Tristan Gaboriau","K1H","212.17","381","391",""
"Christophe Lacave","K1H","212.43","-","393",""
"Sergent Sylvain","K1H","212.90","294","397",""
"Nicolas Le Provost","K1H","213.55","403","401",""
"Lay Matthieu","K1H","214.18","390","405",""
"Mandon Benoit","K1H","214.19","-","405",""
"Eric Vidou","K1H","215.04","382","410",""
"Jonot Anthony","K1H","215.16","292","411",""
"Mathieu Pouchet","K1H","215.72","383","415",""
"Frederic Saint Agne","K1H","216.26","418","418",""
"Martinat Laurent","K1H","216.36","-","419",""
"Mathieu Doby","K1H","216.49","18","420",""
"Kraemer Nicolas","K1H","217.44","394","426",""
"Calmette Philippe","K1H","217.53","-","426",""
"Herry Yohan","K1H","218.77","-","435",""
"Garros Samuel","K1H","219.91","392","442",""
"Tony Deshayes","K1H","220.39","316","446",""
"Bastien Seger","K1H","220.53","515","446",""
"Peyre Maxime","K1H","221.13","464","450",""
"Yoan Minvielle","K1H","222.12","58","457",""
"Martinat Stephane","K1H","222.63","-","460",""
"Damien Mareau","K1H","222.64","355","460",""
"Pradalier Florent","K1H","223.42","-","465",""
"Florent Boulet","K1H","223.65","156","466",""
"Celerier Romain","K1H","228.04","-","495",""
"Alain Minvielle","K1H","228.36","393","497",""
"Dickens Stephen","K1H","228.58","-","499",""
"Tayeel Aymeric","K1H","229.07","488","502",""
"Jean-daniel Bost","K1H","229.98","450","508",""
"Thomas Rieu","K1H","231.21","600","516",""
"Musseau Yvan","K1H","231.73","-","520",""
"Thebault Denis","K1H","231.84","392","520",""
"Saüt Bertrand","K1H","233.30","438","530",""
"Petre-Bordenave Romain","K1H","233.90","606","534",""
"Pelletier Jonas","K1H","234.44","613","537",""
"Pierrealexis Gabriel","K1H","234.95","488","540",""
"Van Kalsbeek Elwin","K1H","235.95","481","547",""
"Nicolas Neveu","K1H","237.52","561","558",""
"Mazagot Christophe","K1H","239.14","484","568",""
"Picco Pierre","K1H","240.00","269","573",""
"Barbe Erwan","K1H","240.07","543","574",""
"Lafitte Vincent","K1H","246.22","423","614",""
"Doat Francois","K1H","248.83","331","632",""
"Jouanolou Remi","K1H","249.09","710","633",""
"Martine Jonathan","K1H","251.15","-","647",""
"Jonathan Figarol","K1H","252.30","613","654",""
"Tranchant Charlie","K1H","254.50","839","669",""
"Thomas Wingerter","K1H","260.45","615","708",""
"Jean Luc Pessoni","K1H","263.41","485","727",""
"Sebastien Peres","K1H","265.61","973","741",""
"Leroy Clement","K1H","269.56","-","767",""
"Delauney Hugo","K1H","275.11","746","803",""
"Delpeyroux Pierre","K1H","284.62","549","866",""
"Matabos Sylvain","K1H","299.70","920","964",""
"Sarraute Julien","K1H","306.49","-","1008",""
"Labadie Alexandre","K1H","318.70","-","1088",""
"Maziere Bruno","K1H","319.69","1669","1095",""
"Yann Drouet","K1H","328.12","1260","1150",""
"Olivier Pegaz","K1H","335.90","-","1201",""
"Lalanne Jeanpaul","K1H","341.04","-","1234",""
"Caignard Ronan","K1H","341.96","781","1240",""
"Jouanolou Yann","K1H","354.31","-","1322",""
"Simon Dosiere","K1H","354.87","925","1326",""
"Saint Marc Fabrice","K1H","394.23","-","1582",""
"Renard Benjamin","K1H","394.43","-","1584",""
"Duval Romain","K1H","401.02","-","1627",""
"Laranjeira Da Costa Fabio","K1H","520.58","-","2410",""
