"Sélectif N2 - Vinon sur Verdon - 2010-03-28","Course 1","2010-03-28","Nationale 2","154"
"Guillaume Bernis","K1H","101.98","130","98",""
"Mathieu Haberland","K1H","102.36","91","101",""
"Tristan Bronsard","K1H","102.42","151","102",""
"Boris Chenal","K1H","102.87","115","106",""
"Bertrand Gutierrez","K1H","103.30","104","110",""
"Romain Chabrol","K1H","103.56","81","112",""
"Romain Faurie","K1H","103.88","142","116",""
"Jeremy Lehning","K1H","104.21","108","118",""
"Paul Graton","K1H","104.23","102","119",""
"Nicolas Caussanel","K1H","104.35","159","120",""
"Hafiz Ali Hassan","K1H","104.60","114","122",""
"Tom Scianimanico","K1H","104.66","135","122",""
"Paul Aubert","K1H","104.80","109","124",""
"Yannick Besse","K1H","104.86","157","124",""
"Antoine Colas","K1H","104.92","148","125",""
"Fernando Denninger","K1H","105.32","160","128",""
"Colin Beziade","K1H","105.54","165","131",""
"Thibault Gache","K1H","105.58","174","131",""
"Arthur Georges","K1H","106.25","139","138",""
"Remi Baudot","K1H","106.38","106","138",""
"Jeremy Wagner","K1H","106.55","110","140",""
"Benoit Guiraud","K1H","106.78","-","142",""
"Jean Baptiste Morera","K1H","107.10","135","145",""
"Nathan Barbier","K1H","107.23","147","146",""
"Boris Doye","K1H","107.28","153","147",""
"Luc Doye","K1H","107.39","120","148",""
"Thibault Gibert","K1H","107.40","111","148",""
"Mael Othenin Girard","K1H","107.45","113","149",""
"Julien Arribe","K1H","107.72","62","151",""
"Matthieu Basset","K1H","107.89","158","153",""
"Gurgen Brun","K1H","108.08","145","155",""
"Alexandre Ittel","K1H","108.23","172","155",""
"Stephane Labouille","K1H","108.28","131","156",""
"Jerome Trousson","K1H","108.49","175","158",""
"Nikolas Stanik","K1H","108.64","158","160",""
"Jeremy Vibert","K1H","108.73","133","160",""
"Kevin Schultz","K1H","108.79","135","160",""
"Silvere Desongins","K1H","109.09","158","164",""
"Martin Daviet","K1H","109.31","184","166",""
"Antoine Roux","K1H","109.46","174","167",""
"Thomas Dandel","K1H","109.56","135","168",""
"Jean-francois Souville","K1H","109.62","148","169",""
"Emmanuel Moreau","K1H","109.64","177","169",""
"Laurent Brissaud","K1H","109.85","166","171",""
"Jerome Olhagaray","K1H","110.04","91","172",""
"Pascal Ferry","K1H","110.56","129","177",""
"Lucas Ferraina","K1H","110.59","176","177",""
"Nicolas Ciemniewski","K1H","110.61","131","177",""
"Nicolas Masson","K1H","110.64","188","178",""
"Theo Moquet","K1H","110.87","192","180",""
"Romain Viry","K1H","111.15","160","182",""
"Pierrick Gaudin","K1H","111.18","226","183",""
"Armand Rakowski","K1H","111.22","206","183",""
"Julien Beltrami","K1H","111.38","183","185",""
"Romain Richard","K1H","111.40","150","185",""
"Sylvain Viallon","K1H","111.46","175","186",""
"Remi Wolf","K1H","111.74","166","188",""
"Nicolas Mangeolle","K1H","112.01","188","191",""
"Remi Thomas","K1H","112.29","138","193",""
"Olivier Hardonniere","K1H","112.94","193","199",""
"Anthony Deschamps","K1H","114.54","186","214",""
"Cyril Gisbert","K1H","114.54","170","214",""
"Florent Tamburini","K1H","114.98","248","218",""
"Romain Musy","K1H","115.11","193","220",""
"Gregory Booth","K1H","115.57","191","224",""
"Marc Darribere","K1H","117.85","248","245",""
"Stanislas Pradeleix","K1H","119.04","196","256",""
"Thibault Dufour","K1H","119.13","179","257",""
"Christophe Billaud","K1H","121.15","213","275",""
"Philippe Devillers","K1H","121.52","199","279",""
"Thibaut Chariot","K1H","121.86","261","281",""
"Sebastien Lepaulard","K1H","123.14","172","293",""
"Olivier Blanc","K1H","125.83","159","318",""
"Guillaume Provost","K1H","169.17","138","719",""
"Bertrand Lamy","K1H","Nt","-","-",""
"Antoine Lhermite","K1H","Nt","-","-",""
"Bertrand Gourrat","K1H","Nt","-","-",""
