"SELECTIF REGIONAL SLALOM MUR DE BRETAGNE - Mur De Bretagne - 2009-01-18","Course 1","2009-01-18","Régional","130"
"Annabelle Garnier","K1D","240.53","239","252",""
"Julie Quesne","K1D","249.54","242","298",""
"Charlene Le Corvaisier","K1D","254.07","452","320",""
"Cyrielle Pichard","K1D","258.57","322","343",""
"Josephine Le Morvan","K1D","260.74","-","354",""
"Chloe Le Clezio","K1D","268.21","376","392",""
"Nolwen Jouan","K1D","271.92","-","410",""
"Gwennaell Le Roy","K1D","273.70","-","419",""
"Solene Graille","K1D","274.96","424","426",""
"Marie Landais","K1D","277.70","405","440",""
"Emma Jacob","K1D","284.23","543","473",""
"Jeanne Despres","K1D","286.43","442","484",""
"Barbara Cavyn","K1D","301.44","488","559",""
"Claire Pichon","K1D","306.09","304","583",""
"Suzy Merand","K1D","318.43","551","645",""
"Betty Merand","K1D","323.32","404","670",""
"Agnes Penisson","K1D","378.23","1795","946",""
"Pierre Marie Roussel","K1H","184.32","79","89",""
"Kendaor Le Huitou","K1H","190.46","95","125",""
"William Desnos","K1H","192.02","113","134",""
"Erwan Cadio","K1H","193.32","86","141",""
"Benoit Jouan","K1H","197.31","172","164",""
"Simon Despres","K1H","197.73","108","166",""
"Christophe Le Mercier","K1H","198.82","149","173",""
"Medhi Deguil","K1H","199.39","220","176",""
"Lionel Tinevez","K1H","200.84","153","184",""
"Quentin De Fierville","K1H","203.07","110","196",""
"Romain Lecrenais-perrel","K1H","203.30","211","197",""
"Gwenael Marquer","K1H","207.51","170","222",""
"Emmanuel Cosse","K1H","207.87","245","224",""
"Julien Dosse","K1H","208.29","114","226",""
"Romain Guyomard","K1H","208.33","154","226",""
"Laurent Rigaud","K1H","208.83","102","229",""
"Regis Cabel","K1H","208.99","206","230",""
"Alain Droniou","K1H","209.35","200","232",""
"Pierre Yves Tanguy","K1H","209.46","198","233",""
"Pierre Le Clezio","K1H","209.70","-","234",""
"Yves Prigent","K1H","209.87","231","235",""
"Jerome Mainguy","K1H","210.48","220","239",""
"Sebastien Gautier","K1H","210.82","263","241",""
"Manuel Coquelin","K1H","211.16","190","243",""
"Clement Burel","K1H","212.70","232","251",""
"Benoit Ricard","K1H","214.94","243","264",""
"Riwal Chardon","K1H","215.51","229","268",""
"Pierre Mikolajczak","K1H","217.56","236","279",""
"Maxime Beaulieu","K1H","220.37","279","296",""
"Mael Rogard","K1H","220.83","268","298",""
"Arnaud Le Calvez","K1H","221.11","245","299",""
"Mathieu Desnos","K1H","221.87","313","303",""
"Francois Bonnet","K1H","222.48","-","307",""
"Jeanpierre Le Lann","K1H","223.20","288","311",""
"Logan Nannette","K1H","228.99","330","344",""
"David Julou","K1H","230.43","280","352",""
"Victor Azam","K1H","230.70","296","354",""
"Simon Seuru","K1H","236.96","366","390",""
"Vincent Rondeau","K1H","236.99","593","390",""
"Luke Long","K1H","237.11","383","391",""
"Cedric Le Corvaisier","K1H","237.18","-","391",""
"Emmanuel L'anton","K1H","239.28","401","403",""
"Alexis Lotton","K1H","239.82","270","406",""
"Maxime Piedade","K1H","241.07","-","413",""
"Julien Caillarec","K1H","241.78","498","417",""
"Erwan Le Guevel","K1H","242.35","386","420",""
"Francois Prevoteau","K1H","243.65","372","427",""
"Alban Trehen","K1H","244.48","-","432",""
"Guirec Le Guen","K1H","245.46","427","438",""
"Thibault Gautherot","K1H","247.46","440","449",""
"Nicolas Le Friec","K1H","247.82","-","451",""
"Jeremy Latorre","K1H","249.29","-","460",""
"Charles Gudemard","K1H","250.53","512","467",""
"Thomas Richer","K1H","252.54","722","479",""
"Gael Bleunven","K1H","256.04","692","499",""
"Emmanuel Hirbec","K1H","256.78","-","503",""
"Romain Foulon","K1H","257.27","462","506",""
"Guillaume Huppert","K1H","260.16","169","521",""
"Boris Pernelle","K1H","262.53","114","535",""
"Richard Fradin","K1H","262.86","454","537",""
"Ronan Dhabit","K1H","265.24","-","551",""
"Camille Richer","K1H","268.01","293","567",""
"Clement Tanguy","K1H","275.11","-","607",""
"Pierreyves Hellard","K1H","275.51","562","610",""
"Theo Laudrin","K1H","277.16","576","619",""
"Eric Bertin","K1H","286.27","-","671",""
"Patrick Jegou","K1H","286.52","266","672",""
"Ferdinand Malard","K1H","290.58","937","695",""
"Lucas Nedelec","K1H","294.72","-","719",""
"Jeremy Escaffre","K1H","300.03","511","749",""
"Romain Hernot","K1H","301.54","-","757",""
"Guillaume Calvary","K1H","311.57","-","815",""
"Antoine Guillet","K1H","332.33","917","934",""
"Antoine Hirbec","K1H","339.65","-","975",""
"Sullivan Kingsland","K1H","345.73","1212","1010",""
"Jeremie Haese","K1H","364.42","-","1116",""
"Paul Fromont","K1H","371.49","-","1157",""
"Maxime Foucault","K1H","464.92","1629","1689",""
