"Championnat de France Elite - La Seu d'Urgell et Pau - Course n°1 | Demi-finale - 2019-04-26","Course n°1 | Demi-finale","2019-04-26","Championnats de France","113"
"Mylene Ferry","K1D","121.06","162.63","202.95",""
"Lisa Mouffle","K1D","121.89","85.1","210.72",""
"Solene Grenier","K1D","125.7","223.87","246.41",""
"Lolita Seguy","K1D","134.95","277.43","333.05",""
"Marie Amelie Silvin","K1D","141.92","238.24","398.34",""
"Joana Palermo","K1D","168.82","90.8","650.29",""
"Lucie Prioux","K1D","DNF","-","-",""
"Laurene Roisin","K1D","DSQ-R","-","-",""
"Quentin Burgi","K1H","88.43","29.55","5",""
"Benjamin Renia","K1H","88.67","613.07","7.54",""
"Boris Neveu","K1H","89.19","11","13.04",""
"Malo Quemeneur","K1H","89.51","15.91","16.43",""
"Thomas Durand","K1H","89.85","44.42","20.03",""
"Pol Oulhen","K1H","91.1","46.72","33.26",""
"Mathurin Madore","K1H","91.22","27.84","34.53",""
"Clement Travert","K1H","91.83","56.14","40.99",""
"Pierre-louis Saussereau","K1H","91.93","69.22","42.04",""
"Benjamin Jacon","K1H","92.49","66.09","47.97",""
"Vincent Delahaye","K1H","92.85","54.83","51.78",""
"Simon Hene","K1H","94.15","37.98","65.54",""
"Etienne Daille","K1H","94.55","40.21","69.77",""
"Paul Cornut-chauvinc","K1H","94.62","77.96","70.52",""
"Anatole Delassus","K1H","95.01","66.35","74.64",""
"Charlie Barbier","K1H","96.68","66.65","92.32",""
"Yves Prigent","K1H","96.92","39.72","94.86",""
"Edgar Prigent","K1H","96.93","59.4","94.96",""
"Tom Babin","K1H","96.97","130.01","95.39",""
"Mathieu Biazizzo","K1H","98.08","30.34","107.14",""
"Florian Busson","K1H","98.91","106.47","115.92",""
"Jean Charles Hacquart","K1H","99.36","117.95","120.68",""
"Leo Vuitton","K1H","100.82","126.16","136.14",""
"Noe Perreau","K1H","102","99.83","148.63",""
"Joris Hello","K1H","103.14","174.48","160.69",""
"Tom Bouchardon","K1H","104.51","125.41","175.19",""
"Corentin Monasse","K1H","106.39","113.67","195.09",""
"Titouan Castryck","K1H","108.15","175","213.72",""
"Ludovic Di Nisi","K1H","111.19","55.75","245.89",""
"Gael Adisson","K1H","119.78","138.32","336.81",""
"Guillaume Graille","K1H","144.09","55.75","594.11",""
"Pierre Bourliaud","K1H","144.15","54.01","594.75",""
"Loic Bertoia","K1H","145.57","83.72","609.77",""
"Hugo Regnier","K1H","147.8","79.65","633.38",""
