"Slalom Manche N3 OUEST - Châteuneuf Sur Cher - 2009-05-02","Course 1","2009-05-02","Nationale 3","154"
"Aurelie Le Fee","K1D","255.44","340","306",""
"Pauline Bercon","K1D","262.88","269","343",""
"Laurine Naveau","K1D","273.55","385","396",""
"Sandrine Kerneis","K1D","275.98","358","409",""
"Emma Jacob","K1D","278.01","415","419",""
"Marie Laure Graille","K1D","278.10","357","419",""
"Mathilde Pelletan","K1D","281.66","308","437",""
"Alexandra Menant","K1D","289.25","470","475",""
"Camille Jounot","K1D","291.53","383","486",""
"Lise Vinet","K1D","296.31","506","510",""
"Angelique Chasseriault","K1D","307.41","557","566",""
"Andrea Menant","K1D","310.84","471","583",""
"Johane Guinberteau","K1D","314.03","565","599",""
"Clarisse Robin","K1D","339.27","505","724",""
"Joelle Bonnabesse","K1D","372.00","435","887",""
"Clemence Drugeot","K1D","421.19","712","1132",""
"Amelie Perier","K1D","Abd","-","-",""
"Yves Prigent","K1H","198.91","214","154",""
"Damien Gaillard","K1H","200.69","196","164",""
"Vit Masare","K1H","201.98","175","171",""
"Nowan Bertin","K1H","204.38","297","184",""
"Marc Robert","K1H","204.98","233","188",""
"Tanguy Le Marec","K1H","205.38","196","190",""
"Maxime Beaulieu","K1H","205.51","238","191",""
"Mathieu Desnos","K1H","205.94","296","193",""
"Alexandre Plouzeau","K1H","206.93","261","199",""
"Antoine Godet","K1H","207.68","201","203",""
"Florian Lepretre","K1H","208.36","268","207",""
"Gael Prodeau","K1H","208.48","214","207",""
"Guillaume Chainier","K1H","208.70","288","209",""
"Benjamin Sanella","K1H","210.88","293","221",""
"Felix Merzeau","K1H","211.19","235","223",""
"Valentin Lesseau","K1H","211.72","272","226",""
"Nicolas Arnoult","K1H","213.68","242","236",""
"Jan Baudet","K1H","216.25","340","252",""
"Ewen Legrand","K1H","217.30","319","257",""
"Thomas Drouart","K1H","218.07","324","262",""
"Valentin Giret","K1H","218.65","239","265",""
"Alexis Lotton","K1H","219.47","268","270",""
"Maxime Dreux","K1H","221.04","297","278",""
"Ludovic Gaignon","K1H","222.25","288","285",""
"Manuel Besnard","K1H","222.31","390","286",""
"Guillaume Blin","K1H","223.92","291","294",""
"Timothee Venot","K1H","224.39","271","297",""
"Simon Vaillant","K1H","225.70","267","305",""
"Manuel Moquet","K1H","226.22","272","307",""
"Emmanuel L'anton","K1H","228.13","381","318",""
"Valentin Blondel","K1H","228.90","404","323",""
"Etienne Chauvin","K1H","228.94","326","323",""
"Aurelien Ballandras","K1H","229.77","338","327",""
"Romain Foulon","K1H","230.04","439","329",""
"Julien Douais","K1H","231.13","305","335",""
"Thomas Marino","K1H","232.32","341","341",""
"Simon Drouart","K1H","233.59","421","349",""
"Luke Long","K1H","235.01","331","357",""
"Erwan Le Guevel","K1H","235.01","326","357",""
"Jerome Augustine","K1H","235.28","378","358",""
"Ludovic Gloaguen","K1H","235.75","362","361",""
"Antoine Beaudoin","K1H","236.85","317","367",""
"David Couture","K1H","237.48","430","371",""
"Quentin Moret De Rocheprise","K1H","238.51","531","376",""
"Vincent Rondeau","K1H","238.70","382","377",""
"Francois Prevoteau","K1H","239.78","377","384",""
"Gaetan Hamelin","K1H","239.83","430","384",""
"Adrien Corvasier","K1H","242.78","481","401",""
"Thibaut Mechling","K1H","243.34","461","404",""
"Baptiste Cotta","K1H","245.43","487","415",""
"Charlie Baron","K1H","246.21","492","420",""
"Francois Madec","K1H","249.72","427","440",""
"Vincent Nicolosi","K1H","251.08","455","447",""
"Ludovic Couture","K1H","256.27","529","477",""
"Gael Bleunven","K1H","256.45","508","478",""
"Nicolas Thomas","K1H","257.74","492","485",""
"Quentin Ferrand","K1H","257.93","504","486",""
"Christophe Mitchell","K1H","258.31","434","488",""
"Antoine Rioual","K1H","258.36","531","488",""
"Christophe Gergaud","K1H","258.54","383","489",""
"Paul Messialle","K1H","258.66","251","490",""
"Maxime Lignereux","K1H","260.23","535","498",""
"Julien Caillarec","K1H","260.88","376","502",""
"Hugo Le Goff","K1H","262.96","545","515",""
"Yoann Turowsky","K1H","263.44","297","516",""
"David Julou","K1H","263.91","298","519",""
"Nicolas Leconte","K1H","265.00","432","526",""
"Simon Gaillardon","K1H","266.33","576","533",""
"Simon Deboysson","K1H","266.75","175","535",""
"Loic Kervella","K1H","266.87","231","536",""
"Logan Nannette","K1H","268.68","315","547",""
"Anthime Larousse","K1H","272.86","449","570",""
"Christian Belouin","K1H","274.37","506","579",""
"Damien Launay","K1H","275.34","283","584",""
"Richard Fradin","K1H","275.54","481","585",""
"Etienne Baudry","K1H","275.82","476","586",""
"Sylvain Georges","K1H","278.80","564","604",""
"Ferdinand Malard","K1H","281.16","553","617",""
"Valentin Millet Naas","K1H","283.01","623","627",""
"Matthieu Laumonier","K1H","284.07","692","633",""
"Flavien Odile","K1H","284.92","352","638",""
"Philippe Rocher","K1H","285.57","472","641",""
"Guillaume Payet","K1H","288.39","639","657",""
"Jean Francois Clement","K1H","299.71","480","721",""
"Olivier Ranucci","K1H","303.53","647","743",""
"Olivier Nonnet","K1H","304.78","399","749",""
"Nicolas Petipez","K1H","308.85","553","773",""
"Maxime Piedade","K1H","310.34","421","781",""
"Paul Trecul","K1H","310.94","623","784",""
"Romain Treguier","K1H","324.25","589","859",""
"Florian Billat","K1H","329.81","724","890",""
"Damien Goujard","K1H","332.05","763","903",""
"Pierrick Meheust","K1H","359.82","424","1060",""
"Damien Kerangoarec","K1H","366.02","481","1095",""
"Valentin Marin","K1H","Abs","-","-",""
"Loeiz Descheres","K1H","Abd","-","-",""
"Emmanuel Despont","K1H","Abs","-","-",""
