"Sélectif Championnat Interrégional - Orthez - Finale - 2014-03-09","Finale","2014-03-09","Nationale 3","133"
"Gaetan Coat","K1H","109.11","294.08","353.49","Finale A"
"Anthony Poux","K1H","109.72","241.65","360.85","Finale A"
"Sylvain Gaude","K1H","109.73","309.17","360.97","Finale A"
"Sebastien Martel","K1H","109.8","360.53","361.82","Finale A"
"Dimitri Thauvin","K1H","109.98","331.9","363.99","Finale A"
"Hugo Crepeau","K1H","109.99","336.16","364.11","Finale A"
"Denis Delaleux","K1H","110.14","313.44","365.92","Finale A"
"Julien Money","K1H","110.23","263.65","367","Finale A"
"Christophe Prigent","K1H","110.25","304.98","367.25","Finale A"
"Raphael Merlet","K1H","110.27","282.09","367.49","Finale A"
"Ugo Guillois","K1H","110.85","370.41","374.49","Finale A"
"Antoine Dumaye","K1H","111.5","297.67","382.33","Finale A"
"Theo Viens","K1H","112.35","398.75","392.59","Finale A"
"Robin Vandenbossche","K1H","112.91","362.23","399.34","Finale A"
"Paul Commenges","K1H","112.99","319.02","400.31","Finale A"
"Romain Delpui","K1H","113.01","361.11","400.55","Finale A"
"Quentin Clerc","K1H","113.66","389.67","408.39","Finale A"
"Pierre Dehaudt","K1H","113.91","354.09","411.41","Finale A"
"Flavien San Augustin","K1H","114.21","356.99","415.03","Finale A"
"Julien Delaleux","K1H","114.34","445.55","416.6","Finale A"
"Matthias Besse","K1H","114.43","291.09","417.69","Finale A"
"Pierre-louis Saussereau","K1H","114.47","456.09","418.17","Finale A"
"Vincent Laulhe","K1H","115","400.69","424.56","Finale A"
"Jacques Roisin","K1H","115.35","362.35","428.79","Finale A"
"Nicolas Boulesteix","K1H","115.66","359.4","432.53","Finale A"
"Tom Deconchy","K1H","115.87","397.54","435.06","Finale A"
"Jean Baptsite Cans","K1H","116.34","411.84","440.73","Finale A"
"Louis Bouchiat","K1H","116.48","472.62","442.42","Finale A"
"Lucas Lavit","K1H","116.91","406.49","447.61","Finale A"
"Micael Rodriguez Alves Lato","K1H","117.04","390.8","449.18","Finale A"
"Nasser Belabdi","K1H","119.52","463.71","479.11","Finale A"
"Komlangan Gassou","K1H","119.6","370.37","480.07","Finale A"
"Edouard Lecomte","K1H","123.6","637.72","528.34","Finale A"
"Florent Iraundegui","K1H","128.61","442.59","588.8","Finale A"
"Allan Cousset","K1H","162.34","236.19","995.82","Finale A"
"Mathias Rodrigues","C1H","116.53","409.95","381.07","Finale B"
"Alexis Mercoirol","C1H","128.41","398.97","517.59","Finale B"
"Xavier Henry","C1H","129.22","552.7","526.91","Finale B"
"Mathieu Marteau","C1H","132.54","420.08","565.06","Finale B"
"Quentin Clerc","C1H","142.45","560.14","678.95","Finale B"
"Erwan Guilhamet","C1H","159.97","698.4","880.29","Finale B"
"Theau Le Loch","C1H","Nt","-","-","Finale B"
"Olivier Cain","C1H","Nt","-","-","Finale B"
"Christophe Einsargueix-Sylvain Gaude","C2H","133.92","489.44","510.96","Finale B"
"Theo Roisin-Hugo Crepeau","C2H","141.25","558.72","591.37","Finale B"
"Louis Bouchiat-Michael Guyon","C2H","141.77","-","597.08","Finale B"
"Delia Forgues","K1D","130.02","363.74","430.31","Finale B"
"Morgane Foligne","K1D","143.85","405.97","578","Finale B"
"Julie Paris","K1D","149.62","645.07","639.61","Finale B"
"Camille Amis","K1D","151.97","534.98","664.71","Finale B"
"Barbara Lassechere","K1D","152.53","446.08","670.69","Finale B"
"Agathe Gewiss","K1D","157.18","502.17","720.34","Finale B"
"Oceane Mora","K1D","157.9","839.29","728.04","Finale B"
"Manon Flores","K1D","208.17","570.79","1264.86","Finale B"
"Jeanne Pecot","K1D","383.84","882.13","3140.79","Finale B"
"CÉcilia Bourgeois","K1D","Nt","-","-","Finale B"
"Christophe Einsargueix","K1H","112.89","308.49","404.1","Finale B"
"Clement Bosc","K1H","116.27","387.68","444.89","Finale B"
"Hugo Mouffle","K1H","120.1","440.48","491.11","Finale B"
"Nicolas Corbin","K1H","120.61","399.08","497.26","Finale B"
"Alexis Dorey","K1H","120.99","490.46","501.85","Finale B"
"Erwan Guilhamet","K1H","122.9","499.22","524.89","Finale B"
"Philip Beadsworth","K1H","123.24","492.22","529","Finale B"
"Matthieu Demarty","K1H","123.74","422.55","535.03","Finale B"
"Bastien Daniel","K1H","123.86","445.87","536.48","Finale B"
"Antoine Laye","K1H","124.1","439.39","539.37","Finale B"
"Robin Metra","K1H","124.36","640.44","542.51","Finale B"
"Theo Ducasse","K1H","124.85","688.37","548.42","Finale B"
"Nicolas Alran","K1H","125.09","548.93","551.32","Finale B"
"Eric Vidou","K1H","125.36","454.01","554.58","Finale B"
"Maxime Garcia","K1H","126.13","516.18","563.87","Finale B"
"Thomas Wingerter","K1H","127.43","531.72","579.56","Finale B"
"Nathan Bonastre","K1H","130.86","723.58","620.95","Finale B"
"Robin Genty","K1H","131.28","588.48","626.02","Finale B"
"Clement Caillard","K1H","131.76","675.72","631.81","Finale B"
"Axel Devaud","K1H","132.09","666.43","635.79","Finale B"
"Marc Lalande","K1H","132.17","452.69","636.75","Finale B"
"Luc Sarramea","K1H","133.55","658.75","653.41","Finale B"
"Corantin Bruneaud","K1H","135.72","545.26","679.59","Finale B"
"Louis Foissac","K1H","136.22","688.71","685.63","Finale B"
"Theau Le Loch","K1H","136.58","481.53","689.97","Finale B"
"Robin Mougel","K1H","136.9","782.57","693.83","Finale B"
"Marc Cordier","K1H","138.22","556","709.76","Finale B"
"Kenae Brassier","K1H","139.11","636.29","720.5","Finale B"
"Baptiste Lauroua","K1H","139.84","749.63","729.31","Finale B"
"Jean Luc Pessoni","K1H","141.38","661.9","747.89","Finale B"
"Loup Fauries","K1H","142.41","545.62","760.32","Finale B"
"Quentin Cazeres","K1H","145.6","455.99","798.81","Finale B"
"Denis Lalanne","K1H","152.64","947.22","883.77","Finale B"
"Franck Vanhoutteghem","K1H","155.49","795.58","918.16","Finale B"
"Theo Dunie","K1H","159.6","763.79","967.75","Finale B"
"Kevin Richard-lubon","K1H","160.41","556.59","977.53","Finale B"
"Jeanpaul Lalanne","K1H","165.52","671.29","1039.19","Finale B"
"Marc Cailhol","K1H","176.76","494.14","1174.82","Finale B"
"Gabriel Chapoulie","K1H","179.02","549.45","1202.09","Finale B"
"Antoine Lanet","K1H","191.14","718.2","1348.35","Finale B"
"Maurice Pubert","K1H","203.2","817.34","1493.88","Finale B"
"Nicolas Saurat","K1H","266.22","931.75","2254.34","Finale B"
