"Championnat Interrégional Slalom Ouest (finale N3) - Sablé-sur-sarthe - Demi-finale - 2015-05-31","Demi-finale","2015-05-31","Nationale 3","243"
"Camille Grasland","K1D","133.42","427.82","489.78","Demi-finale A"
"Anais Pignet","K1D","134.4","387.12","500.43","Demi-finale A"
"Joris Rocher","K1H","97.34","220.86","235.17","Demi-finale A"
"Gaetan Hamelin","K1H","97.66","226.87","239.1","Demi-finale A"
"Francois Gillot","K1H","98.29","222.74","246.84","Demi-finale A"
"Andy Barat","K1H","99.18","231.21","257.77","Demi-finale A"
"Mathis Soudi","K1H","99.64","282.58","263.42","Demi-finale A"
"Quentin Le Duc","K1H","100.25","256.02","270.91","Demi-finale A"
"Theo Foucher","K1H","100.35","238.87","272.14","Demi-finale A"
"Alan Mahe","K1H","100.43","253.97","273.12","Demi-finale A"
"Youn Aubry","K1H","101.02","263.98","280.37","Demi-finale A"
"Axel Meheust","K1H","101.29","255.98","283.69","Demi-finale A"
"Riwal Le Berre","K1H","101.77","228.85","289.58","Demi-finale A"
"Jonas Godevin","K1H","102.15","301.3","294.25","Demi-finale A"
"Anthony Drouhin","K1H","102.64","206.21","300.27","Demi-finale A"
"Timothee Le Mort","K1H","102.66","264.63","300.51","Demi-finale A"
"Lorin Dumont","K1H","102.79","273.49","302.11","Demi-finale A"
"Yves Bourhis","K1H","103.44","279.96","310.09","Demi-finale A"
"Denis Guilmard","K1H","103.68","242.26","313.04","Demi-finale A"
"Cyril Combreau","K1H","103.73","278.22","313.65","Demi-finale A"
"Emeric Bussonnais","K1H","104.1","328.08","318.2","Demi-finale A"
"Thomas Brochard","K1H","104.12","371.2","318.44","Demi-finale A"
"Valentin Alliot","K1H","104.29","237.19","320.53","Demi-finale A"
"Nathan Flageul","K1H","104.38","274.37","321.64","Demi-finale A"
"Hugo Regnier","K1H","104.46","292.84","322.62","Demi-finale A"
"Gwenael Marquer","K1H","104.73","274.6","325.93","Demi-finale A"
"Lucas Pagnard - Tissier","K1H","104.9","323","328.02","Demi-finale A"
"Dylan Sourbe","K1H","105.24","302.58","332.2","Demi-finale A"
"Pierre Yves Tanguy","K1H","105.26","299.64","332.44","Demi-finale A"
"Mathieu Minie","K1H","105.32","293.72","333.18","Demi-finale A"
"Alain Droniou","K1H","105.49","327.03","335.27","Demi-finale A"
"Loann Le Guyader","K1H","105.8","379.33","339.08","Demi-finale A"
"Guillaume De Fierville","K1H","105.81","261.85","339.2","Demi-finale A"
"Clement Le Collinet","K1H","105.96","278.21","341.04","Demi-finale A"
"Pascal Marrec","K1H","106.49","284.13","347.55","Demi-finale A"
"Emmanuel Cosse","K1H","106.56","333.07","348.41","Demi-finale A"
"Eadwin Famechon","K1H","106.6","272.55","348.9","Demi-finale A"
"Thibaud Chevalier","K1H","108.21","325.03","368.67","Demi-finale A"
"Arthur Mizzi","K1H","108.41","347.84","371.13","Demi-finale A"
"Pierre Bourdet","K1H","108.52","362.73","372.48","Demi-finale A"
"Nicolas Le Belleguic","K1H","108.54","388.17","372.73","Demi-finale A"
"Simon Seuru","K1H","108.71","277.24","374.81","Demi-finale A"
"Zeph Scamps","K1H","108.72","421.54","374.94","Demi-finale A"
"Theo Renaud","K1H","109.5","276.15","384.52","Demi-finale A"
"Yanis Rainaud","K1H","109.81","278.94","388.32","Demi-finale A"
"Alan Olivo","K1H","109.97","394.81","390.29","Demi-finale A"
"Mathis Daniel","K1H","110.1","398.79","391.89","Demi-finale A"
"Romain Barreau","K1H","110.2","422.22","393.11","Demi-finale A"
"Ludovic Le Cointre","K1H","110.26","324.41","393.85","Demi-finale A"
"Loic Froissard","K1H","110.43","386.47","395.94","Demi-finale A"
"Leo Tasset","K1H","110.83","336.99","400.85","Demi-finale A"
"Samuel Flament","K1H","110.95","363.87","402.33","Demi-finale A"
"Ludovic Couture","K1H","111.12","416.56","404.41","Demi-finale A"
"Stephane Debliquy","K1H","111.46","338.61","408.59","Demi-finale A"
"Malo Legrand","K1H","111.49","338.72","408.96","Demi-finale A"
"Julien Pajaud","K1H","112.02","329.85","415.47","Demi-finale A"
"Brice Guintard","K1H","112.8","410.13","425.05","Demi-finale A"
"Keliann Le Breton","K1H","112.94","396.27","426.77","Demi-finale A"
"Jean Yves Prigent","K1H","113.09","393.29","428.61","Demi-finale A"
"Vincent Laclide","K1H","113.09","406.68","428.61","Demi-finale A"
"Yann Le Bourser","K1H","113.19","363.92","429.84","Demi-finale A"
"Julien Caillarec","K1H","113.19","312.58","429.84","Demi-finale A"
"Jeremy Bretteville","K1H","113.29","400.29","431.06","Demi-finale A"
"Hoel Carnot","K1H","113.39","370.08","432.29","Demi-finale A"
"Quentin Robert","K1H","113.44","331.59","432.91","Demi-finale A"
"Paul Cazee","K1H","114.41","428.31","444.82","Demi-finale A"
"Charles Beaumont","K1H","115.2","383.33","454.52","Demi-finale A"
"Erwan Jonin","K1H","118.49","295.87","494.93","Demi-finale A"
"Yoann Le Guyader","K1H","120.36","320.83","517.9","Demi-finale A"
"Edouard Anne","K1H","120.91","386.03","524.65","Demi-finale A"
"Christophe Gergaud","K1H","121.13","394.5","527.35","Demi-finale A"
"NaËl Rajoub","K1H","126.32","564.24","591.09","Demi-finale A"
"Martin Belliot","K1H","152.38","245.96","911.15","Demi-finale A"
"Quentin Lejeune","K1H","154.9","279.17","942.1","Demi-finale A"
"Pierre Huan","K1H","161.42","406.92","1022.18","Demi-finale A"
"Florentin Saumon","K1H","170.93","343.19","1138.98","Demi-finale A"
"Anais Pignet","C1D","137.79","390.15","454.92","Demi-finale B"
"Nolwenn Le Mehaute","C1D","141.01","430.83","487.87","Demi-finale B"
"Noemie Poitou","C1D","144.64","398.16","525.02","Demi-finale B"
"Deborah Larsonneur","C1D","Abs","-","-","Demi-finale B"
"Julien Paulais","C1H","115.86","424.97","399.87","Demi-finale B"
"Cedric Collet","C1H","116.84","434.74","411.33","Demi-finale B"
"Nicolas Rouleaud","C1H","117.33","424.95","417.06","Demi-finale B"
"Riwal Le Berre","C1H","117.41","381.21","418","Demi-finale B"
"Lorin Dumont","C1H","117.43","378.09","418.23","Demi-finale B"
"Herve Busson","C1H","117.67","403.92","421.04","Demi-finale B"
"Logan Stenton","C1H","118.46","370.62","430.28","Demi-finale B"
"Erwan Jonin","C1H","119.57","460.29","443.26","Demi-finale B"
"Romain Barreau","C1H","121.12","552.3","461.39","Demi-finale B"
"Mathias Pannetier","C1H","121.68","486.75","467.95","Demi-finale B"
"Axel Meheust","C1H","122.27","422.62","474.85","Demi-finale B"
"Philippe Niquet","C1H","124.74","312.46","503.74","Demi-finale B"
"Franck Delachair","C1H","124.82","386.72","504.67","Demi-finale B"
"Jeremy Bretteville","C1H","125.7","430.11","514.96","Demi-finale B"
"Adrien Roux","C1H","126.37","478.08","522.8","Demi-finale B"
"Luc Boisnard","C1H","134.63","539.47","619.42","Demi-finale B"
"Martin Barbier","C1H","136.89","622.6","645.85","Demi-finale B"
"Julien Caillarec","C1H","139.55","545.67","676.97","Demi-finale B"
"Valentin Feroc","C1H","Dsq","-","-","Demi-finale B"
"Alexis Bobon-Jonas Godevin","C2H","121.38","478.64","399.89","Demi-finale B"
"Hugo Regnier-Arthur Mizzi","C2H","124.79","459.81","437.97","Demi-finale B"
"Jean Malo Bailleul-Malo Legrand","C2H","133.05","414.15","530.2","Demi-finale B"
"Alan Olivo-Mathis Daniel","C2H","133.3","533.08","532.99","Demi-finale B"
"Yann Le Bourser-Keliann Le Breton","C2H","134.12","531.85","542.14","Demi-finale B"
"Simon Seuru-Ludovic Le Cointre","C2H","142.85","500.91","639.62","Demi-finale B"
"Nicolas Maurel-Maxime Robin","C2H","217.82","694.54","1476.66","Demi-finale B"
"Lucie Bercon","K1D","125.51","366.68","408.81","Demi-finale B"
"Aziliz Quintin","K1D","129.03","393","447.07","Demi-finale B"
"Noemie Poitou","K1D","132.84","544.89","488.48","Demi-finale B"
"Josephine Farges","K1D","138.22","603.88","546.95","Demi-finale B"
"Lea Riera","K1D","142.82","533.03","596.94","Demi-finale B"
"Marie Charbonneau","K1D","145.37","439.28","624.66","Demi-finale B"
"Justine Geffroy","K1D","150.51","473.07","680.53","Demi-finale B"
"GaËlle Bail","K1D","156.21","798.64","742.48","Demi-finale B"
"AdÈle Aguesseau","K1D","157.8","552.07","759.76","Demi-finale B"
"Margaux Longeau","K1D","166.57","791.52","855.08","Demi-finale B"
"Caroline Froissard","K1D","171.16","839.53","904.96","Demi-finale B"
"Garance Dalaine","K1D","202.87","623.58","1249.61","Demi-finale B"
"Julie Dequeant","K1D","Dsq","-","-","Demi-finale B"
"Deborah Larsonneur","K1D","Abs","-","-","Demi-finale B"
"Manuel Coquelin","K1H","109.89","333.3","394.31","Demi-finale B"
"Benjamin Harreau","K1H","110.14","416.25","397.38","Demi-finale B"
"Tom Suteau","K1H","110.39","436.84","400.45","Demi-finale B"
"Vincent Torzec","K1H","110.81","468.07","405.61","Demi-finale B"
"Dorian Ollivier","K1H","111.89","301.1","418.87","Demi-finale B"
"Killian Flegeau","K1H","112.6","511.56","427.59","Demi-finale B"
"Philippe Rocher","K1H","113.28","436.4","435.94","Demi-finale B"
"Kylian Lavole","K1H","113.95","457.63","444.17","Demi-finale B"
"Ronan Gac","K1H","114.07","388.66","445.64","Demi-finale B"
"Thibault Gautherot","K1H","114.18","395.07","446.99","Demi-finale B"
"Arthur Lagleyze","K1H","115.56","534.8","463.94","Demi-finale B"
"Antonin Leray","K1H","116.27","439.57","472.66","Demi-finale B"
"Hugo Philippe","K1H","117.59","386.45","488.88","Demi-finale B"
"Tom Genest","K1H","117.82","431.27","491.7","Demi-finale B"
"Theo Rose","K1H","117.95","474.02","493.3","Demi-finale B"
"Mathis Busnel","K1H","118.2","539.49","496.37","Demi-finale B"
"Pierre Guilchet","K1H","118.27","436.66","497.23","Demi-finale B"
"Baptiste Coudrin","K1H","119.19","424.9","508.53","Demi-finale B"
"Mathias Pannetier","K1H","119.64","539.03","514.05","Demi-finale B"
"Nathan Dalaine","K1H","119.88","475.16","517","Demi-finale B"
"Valentin Crenn","K1H","120.03","471.85","518.84","Demi-finale B"
"Leo Paillat","K1H","120.69","517.24","526.95","Demi-finale B"
"Olivier Brochard","K1H","120.84","447.79","528.79","Demi-finale B"
"Nathanael Pedron","K1H","120.89","481.84","529.4","Demi-finale B"
"Leo Hachair","K1H","121.61","549.3","538.25","Demi-finale B"
"Samuel Le Dean","K1H","123.61","425.64","562.81","Demi-finale B"
"Malo Hery","K1H","125.03","651.35","580.25","Demi-finale B"
"Lilian Bald","K1H","125.09","542.18","580.99","Demi-finale B"
"Maxence Guiziou","K1H","125.69","583.38","588.36","Demi-finale B"
"Jordan Daniel","K1H","126.49","430.21","598.18","Demi-finale B"
"Jerome Saliou","K1H","126.99","520.45","604.32","Demi-finale B"
"Raphael Jean","K1H","127.81","509.81","614.39","Demi-finale B"
"Wilfried Truffy","K1H","128.15","477.42","618.57","Demi-finale B"
"Mattias Poirat","K1H","128.56","597.26","623.6","Demi-finale B"
"Erwann Le Jeune","K1H","128.77","515.69","626.18","Demi-finale B"
"Leo Aranda","K1H","129.25","534.9","632.08","Demi-finale B"
"Nicolas Leconte","K1H","130.23","456.41","644.11","Demi-finale B"
"Youenn Peloil","K1H","131.12","669.19","655.05","Demi-finale B"
"Nicolas Maurel","K1H","132.06","704.62","666.59","Demi-finale B"
"Antoine Bougette","K1H","132.09","538.19","666.96","Demi-finale B"
"Jean Christophe Olivo","K1H","133.22","503.42","680.84","Demi-finale B"
"Gwenael Coadou","K1H","133.24","462.78","681.08","Demi-finale B"
"Gaston Canevet","K1H","133.64","561.36","686","Demi-finale B"
"Michel Daupeux","K1H","134.4","539.08","695.33","Demi-finale B"
"Thilbault Rucher","K1H","135.12","599.2","704.17","Demi-finale B"
"Sylvain Decombe","K1H","135.64","513.58","710.56","Demi-finale B"
"Gautier Abiven","K1H","136.15","530.17","716.82","Demi-finale B"
"Benjamin Chausson","K1H","136.47","590.52","720.75","Demi-finale B"
"Antonin Collobert","K1H","136.73","552.51","723.95","Demi-finale B"
"Deverig Cardiec","K1H","137.4","617.56","732.17","Demi-finale B"
"Gerard Lemonnier","K1H","137.94","657.65","738.81","Demi-finale B"
"Vincent Rival","K1H","139.03","559.74","752.19","Demi-finale B"
"Morgan Deneuvy","K1H","139.47","834.05","757.6","Demi-finale B"
"Thierry Le Bonniec","K1H","143.23","745.97","803.78","Demi-finale B"
"Aubin Davaic","K1H","143.81","569.19","810.9","Demi-finale B"
"Christian Le Parc","K1H","145.6","633.57","832.88","Demi-finale B"
"Matisse Bourreau","K1H","145.99","574.95","837.67","Demi-finale B"
"Guillaume Le Paih","K1H","148.78","623.76","871.94","Demi-finale B"
"Thierry Dugue","K1H","158.24","633.14","988.12","Demi-finale B"
"Valentin Rault","K1H","161.03","402.45","1022.39","Demi-finale B"
"Malo Querre","K1H","169.03","760.18","1120.64","Demi-finale B"
"Lois Moreau","K1H","188.93","664.74","1365.05","Demi-finale B"
"Antoine Repussard","K1H","195.13","545.27","1441.19","Demi-finale B"
"Killian Perrier","K1H","208.31","667.59","1603.06","Demi-finale B"
"Nathan Leretrif","K1H","Dsq","-","-","Demi-finale B"
"Jean-christophe Dubois","K1H","Abs","-","-","Demi-finale B"
"Pierre-amaury Duclau","K1H","Dsq","-","-","Demi-finale B"
"Emile Laurent","K1H","Dsq","-","-","Demi-finale B"
"Maxime Robin","K1H","Dsq","-","-","Demi-finale B"
"Thomas Floch","K1H","Dsq","-","-","Demi-finale B"
"Valentin Le Paih","K1H","Dsq","-","-","Demi-finale B"
"Maxime Bouvet","K1H","Dsq","-","-","Demi-finale B"
"Shaun Douglas","K1H","Dsq","-","-","Demi-finale B"
