"Challenge Régional - Clisson - Qualification - 2014-04-13","Qualification","2014-04-13","Régional","127"
"Pierre Emanuel Marchand","K1H","115.79","-","356.58",""
"Erwan Desbordes","K1H","116.16","-","360.77",""
"Lucas Godevin","K1H","117.83","387.05","379.69",""
"Mathis Soudi","K1H","118.53","380.06","387.62",""
"Samuel Rialland","K1H","120.79","-","413.22",""
"David Ravache","K1H","122.7","1024.47","434.85",""
"Remy Tual","K1H","124.27","638.91","452.64",""
"Loann Le Guyader","K1H","124.45","563.63","454.68",""
"Basile Desclos","K1H","125.16","-","462.72",""
"Thomas Brochard","K1H","130.7","485.98","525.48",""
"Christophe Gergaud","K1H","132.38","506.03","544.51",""
"Pierre Huan","K1H","133.4","-","556.07",""
"Thomas Pineau","K1H","134.77","620.12","571.58",""
"Antonin Dalaine","K1H","135.99","276.99","585.4",""
"Emilien Berland","K1H","138.7","384.3","616.1",""
"Alexis Belkheir","K1H","138.75","390.62","616.67",""
"Nathan Dalaine","K1H","140.39","430.39","635.25",""
"Christophe Dieumegard","K1H","140.9","487.81","641.03",""
"Nicolas Perrin","K1H","142.09","588.38","654.51",""
"Loic Augereau","K1H","142.32","-","657.11",""
"Alexis Bizon","K1H","155.27","770.97","803.81",""
"Theo Lecomte","K1H","159.95","221.3","856.83",""
"Cyril Combreau","K1H","162.33","271.37","883.79",""
"Christian Le Parc","K1H","162.35","759.69","884.01",""
"Scotty Lacroix","K1H","166.38","4654.85","929.67",""
"Philippe Rocher","K1H","173.43","427.99","1009.53",""
"Francois Durand","K1H","200.65","856.1","1317.88",""
"Olivier Bourdet","K1H","204.91","776.47","1366.14",""
"Nathan Girardeau","K1H","227.53","620.85","1622.38",""
"Valentin Bigeard","K1H","247.18","974.27","1844.98",""
"Antoine Repussard","K1H","256.48","1169.64","1950.33",""
"Gilbert Lagneau","K1H","319.02","-","2658.79",""
"Florian Vauselle","K1H","Nt","-","-",""
"Gerard Lemonnier","K1H","Nt","-","-",""
"Arthur Millet","K1H","Nt","-","-",""
"Killian Charton","K1H","Nt","-","-",""
"Galahad Aubert","K1H","Nt","-","-",""
"Jacques Huchet","K1H","Nt","-","-",""
"Christian Albert","K1H","Nt","-","-",""
"Ali Kismi","K1H","Nt","-","-",""
"Lucas Soudi","K1H","Nt","-","-",""
"Jonas Godevin","K1HM","119.17","-","-",""
"Pierre Bourdet","K1HM","122.67","-","-",""
"Florian Busson","K1HM","129.71","-","-",""
"Malo Hery","K1HM","136.22","-","-",""
"Yoan Maillard","K1HM","138.27","-","-",""
"Gaetan Robin","K1HM","139.56","-","-",""
"Alex Louveau","K1HM","141.43","-","-",""
"Romain Branjauneau","K1HM","144.05","-","-",""
"Mateo Aligon","K1HM","153.56","-","-",""
"Elliot David","K1HM","154.74","-","-",""
"Tom Suteau","K1HM","160.9","-","-",""
"Matheo Coquel","K1HM","161.09","-","-",""
"Regis Navinel-dubois","K1HM","166.4","-","-",""
"Kevin Mousserion","K1HM","168.14","-","-",""
"Clement Font-boinel","K1HM","Nt","-","-",""
"Alexis Pitres","K1HM","Nt","-","-",""
"Vincent Laclide","K1HM","Nt","-","-",""
"Yohan Dupont","K1HM","Nt","-","-",""
"Leo Demazeau","K1HM","Nt","-","-",""
