"Sélectif régional - Sablé Sur Sarthe - 2007-04-28","Course 1","2007-04-28","Régional","172"
"Yoann Hautecloche","K1H","196.68","98","130",""
"Lucas Kelifaoui","K1H","198.82","135","143",""
"Julien Daumont","K1H","199.72","122","148",""
"Fabien Tournadre","K1H","200.60","124","153",""
"Benjamin Thouvignon","K1H","204.34","109","176",""
"Anthony Thuillier","K1H","204.47","150","177",""
"Fabien Le Nechet","K1H","205.44","135","182",""
"Loic Monbel","K1H","206.31","174","188",""
"Reuche Benjamin","K1H","207.41","189","194",""
"Herve Busson","K1H","208.60","104","202",""
"Joris Rocher","K1H","210.02","181","210",""
"Richard Davy","K1H","210.04","156","210",""
"Anthony Mottais","K1H","210.53","194","214",""
"Baptiste Granger","K1H","211.22","214","217",""
"Boris Pernelle","K1H","212.03","170","222",""
"Vincent Gourmel","K1H","212.57","95","225",""
"Vincent Froger","K1H","213.13","240","229",""
"Yoann Rebours","K1H","214.75","218","238",""
"Brieuc Cadic","K1H","215.09","156","240",""
"Bertrand Avril","K1H","215.13","214","240",""
"Pierre Baux","K1H","216.47","155","249",""
"Bizot Antoine","K1H","216.50","270","249",""
"Florian Perenchio","K1H","216.69","188","250",""
"Simon Bercon","K1H","217.81","227","257",""
"Erwan Beyou","K1H","218.50","248","261",""
"Simon Even","K1H","218.61","305","261",""
"Ludovic Gloaguen","K1H","219.90","202","269",""
"Julien Fougeron","K1H","219.94","264","269",""
"Tristan Bronsard","K1H","220.60","309","273",""
"Pierre-yves Lebreton","K1H","222.63","266","286",""
"Jacques Despierres","K1H","223.09","281","288",""
"Simon Vaillant","K1H","223.82","312","292",""
"Erwan Desbordes","K1H","224.75","282","298",""
"Bastien Darcillon","K1H","225.15","246","301",""
"Damien Caillon","K1H","225.22","243","301",""
"Etienne Legeay","K1H","225.81","269","304",""
"Sebastien Kerneis","K1H","225.94","295","305",""
"Loic Froissard","K1H","226.19","251","307",""
"Alexandre Thomasseau","K1H","227.29","350","313",""
"Planchais Martial","K1H","227.53","297","315",""
"Jeremy Bretteville","K1H","227.91","-","317",""
"Ludovic Garnier","K1H","231.97","407","341",""
"Benoit Jouan","K1H","232.13","318","342",""
"Flavien Odile","K1H","232.72","332","346",""
"Frederi Mahieu","K1H","232.75","298","346",""
"Nicolas Pinot","K1H","233.10","328","348",""
"Alexandre Plouzeau","K1H","234.50","288","356",""
"Pierre Mikolajczak","K1H","234.71","384","357",""
"Le Bescaut Jean","K1H","235.19","314","361",""
"Gireg Hamoniaux","K1H","235.24","-","361",""
"Pierre Bontoux","K1H","236.41","323","367",""
"Romain Lemaire","K1H","237.57","401","375",""
"Mehdi Rouich","K1H","240.13","424","390",""
"Manuel Moquet","K1H","240.86","336","394",""
"Stephane Broute","K1H","241.28","-","396",""
"Julien Bourdet","K1H","241.72","-","399",""
"Tangui Quemeneur","K1H","241.84","363","400",""
"Antoine Godet","K1H","242.75","352","406",""
"Jean Thomas Genet","K1H","244.46","-","415",""
"William Basset","K1H","245.34","418","421",""
"Erwan Le Guevel","K1H","245.78","448","423",""
"Boivin Olivier","K1H","247.93","-","436",""
"Colombert Yann","K1H","250.32","-","451",""
"Cheron Valentin","K1H","252.96","449","466",""
"Sylvain Le Roux","K1H","254.15","532","473",""
"Denis Parizia","K1H","255.04","460","479",""
"Victor Azam","K1H","255.28","629","480",""
"Nedelec Boris","K1H","259.84","-","508",""
"Mathieu Eyrolle","K1H","260.06","370","509",""
"Simon Deboysson","K1H","260.12","468","509",""
"Ronan Dhabit","K1H","261.09","938","515",""
"Roberge Sebastien","K1H","262.47","374","523",""
"Louis Guillot","K1H","265.30","834","540",""
"Baptiste Piveteau","K1H","268.12","-","557",""
"Dominique Odile","K1H","270.31","559","570",""
"Bauge Quentin","K1H","271.34","-","577",""
"Christian Belouin","K1H","272.09","-","581",""
"Regnier Augustin","K1H","273.12","497","586",""
"Henry Théophile","K1H","276.43","565","607",""
"Kevin Gouabault","K1H","278.32","158","617",""
"Jan Baudet","K1H","278.90","1156","622",""
"Thibaud Couetil","K1H","280.06","660","628",""
"Gael Prodeau","K1H","283.21","602","647",""
"Maxime Dubuisson","K1H","289.40","834","684",""
"Gerard Folle","K1H","290.35","812","689",""
"Florian Loiseau","K1H","291.75","-","698",""
"Jamyson Claquin","K1H","292.75","-","704",""
"Nicolas Leconte","K1H","294.41","-","714",""
"Wilfried Harduin","K1H","295.44","905","720",""
"Alexandre Pluchon","K1H","299.60","732","745",""
"Le Discot Quentin","K1H","302.68","1322","763",""
"Thibaut Mechling","K1H","308.63","-","799",""
"Loeiz Descheres","K1H","314.97","-","836",""
"Renan Le Caro","K1H","414.25","846","1429",""
"Cosnard Clotaire","K1H","590.26","-","2480",""
"Adrien Barlier","K1H","633.50","4458","2738",""
