"Sélectif Régional de slalom - Sev Vinon Sur Verdon - Course 2 - Finale - 2015-04-04","Course 2 - Finale","2015-04-04","Régional","110"
"Aymeric Rivier","K1HM","147.14","-","-","Course 2 - Finale A"
"Tao Semeria","K1HM","148.97","-","-","Course 2 - Finale A"
"Robin Andre","K1HM","149.93","-","-","Course 2 - Finale A"
"Fanny Margot","C1D","Abs","-","-","Course 2 - Finale B"
"Hugo Andre","C1H","123.35","390.65","358.74","Course 2 - Finale B"
"Thomas Thieblemont","C1H","128.35","632.18","412.68","Course 2 - Finale B"
"Lucas Di Martino","C1H","134.46","369.79","478.6","Course 2 - Finale B"
"Alexis Mercoirol","C1H","144.51","393.1","587.02","Course 2 - Finale B"
"Theo Viens","C1H","148.81","260.29","633.41","Course 2 - Finale B"
"Julie Labarelle","K1D","116.85","130.18","199.38","Course 2 - Finale B"
"Charlotte Issagarre","K1D","132.69","338.68","358.17","Course 2 - Finale B"
"Lorene Scalbert","K1D","140.01","440.61","431.54","Course 2 - Finale B"
"Clemence Pacher","K1D","140.22","485.59","433.64","Course 2 - Finale B"
"Juliette Bonetti","K1D","147.13","-","502.92","Course 2 - Finale B"
"Juliette Rousset","K1D","153.33","535.18","565.06","Course 2 - Finale B"
"Amandine CrÉgut","K1D","206.99","-","1102.95","Course 2 - Finale B"
"Marion Pasquali","K1DM","163.16","-","-","Course 2 - Finale B"
"Luc Doye","K1H","112.83","219.52","306.12","Course 2 - Finale B"
"Theo Viens","K1H","118.94","324.15","375.33","Course 2 - Finale B"
"Lucas Di Martino","K1H","126.96","714.17","466.17","Course 2 - Finale B"
"Fabien Leist","K1H","128.2","376.24","480.22","Course 2 - Finale B"
"Alexis Mercoirol","K1H","128.73","399.64","486.22","Course 2 - Finale B"
"Gilles Lovera","K1H","129.44","506.2","494.26","Course 2 - Finale B"
"Lucas Ferro","K1H","133.1","600.05","535.72","Course 2 - Finale B"
"Mikael Clanchin","K1H","133.81","482.17","543.76","Course 2 - Finale B"
"Ivan Olivier","K1H","134.65","-","553.28","Course 2 - Finale B"
"Alan Bellot","K1H","135.02","527.66","557.47","Course 2 - Finale B"
"Valentin Affortit","K1H","135.35","526.9","561.21","Course 2 - Finale B"
"Lucas Maurin","K1H","135.61","538.33","564.15","Course 2 - Finale B"
"Anton Gille","K1H","136.16","634.54","570.38","Course 2 - Finale B"
"Gregoire Michel","K1H","137.77","703.2","588.62","Course 2 - Finale B"
"Adrien Reinard","K1H","137.84","397.36","589.41","Course 2 - Finale B"
"Jean Beillard","K1H","138.68","-","598.93","Course 2 - Finale B"
"Dominique Polard","K1H","139.05","552.35","603.12","Course 2 - Finale B"
"Seraphin Margot","K1H","140.99","557.66","625.09","Course 2 - Finale B"
"Robin Plancade","K1H","141.16","593.97","627.02","Course 2 - Finale B"
"Pierre Courtois","K1H","142.84","645.53","646.05","Course 2 - Finale B"
"Morgan Hoarau","K1H","143.74","551.12","656.24","Course 2 - Finale B"
"Hugo Avril","K1H","143.95","650.65","658.62","Course 2 - Finale B"
"Louis Scalbert","K1H","144.87","503.74","669.04","Course 2 - Finale B"
"Ange Bernard","K1H","147.86","740.95","702.91","Course 2 - Finale B"
"Enzo Briffa","K1H","149.38","716.53","720.13","Course 2 - Finale B"
"Luca Barone","K1H","156.35","621.8","799.08","Course 2 - Finale B"
"Valentin Bonnot","K1H","196.2","382.67","1250.47","Course 2 - Finale B"
"Gauthier Fiorentino","K1H","232.1","1163.11","1657.12","Course 2 - Finale B"
"Gael Adisson","K1HM","124.31","-","-","Course 2 - Finale B"
"Enzo Guillarme","K1HM","147.17","-","-","Course 2 - Finale B"
"Kilian Cottet","K1HM","152.05","-","-","Course 2 - Finale B"
"Romaric Moreno","K1HM","154.91","-","-","Course 2 - Finale B"
"Simon Del Negro","K1HM","168.32","-","-","Course 2 - Finale B"
