"Sélectif National 3 Slalom Nord - Picquigny - Finale - 2016-04-24","Finale","2016-04-24","Nationale 3","157"
"Nicolas Candieu","C1H","127.43","693.05","647.33","Finale B"
"Lucas Walbreq","C1H","130.89","618.34","691.84","Finale B"
"Jacques Nardeau","C1H","132.28","552.35","709.72","Finale B"
"LoÏc Pottier","C1H","136.1","751.53","758.86","Finale B"
"Isidore Dubuisson","C1H","142.1","786.82","836.04","Finale B"
"Samuel Bonvalet","C1H","147.86","691.71","910.14","Finale B"
"Axel Lepenant","C1H","149.86","725.44","935.88","Finale B"
"Axel Kottelanne","C1H","309.91","968.41","2994.79","Finale B"
"Donatien Lamoureux","C1H","Des","-","-","Finale B"
"Mickael Dubois","C1H","Des","-","-","Finale B"
"Bertrand Avril-Sebastien Masseline","C2H","137.1","-","691.55","Finale B"
"Baptiste Duboc-Louis Vandeville","C2H","155.73","-","920.33","Finale B"
"Elie Scaglia Mennesson-Roman Vivier","C2H","181.48","-","1236.52","Finale B"
"Thomas Martinet-Lucas Walbreq","C2H","196.05","639.79","1415.43","Finale B"
"Isidore Dubuisson-Niels Beaumont","C2H","204.77","-","1522.52","Finale B"
"Theo Moalic-Marceau Decarsin","C2H","208.58","732.11","1569.29","Finale B"
"Alberic Carpentier-Lucien Louchez","C2H","209.32","1028.71","1578.38","Finale B"
"Simon Dubosc-Leontine Dubuisson","C2M","132.88","495.45","503.76","Finale B"
"Anne Lambert-Louison Laumondais","C2M","156.16","682.02","765.8","Finale B"
"Florence Marchal-Jacques Nardeau","C2M","174.43","595.18","971.45","Finale B"
"Anna Marvillet","K1D","139.74","571.68","678.42","Finale B"
"Anne Lambert","K1D","142.73","568.61","714.16","Finale B"
"Yuna Pernet","K1D","146.66","681.64","761.14","Finale B"
"Lea Lauer","K1D","159.53","554.53","914.98","Finale B"
"Daphnee Mouchelet","K1D","175.9","736.56","1110.66","Finale B"
"Catherine Boulan","K1D","182.35","535.57","1187.76","Finale B"
"Camille De Araujo","K1D","198.2","769.66","1377.22","Finale B"
"Florence Marchal","K1D","211.24","637.62","1533.09","Finale B"
"Hugo Pidoux","K1H","102.99","452.76","399.17","Finale B"
"Theo Moalic","K1H","106.53","543.67","446.99","Finale B"
"Anthony Codemo","K1H","107.08","484.89","454.42","Finale B"
"Ianis Fleury","K1H","108.76","581.94","477.11","Finale B"
"Paul Besnard","K1H","109.45","498.16","486.43","Finale B"
"Valentin Fleury","K1H","109.47","451.59","486.7","Finale B"
"Maxime Savalle","K1H","110.32","532.1","498.18","Finale B"
"Benoit Guernic","K1H","110.65","438.23","502.64","Finale B"
"Mathieu Aussant","K1H","111.34","598.39","511.96","Finale B"
"Roman Vivier","K1H","112.18","679.17","523.3","Finale B"
"Remi Blaud","K1H","112.39","522.34","526.14","Finale B"
"Elie Scaglia Mennesson","K1H","112.88","537.55","532.76","Finale B"
"Lucas Walbreq","K1H","114.34","491.34","552.48","Finale B"
"Niels Beaumont","K1H","114.36","431.37","552.75","Finale B"
"Vincent Amisse","K1H","114.36","476.05","552.75","Finale B"
"Alexandre Ponnelle","K1H","115.7","526.29","570.85","Finale B"
"Philippe Valeri","K1H","116.77","434.49","585.3","Finale B"
"Simon Philibert","K1H","117.31","561.59","592.6","Finale B"
"Mathieu Cruard","K1H","120.03","562.47","629.34","Finale B"
"Baptiste Duboc","K1H","120.07","572.72","629.88","Finale B"
"Amael Samson","K1H","121.31","515.82","646.63","Finale B"
"Vladimir Krsmanovic","K1H","121.6","578.02","650.54","Finale B"
"Johann Sacleux","K1H","122.85","708.13","667.43","Finale B"
"Lilian Lepenant","K1H","124.85","572.56","694.44","Finale B"
"Axel Lepenant","K1H","127.11","619.24","724.97","Finale B"
"Yann Castryck- -genereux","K1H","129.81","664.11","761.44","Finale B"
"Baptiste Le Cocq","K1H","132.31","554.28","795.21","Finale B"
"Philippe Podvin","K1H","134.85","673.03","829.52","Finale B"
"Marvin Lescourant","K1H","135.26","583.57","835.06","Finale B"
"Sebastien Masseline","K1H","140.2","625.48","901.78","Finale B"
"Augustin Renard","K1H","143.21","702.77","942.44","Finale B"
"Nathan Saintobert","K1H","145.7","794.85","976.07","Finale B"
"Alexis Agent","K1H","147.36","542.13","998.5","Finale B"
"Lucas Correia","K1H","160.26","487.42","1172.74","Finale B"
"Christophe Flores","K1H","161.2","781.37","1185.44","Finale B"
"Alberic Carpentier","K1H","165.97","631.02","1249.87","Finale B"
"Samuel Bonvalet","K1H","172.75","670.07","1341.45","Finale B"
"Basile Guerrapin","K1H","199.39","539.8","1701.29","Finale B"
"Mickael Dubois","K1H","203.71","669.07","1759.64","Finale B"
"Axel Kottelanne","K1H","252.43","863.66","2417.72","Finale B"
