"Sélectif Régional - Espace Eaux Vives du Pilat Rhodanien - Course 1 - Finale - 2014-09-27","Course 1 - Finale","2014-09-27","Régional","289"
"Mylene Ferry-Pascal Ferry","C2M","130.35","-","352.18","Course 1 - Finale A"
"Chloe Faverjon-Benjamin Gonthier","C2M","280.55","-","1914.62","Course 1 - Finale A"
"Laure Castel-Alexandre Lismonde","C2M","Abd","-","-","Course 1 - Finale A"
"Yohann Biglia-Charlotte Issagarre","C2M","Abs","-","-","Course 1 - Finale A"
"Julie Labarelle","K1D","101.05","128.26","112.5","Course 1 - Finale A"
"Flora Huvelin","K1D","101.33","90.74","115.6","Course 1 - Finale A"
"Caroline Bourry","K1D","102.21","74.92","125.32","Course 1 - Finale A"
"Annaelle Meheut","K1D","102.84","124.77","132.28","Course 1 - Finale A"
"Anneline Triomphe","K1D","103.31","125.23","137.47","Course 1 - Finale A"
"Marine Schmitt","K1D","103.91","129.45","144.1","Course 1 - Finale A"
"Joey Bercon","K1D","104.18","132.34","147.08","Course 1 - Finale A"
"Elise Pierron","K1D","105.36","119.55","160.11","Course 1 - Finale A"
"Nelly Tornare","K1D","105.99","160","167.07","Course 1 - Finale A"
"Jihane Samlal","K1D","106.87","141.48","176.79","Course 1 - Finale A"
"Emeline Oudet","K1D","107.42","151.63","182.87","Course 1 - Finale A"
"Viviana Daille","K1D","109.16","225.04","202.09","Course 1 - Finale A"
"Laura Rocher","K1D","111.73","192.43","230.48","Course 1 - Finale A"
"Mylene Ferry","K1D","111.95","142.44","232.91","Course 1 - Finale A"
"Emilie Lhomme","K1D","112.16","191.63","235.23","Course 1 - Finale A"
"Lea Wetzel","K1D","113.84","94.64","253.79","Course 1 - Finale A"
"Fanny Mino-vercellio","K1D","118.61","305.32","306.49","Course 1 - Finale A"
"Louise Bichet","K1D","118.83","248.02","308.91","Course 1 - Finale A"
"Raphaelle Hovine","K1D","119.36","261.9","314.76","Course 1 - Finale A"
"Marion Delorme","K1D","121.74","303.29","341.07","Course 1 - Finale A"
"Carine Chapuis","K1D","136.57","359.45","504.88","Course 1 - Finale A"
"Angele Hug","K1DM","125.91","-","387.13","Course 1 - Finale A"
"Coline Charel","K1DM","129.05","-","421.82","Course 1 - Finale A"
"Marie Juquelier","K1DM","136.69","-","-","Course 1 - Finale A"
"Eva Pietracha","K1DM","142.51","-","-","Course 1 - Finale A"
"Eva Bard","K1DM","171.23","-","887.77","Course 1 - Finale A"
"Capucine Dubut","K1DM","186.81","-","1059.88","Course 1 - Finale A"
"Kevin Schultz","K1H","87.42","56.71","87.48","Course 1 - Finale A"
"Martin Dougoud","K1H","88.65","81.34","102.83","Course 1 - Finale A"
"Paul Brier","K1H","88.85","89.52","105.33","Course 1 - Finale A"
"Jimy Bercon","K1H","89.09","43.82","108.32","Course 1 - Finale A"
"Nicolas Abbal","K1H","89.14","47.52","108.95","Course 1 - Finale A"
"Martin Daviet","K1H","89.52","63.09","113.69","Course 1 - Finale A"
"Matthieu Le Gall","K1H","92.04","-","145.15","Course 1 - Finale A"
"Boris Chenal","K1H","92.07","59","145.52","Course 1 - Finale A"
"Titouan Dupras","K1H","92.11","137.48","146.02","Course 1 - Finale A"
"Enzo Seker","K1H","93.1","109.01","158.38","Course 1 - Finale A"
"Maxime Bottex","K1H","93.87","109.86","167.99","Course 1 - Finale A"
"Loic Bertoia","K1H","95.09","193.85","183.22","Course 1 - Finale A"
"Antoine Gaillard","K1H","95.13","182.25","183.72","Course 1 - Finale A"
"Baptiste Granger","K1H","95.36","195.68","186.59","Course 1 - Finale A"
"Sebastien Nouvel","K1H","95.79","146.92","191.96","Course 1 - Finale A"
"Antonin Elne","K1H","95.92","151.87","193.58","Course 1 - Finale A"
"Kendaor Le Huitou","K1H","96.01","-","194.7","Course 1 - Finale A"
"Vincent Gerdeaux","K1H","96.96","197.8","206.56","Course 1 - Finale A"
"Gregoire Guerin","K1H","97.37","166.98","211.68","Course 1 - Finale A"
"Alexandre Lismonde","K1H","98.06","221.21","220.29","Course 1 - Finale A"
"Adrien Maire","K1H","98.07","178.81","220.42","Course 1 - Finale A"
"Luc Doye","K1H","98.11","251.29","220.92","Course 1 - Finale A"
"Baptiste Podor","K1H","98.88","242.65","230.53","Course 1 - Finale A"
"Pascal Ferry","K1H","99.12","166.83","233.53","Course 1 - Finale A"
"Tristan Bronsard","K1H","99.14","209.26","233.78","Course 1 - Finale A"
"Erwan Cadio","K1H","99.51","206.29","238.39","Course 1 - Finale A"
"Leo Fournier","K1H","99.99","214.04","244.39","Course 1 - Finale A"
"Axel Kournwsky","K1H","100.45","215.52","250.13","Course 1 - Finale A"
"Matthieu Basset","K1H","100.48","180.93","250.5","Course 1 - Finale A"
"Mathieu Monier","K1H","100.56","223.15","251.5","Course 1 - Finale A"
"Bertrand Bercon","K1H","101.01","219.79","257.12","Course 1 - Finale A"
"Valentin Vibert","K1H","101.05","229.61","257.62","Course 1 - Finale A"
"Corentin Douady","K1H","101.25","219.61","260.11","Course 1 - Finale A"
"Romain Guyomard","K1H","101.32","92.49","260.99","Course 1 - Finale A"
"Maxime Le Morvan","K1H","101.47","195.41","262.86","Course 1 - Finale A"
"Charles Fernandes De Oliveira","K1H","101.73","260.73","266.11","Course 1 - Finale A"
"Yohann Biglia","K1H","102.24","302.82","272.47","Course 1 - Finale A"
"Julien Signarbieux","K1H","102.27","255.39","272.85","Course 1 - Finale A"
"Jonas Le Morvan","K1H","102.49","175.97","275.59","Course 1 - Finale A"
"Sebastien Lepaulard","K1H","102.96","268.46","281.46","Course 1 - Finale A"
"Lilian Querry","K1H","103.16","284.58","283.96","Course 1 - Finale A"
"Lucas Vancon","K1H","103.69","-","290.57","Course 1 - Finale A"
"Thomas Denais","K1H","103.96","270.85","293.94","Course 1 - Finale A"
"Paul Cornut-chauvinc","K1H","104.87","184.06","305.3","Course 1 - Finale A"
"Emeric Vibert","K1H","104.92","-","305.93","Course 1 - Finale A"
"Theo Viens","K1H","105","352.16","306.93","Course 1 - Finale A"
"Olivier Hardonniere","K1H","105.2","281.01","309.42","Course 1 - Finale A"
"Thomas Girard","K1H","105.27","287.57","310.3","Course 1 - Finale A"
"Charles Vallet","K1H","105.34","278.21","311.17","Course 1 - Finale A"
"Thomas Neime","K1H","105.57","285.07","314.04","Course 1 - Finale A"
"Hippolyte Brunier","K1H","105.71","329.17","315.79","Course 1 - Finale A"
"Alexis Cordier","K1H","106.05","221.29","320.03","Course 1 - Finale A"
"Alain Ferry","K1H","106.38","280.31","324.15","Course 1 - Finale A"
"William Gettliffe","K1H","106.56","246.86","326.4","Course 1 - Finale A"
"Mathieu Lions","K1H","106.7","333.7","328.15","Course 1 - Finale A"
"Mathias Guillot","K1H","107.24","-","334.89","Course 1 - Finale A"
"Timothee Olla","K1H","107.62","370.8","339.63","Course 1 - Finale A"
"Quentin Sablayrolles","K1H","108.35","308.37","348.74","Course 1 - Finale A"
"Corentin Talancieux","K1H","108.36","260.02","348.87","Course 1 - Finale A"
"Alexis Lozachmeur","K1H","109.38","-","361.6","Course 1 - Finale A"
"Jean Philippe Roche","K1H","110.31","397.13","373.21","Course 1 - Finale A"
"Hugo Andre","K1H","129.35","374.54","610.88","Course 1 - Finale A"
"Louis Masson","K1H","148.16","199.97","845.69","Course 1 - Finale A"
"Henri Bergognon","K1HM","103.49","-","-","Course 1 - Finale A"
"Kawan Thomas","K1HM","106.46","394.14","325.15","Course 1 - Finale A"
"Dimitri Lotigie","K1HM","107.66","-","340.13","Course 1 - Finale A"
"Emeric Bussonnais","K1HM","107.97","-","344","Course 1 - Finale A"
"Jules Silvin","K1HM","108.09","-","345.5","Course 1 - Finale A"
"Jules Cresp","K1HM","110.86","427.93","380.08","Course 1 - Finale A"
"Pierre Grapotte","K1HM","111.31","-","385.69","Course 1 - Finale A"
"Samuel Bonella","K1HM","114.03","-","419.65","Course 1 - Finale A"
"Quentin Robin","K1HM","114.63","-","427.14","Course 1 - Finale A"
"Teo Bouvier","K1HM","119.03","-","482.06","Course 1 - Finale A"
"Louis Pein","K1HM","119.57","-","488.8","Course 1 - Finale A"
"Adrien Fischer","K1HM","119.58","-","-","Course 1 - Finale A"
"Nayl Tazi-sidqui","K1HM","120.07","549.35","495.04","Course 1 - Finale A"
"Thomas Courtois","K1HM","124.83","618.12","554.46","Course 1 - Finale A"
"Gael Adisson","K1HM","129.98","-","-","Course 1 - Finale A"
"Marine Schmitt","C1D","137.5","461.07","431.55","Course 1 - Finale B"
"Hind Jamili","C1D","139.04","396.54","447.58","Course 1 - Finale B"
"Laura Rocher","C1D","153.37","564.64","596.64","Course 1 - Finale B"
"Raphaelle Hovine","C1D","166.88","677.64","737.18","Course 1 - Finale B"
"Lorene Scalbert","C1D","176.91","-","841.51","Course 1 - Finale B"
"Coline Bertin","C1D","180.31","-","876.88","Course 1 - Finale B"
"Marie-amelie Jullien","C1D","285.67","-","1972.87","Course 1 - Finale B"
"Boris Chenal","C1H","108.33","306.88","289.09","Course 1 - Finale B"
"Theo Viens","C1H","109.55","277.72","303.6","Course 1 - Finale B"
"Alexandre Lismonde","C1H","109.59","289.78","304.07","Course 1 - Finale B"
"Timothee Olla","C1H","112.6","348.32","339.86","Course 1 - Finale B"
"Frank Adisson","C1H","112.68","-","340.81","Course 1 - Finale B"
"Jerome Daille","C1H","115.98","311.35","380.04","Course 1 - Finale B"
"Guillaume Gonseth","C1H","116.07","-","381.12","Course 1 - Finale B"
"Mathieu Monier","C1H","116.27","-","383.49","Course 1 - Finale B"
"Gregoire Guerin","C1H","117.96","-","403.59","Course 1 - Finale B"
"Loic Bertoia","C1H","118.21","444.62","406.56","Course 1 - Finale B"
"Alexis Mercoirol","C1H","119.07","435.1","416.78","Course 1 - Finale B"
"Adrien Maire","C1H","120.07","-","428.67","Course 1 - Finale B"
"Eric Archambault","C1H","126.8","-","508.68","Course 1 - Finale B"
"Cyril Audoit","C1H","129.22","531.42","537.45","Course 1 - Finale B"
"Hugo Andre","C1H","130.55","435.33","553.26","Course 1 - Finale B"
"Valentin Vibert","C1H","136.63","337.63","625.55","Course 1 - Finale B"
"Loic Burlet","C1H","136.86","518.94","628.28","Course 1 - Finale B"
"Mathieu Lions","C1H","139.05","618.86","654.32","Course 1 - Finale B"
"Florent Cossou","C1H","140.22","-","668.22","Course 1 - Finale B"
"Joseph Risson","C1H","153.51","1197.73","826.22","Course 1 - Finale B"
"Tomy Ly","C1H","Abs","-","-","Course 1 - Finale B"
"Stephane Breton","C1H","Abd","-","-","Course 1 - Finale B"
"Matthieu Basset","C1H","Abs","-","-","Course 1 - Finale B"
"Adrien Fischer","C1HM","133.48","-","-","Course 1 - Finale B"
"Paul Gaillard","C1HM","133.64","-","589.99","Course 1 - Finale B"
"Hugo Martin -laemle","C1HM","Abd","-","-","Course 1 - Finale B"
"Joseph Risson-Boris Rostaing","C2H","153.93","1461.38","748.03","Course 1 - Finale B"
"Mathieu Lions-Cyril Audoit","C2H","157.08","765.09","783.78","Course 1 - Finale B"
"Paul Cornut-chauvinc-Romain Gayral","C2H","187.59","599.26","1130","Course 1 - Finale B"
"Loic Bouvier-Arthur Tebib","C2HM","Abs","-","-","Course 1 - Finale B"
"Tiphaine Drouin","K1D","112.33","326.44","242.11","Course 1 - Finale B"
"Charlotte Issagarre","K1D","112.73","364.93","246.53","Course 1 - Finale B"
"Hind Jamili","K1D","118.01","297.08","304.86","Course 1 - Finale B"
"Marie-amelie Jullien","K1D","124.27","382.15","374","Course 1 - Finale B"
"Lucie Adisson","K1D","128.55","524.61","421.29","Course 1 - Finale B"
"Coline Bertin","K1D","132.98","446.02","470.22","Course 1 - Finale B"
"Emma Vieira Coelha","K1D","134.89","-","491.33","Course 1 - Finale B"
"Aude Lanchais","K1D","135.79","-","501.27","Course 1 - Finale B"
"Marie Boyer","K1D","140.09","594.51","548.76","Course 1 - Finale B"
"Laure Castel","K1D","140.37","540.46","551.86","Course 1 - Finale B"
"Julie Fauroux","K1D","148.3","484.98","639.46","Course 1 - Finale B"
"Manon Scotto","K1D","149.89","746.1","657.03","Course 1 - Finale B"
"Oceane Charel","K1D","151.31","-","672.72","Course 1 - Finale B"
"Sarah Monod","K1D","153.09","1767.08","692.38","Course 1 - Finale B"
"Juliette Rousset","K1D","165.62","-","830.79","Course 1 - Finale B"
"Carla Cerrutti - Bozzola","K1D","176.26","402.03","948.33","Course 1 - Finale B"
"Mana Thomas","K1D","177.95","326.24","967","Course 1 - Finale B"
"Lorene Scalbert","K1D","217.94","494.17","1408.76","Course 1 - Finale B"
"Patricia Raspaut","K1D","236.82","3541.67","1617.32","Course 1 - Finale B"
"Deborah Bouchenot","K1D","257.07","544.59","1841.03","Course 1 - Finale B"
"Chloe Faverjon","K1D","274.91","-","2038.1","Course 1 - Finale B"
"Anais Boucher","K1DM","127.45","-","409.14","Course 1 - Finale B"
"Juliette Ribault","K1DM","138.65","-","532.86","Course 1 - Finale B"
"Lea Ferraris","K1DM","140.46","-","-","Course 1 - Finale B"
"Laura Guillem","K1DM","149.32","-","650.74","Course 1 - Finale B"
"Lucas Barriere","K1H","104.02","392.35","299.69","Course 1 - Finale B"
"Yannick Grizaud","K1H","104.97","328.73","311.55","Course 1 - Finale B"
"Olivier Barriere","K1H","105.92","322.88","323.41","Course 1 - Finale B"
"Arnaud Gallois","K1H","106.05","206.49","325.03","Course 1 - Finale B"
"Mahe Dersoir","K1H","106.32","404.23","328.4","Course 1 - Finale B"
"Maxime Gaillard","K1H","107.45","358.02","342.51","Course 1 - Finale B"
"Loris Duchesne","K1H","107.74","421.09","346.13","Course 1 - Finale B"
"Matteo Licoine","K1H","108.63","399.46","357.24","Course 1 - Finale B"
"Jules Goutte-toquet","K1H","109.14","-","363.6","Course 1 - Finale B"
"Adrien Reinard","K1H","109.54","-","368.6","Course 1 - Finale B"
"Anselm Arnaud","K1H","109.98","477.59","374.09","Course 1 - Finale B"
"Marc Scognamiglio","K1H","110.83","552.43","384.7","Course 1 - Finale B"
"Morgan Meffre","K1H","111.98","447.96","399.06","Course 1 - Finale B"
"Thibaut Semiond","K1H","112.89","463.76","410.42","Course 1 - Finale B"
"Xavier Rat","K1H","113.28","393.34","415.28","Course 1 - Finale B"
"Florent Cossou","K1H","113.37","-","416.41","Course 1 - Finale B"
"Jeremie Devillers","K1H","113.4","402.3","416.78","Course 1 - Finale B"
"Cyril Audoit","K1H","113.66","397.64","420.03","Course 1 - Finale B"
"Lucien Goulet","K1H","114.6","467.37","431.76","Course 1 - Finale B"
"Emmanuel Triomphe","K1H","115.26","319.72","440","Course 1 - Finale B"
"Flavien Portier","K1H","115.26","465.04","440","Course 1 - Finale B"
"Adelin Constans","K1H","115.27","421.67","440.12","Course 1 - Finale B"
"Alexis Mercoirol","K1H","115.55","-","443.62","Course 1 - Finale B"
"Samuel Breton","K1H","115.72","440.79","445.74","Course 1 - Finale B"
"Louis Burignat","K1H","116.06","463.05","449.99","Course 1 - Finale B"
"Antoni Zaki","K1H","117.24","-","464.72","Course 1 - Finale B"
"Pacome Ricciardi","K1H","117.69","449","470.33","Course 1 - Finale B"
"Sylvain Bonnet","K1H","117.92","413.94","473.2","Course 1 - Finale B"
"Paul Roubaud","K1H","119.46","450.94","492.43","Course 1 - Finale B"
"Pierre Louis Debuigne","K1H","119.47","465.18","492.55","Course 1 - Finale B"
"Emmanuel Lanchais","K1H","120.77","625.88","508.78","Course 1 - Finale B"
"Boris Rostaing","K1H","122.9","387.45","535.37","Course 1 - Finale B"
"Julien Petit-maire","K1H","123.78","407.35","546.35","Course 1 - Finale B"
"Yann Tabone","K1H","126.42","595.98","579.31","Course 1 - Finale B"
"Adrien Jacquemet","K1H","126.53","1452.71","580.68","Course 1 - Finale B"
"Martin Chiche","K1H","127.03","-","586.92","Course 1 - Finale B"
"Sebastien Routhier","K1H","130.5","534.06","630.24","Course 1 - Finale B"
"Raphael Warot","K1H","132.53","602.73","655.58","Course 1 - Finale B"
"Romain Gayral","K1H","132.83","667.37","659.32","Course 1 - Finale B"
"Emilien Senneret","K1H","134.68","739.09","682.42","Course 1 - Finale B"
"Dominique Polard","K1H","136.95","-","710.75","Course 1 - Finale B"
"Hugo Gondeaux","K1H","137.09","855.35","712.5","Course 1 - Finale B"
"Lucas Ferro","K1H","137.14","706.85","713.13","Course 1 - Finale B"
"Benjamin Harreau","K1H","139.78","-","746.08","Course 1 - Finale B"
"Gregoire Michel","K1H","143.15","-","788.15","Course 1 - Finale B"
"Fabien Bezut","K1H","147.42","-","841.45","Course 1 - Finale B"
"Hugo Avril","K1H","149.19","871.8","863.54","Course 1 - Finale B"
"Paul Badache","K1H","156.4","997.95","953.55","Course 1 - Finale B"
"Damien Borlet","K1H","156.63","-","956.42","Course 1 - Finale B"
"Jerome Burignat","K1H","163.78","-","1045.67","Course 1 - Finale B"
"Benjamin Gonthier","K1H","180.14","-","1249.89","Course 1 - Finale B"
"Jean-louis Scotto","K1H","180.33","-","1252.26","Course 1 - Finale B"
"Stephane Breton","K1H","182","-","1273.11","Course 1 - Finale B"
"Clement Bachellerie","K1H","199.49","-","1491.43","Course 1 - Finale B"
"Sebastien Chilard","K1H","219.02","1461.05","1735.22","Course 1 - Finale B"
"Victorien Lombard","K1H","262.39","408","2276.61","Course 1 - Finale B"
"Thomas Galbrun","K1H","294.03","-","2671.56","Course 1 - Finale B"
"Morgan Hoarau","K1H","483.68","516.06","5038.94","Course 1 - Finale B"
"Tomy Ly","K1H","Abs","-","-","Course 1 - Finale B"
"Hugo Polard","K1H","Abd","-","-","Course 1 - Finale B"
"Tom Benini","K1HM","113.5","-","418.03","Course 1 - Finale B"
"Jimmy Ly","K1HM","117.87","-","-","Course 1 - Finale B"
"Kilian Hervault","K1HM","136.6","-","706.38","Course 1 - Finale B"
"Arthur Viallard","K1HM","137.72","-","-","Course 1 - Finale B"
"Maxime Melmont","K1HM","144.62","-","-","Course 1 - Finale B"
"Louis Mazoyer","K1HM","146.63","-","-","Course 1 - Finale B"
"Hugo Jugand","K1HM","153.03","-","911.48","Course 1 - Finale B"
"Enzo Mazouat","K1HM","156.71","-","957.42","Course 1 - Finale B"
"Arthur Tebib","K1HM","156.89","-","959.66","Course 1 - Finale B"
"Hugo Martin -laemle","K1HM","185.56","-","1317.55","Course 1 - Finale B"
"Tom Mazouat","K1HM","251.96","-","2146.41","Course 1 - Finale B"
"Leo Vansimay","K1HM","339.82","-","3243.15","Course 1 - Finale B"
"Yann Leruste","K1HM","Abs","-","-","Course 1 - Finale B"
"Paul Gaillard","K1HM","Abd","-","-","Course 1 - Finale B"
"Loic Bouvier","K1HM","Abs","-","-","Course 1 - Finale B"
