"Sélectif N2 - Lavancia -Epercy - 2010-04-18","Course 1","2010-04-18","Nationale 2","185"
"Alexandre Mathis-Pierre Melin","C2H","120.61","167","168",""
"Maxime Vallin-Gauthier Gonseth","C2H","121.58","212","177",""
"Frederic Walczak-Emmanuel Walczak","C2H","121.98","210","180",""
"Jonathan Chapatte-Alexandre Dimitriou","C2H","122.07","188","181",""
"Nils Mosch-Jeremy Vibert","C2H","127.95","239","231",""
"Alexis Collin-Remi Thomas","C2H","143.98","277","368",""
"Camille Sahuc-Paul Graton","C2H","185.95","244","726",""
"Nicolas Ciemniewski-Florianne Gautier","C2M","143.96","240","284",""
"Mathias Merle-Claire Landrin","C2M","149.39","210","327",""
"Elise Pierron","K1D","114.99","77","94",""
"Annaelle Meheut","K1D","116.68","121","109",""
"Jihane Samlal","K1D","118.16","141","121",""
"Nelly Tornare","K1D","119.54","80","132",""
"Berangere Baudart","K1D","120.55","153","140",""
"Flora Bove","K1D","121.18","91","146",""
"Elise Chabbey","K1D","122.00","200","152",""
"Carine Chapuis","K1D","122.40","212","156",""
"Anne Traband","K1D","122.73","-","159",""
"Florianne Gautier","K1D","123.15","207","162",""
"Charlotte Lubineau","K1D","124.00","180","169",""
"Barbara Gibert","K1D","124.00","157","169",""
"Jenny Chevalier","K1D","126.00","142","186",""
"Mylene Ferry","K1D","126.78","202","192",""
"Emeline Oudet","K1D","126.94","212","194",""
"Coralie Yebenes","K1D","128.00","168","202",""
"Julie Neime","K1D","128.52","174","207",""
"Melanie Ragaru","K1D","128.60","207","208",""
"Clementine Geoffray","K1D","130.00","198","219",""
"Lorraine Mathis","K1D","130.00","192","219",""
"Camille Grezard","K1D","130.08","197","220",""
"Clara Dos Santos","K1D","131.00","193","227",""
"Alice Janecek","K1D","132.25","252","238",""
"Aurelie Divoux","K1D","133.71","229","250",""
"Stephanie Ansot","K1D","133.88","213","252",""
"Maud Caspar","K1D","134.51","260","257",""
"Julie Wassmer","K1D","135.14","221","262",""
"Alize Bachelot","K1D","135.46","279","265",""
"Marion Delorme","K1D","135.90","170","268",""
"Sylvie Metz","K1D","136.00","287","269",""
"Cecile Meichel","K1D","136.09","250","270",""
"Raphaelle Hovine","K1D","136.19","152","271",""
"Marion Laurain","K1D","137.00","305","277",""
"Elodie Delavelle","K1D","137.00","171","277",""
"Juliette Legendre","K1D","140.00","263","302",""
"Victorine Gerard","K1D","141.81","305","317",""
"Emilie Saguet","K1D","142.23","290","321",""
"Clara Gache","K1D","142.41","285","322",""
"Morgane Charron","K1D","143.18","292","328",""
"Lucie Boutonnet","K1D","145.33","230","346",""
"Lucile Remond","K1D","147.89","262","368",""
"Laura Janeriat","K1D","155.00","285","426",""
"Elodie Berrot","K1D","167.58","283","532",""
"Tiphanie Borlet","K1D","Nt","-","-",""
"Anne Fischer","K1D","Nt","-","-",""
"Pauline Soenen","K1D","Nt","-","-",""
"Marion Gallois","K1D","Nt","-","-",""
"Fiora Bourges","K1D","Nt","-","-",""
"Romain Chabrol","K1H","97.57","81","55",""
"Nicolas Abbal","K1H","97.91","63","58",""
"Kendaor Le Huitou","K1H","99.27","79","71",""
"Jerome Olhagaray","K1H","99.62","91","74",""
"Fabien Tournadre","K1H","99.73","79","75",""
"Thibaud Lacour","K1H","100.05","83","78",""
"Xavier Jourdain","K1H","100.57","83","83",""
"Jeremy Wagner","K1H","101.01","117","87",""
"Romain Faurie","K1H","101.44","130","91",""
"Jonathan Chapatte","K1H","101.53","88","92",""
"Loic Jeanningros","K1H","101.74","91","94",""
"George Meysner","K1H","101.76","128","94",""
"Julien Arribe","K1H","101.80","69","95",""
"Thibault Gibert","K1H","102.20","111","98",""
"Benoit Letellier","K1H","102.33","103","100",""
"Mathieu Haberland","K1H","102.38","91","100",""
"Boris Chenal","K1H","102.50","109","101",""
"Kevin Schultz","K1H","102.52","138","102",""
"Martin Daviet","K1H","102.53","171","102",""
"Maxime Di Lauro","K1H","102.65","139","103",""
"Adrien Chabbey","K1H","102.82","83","104",""
"Jeremy Lehning","K1H","103.48","108","110",""
"Paul Aubert","K1H","103.50","109","110",""
"Florient Tagnon","K1H","103.50","105","110",""
"Remi Baudot","K1H","103.54","106","111",""
"Pierre Devaux","K1H","103.73","344","113",""
"Bertrand Bercon","K1H","104.29","129","118",""
"Antoine Colas","K1H","104.95","126","124",""
"Anthony Thuillier","K1H","104.99","136","125",""
"Benjamin Thiboust","K1H","105.38","89","128",""
"Pascal Ferry","K1H","105.52","129","129",""
"Philippe Daumont","K1H","105.53","155","130",""
"Mael Othenin Girard","K1H","105.70","113","131",""
"Hafiz Ali Hassan","K1H","105.74","127","132",""
"Maxime Faivre","K1H","105.85","155","133",""
"Quentin Moreaux","K1H","106.05","137","134",""
"Bertrand Gutierrez","K1H","106.06","104","134",""
"Romain Viry","K1H","106.66","160","140",""
"Valentin Pahon","K1H","106.90","192","142",""
"Nicolas Germay","K1H","107.62","207","149",""
"Remi Thomas","K1H","107.87","138","152",""
"Mehdi Rouich","K1H","107.91","168","152",""
"Silvere Desongins","K1H","108.09","155","153",""
"Mathieu Douillet","K1H","108.10","208","154",""
"Jeremy Vibert","K1H","108.30","133","156",""
"Olivier Blanc","K1H","108.90","159","161",""
"Nizar Samlal","K1H","108.96","168","162",""
"Charly Chassigneux","K1H","109.09","198","163",""
"Nikolas Stanik","K1H","109.15","154","164",""
"Matthieu Basset","K1H","109.22","148","165",""
"Xavier Marie","K1H","109.23","198","165",""
"Gael Wassmer","K1H","109.44","180","166",""
"Sylvain Viallon","K1H","109.50","172","167",""
"Yannick Besse","K1H","109.61","142","168",""
"Jonas Le Morvan","K1H","109.89","210","171",""
"Nicolas Ciemniewski","K1H","110.55","131","177",""
"Etienne Carpentier","K1H","110.66","197","177",""
"Anthony Deschamps","K1H","110.77","186","179",""
"Lucas Ferraina","K1H","110.81","175","179",""
"Tobias Olla","K1H","111.13","189","183",""
"Simon Boulan","K1H","111.22","177","184",""
"Romain Musy","K1H","111.45","202","185",""
"Laurent Starck","K1H","111.49","205","186",""
"Julien Daumont","K1H","111.76","129","188",""
"Vincent Gerdeaux","K1H","111.80","174","189",""
"Nicolas Detheve","K1H","112.05","193","191",""
"Damien Burteaux","K1H","112.58","207","196",""
"Cyril Gisbert","K1H","112.60","170","196",""
"Armand Rakowski","K1H","112.87","194","199",""
"Emmanuel Moreau","K1H","112.87","173","199",""
"Thomas Monvoisin","K1H","113.13","199","201",""
"Loic Sieber","K1H","113.82","200","208",""
"Alexis Lozachmeur","K1H","113.83","203","208",""
"Nicolas Mangeolle","K1H","113.84","186","208",""
"Nicolas Burgi","K1H","114.00","172","209",""
"Axel Marais","K1H","114.15","150","211",""
"Gregory Booth","K1H","114.23","191","211",""
"Hugues Lesimple","K1H","114.27","166","212",""
"Willy Hugedet","K1H","114.31","195","212",""
"Victor Paulais","K1H","114.45","188","214",""
"Thomas Dandel","K1H","116.03","142","228",""
"Olivier Hardonniere","K1H","117.28","197","240",""
"Matthieu Chauvel","K1H","117.87","192","246",""
"Philippe Devillers","K1H","118.57","199","252",""
"Thomas Neime","K1H","118.85","190","255",""
"Gaetan Kieffert","K1H","119.80","207","264",""
"Guillaume Gery","K1H","119.81","190","264",""
"Jean Baptiste Thiel","K1H","120.78","195","273",""
"Matthieu Walfard","K1H","121.82","186","283",""
"Yves Debailleul","K1H","Nt","-","-",""
