"Manche de la Coupe de France National 2 Slalom - 64800 Lestelle Betharram - Qualification - 2019-02-17","Qualification","2019-02-17","Nationale 2","147"
"Lucas Dominguez","K1H","106.08","258.73","339.49",""
"Leo Fournier","K1H","106.12","199.7","339.99",""
"Mael Hervault","K1H","106.14","305.8","340.24",""
"Tino Forgues","K1H","106.3","259.93","342.23",""
"Nour Ait Kaddour","K1H","108.86","274.76","374.13",""
"Alexandre Goujon","K1H","109.69","277.07","384.47",""
"Arthur Lagleyze","K1H","109.71","305.54","384.72",""
"Djendy Simeant","K1H","110.1","193.35","389.58",""
"Yohann Senechault","K1H","112.56","182.83","420.24",""
"Tanguy Malingre","K1H","112.77","311.72","422.86",""
"Antoine Laye","K1H","115.16","278.73","452.64",""
"Edouard Chenal","K1H","118.44","256.02","493.51",""
"Mathieu Monier","K1H","136.33","122.6","716.45",""
"Valentin Courtiade","K1H","143.4","203.48","804.55",""
"Arnaud Verrons","K1H","144.89","174.82","823.12",""
"Nicolas Abbal","K1H","145.37","119.34","829.1",""
"Thomas Ukalovic","K1H","145.64","271.38","832.47",""
"Tanguy Zaninotto","K1H","147.61","162.71","857.02",""
"Dylan Sourbe","K1H","149.41","209.91","879.45",""
"Cyprien Cail","K1H","151.17","263.43","901.38",""
"Gedeon Cothias-faure","K1H","158.54","301.21","993.22",""
"Mael Bernes","K1H","200.9","275.13","1521.09",""
"Jean Philippe Roche","K1H","204.71","285.14","1568.57",""
