"Sélectif Régional Slalom (Double) - 07190 St Sauveur De Montagut - Course n°2 | Qualification - 2020-10-25","Course n°2 | Qualification","2020-10-25","Régional","96"
"Vincent Redon","K1H","88.82","517.09","519.4",""
"Baptiste Duboc","K1H","92.29","391.4","573.37",""
"Sebastien Lepaulard","K1H","93.56","491.76","593.12",""
"Thibaud Chovin","K1H","96.57","535.5","639.93",""
"Cedric Despax","K1H","97.65","-","656.72",""
"Laurent Brossat","K1H","98.13","690.03","664.19",""
"Arnaud Lejeune","K1H","100.49","551.08","700.89",""
"Jerome Talbot","K1H","100.84","520.5","706.33",""
"Remy Beal","K1H","101.49","499.29","716.44",""
"Quentin Ducrot","K1H","102.51","619.45","732.3",""
"Julien Suarez","K1H","102.78","727.77","736.5",""
"Marc Janeriat","K1H","105.1","633.39","772.58",""
"Alexei Evlachev","K1H","105.77","604.23","783",""
"Rafael Parnotte","K1H","109.63","563.77","843.03",""
"Jean-marc Suarez","K1H","109.79","706.88","845.52",""
"Sebastien Riou","K1H","110.29","735.93","853.29",""
"Serge Doby","K1H","111.52","895.94","872.42",""
"Thomas Laurent","K1H","112.78","834.67","892.02",""
"Matthieu Rousseau","K1H","113.71","820.63","906.48",""
"Michel Claveau","K1H","116.06","966.67","943.03",""
"Julien Dupriez","K1H","120.14","1006.72","1006.48",""
"Thierry Duterage","K1H","120.22","-","1007.72",""
"Theo Leroy","K1H","124.94","914.83","1081.13",""
"Gabriel Vincent","K1H","127.43","1444.69","1119.85",""
"Ethan Vilardell","K1H","133.02","989.62","1206.78",""
"Philippe Lelieur","K1H","157.73","541.48","1591.06",""
"Ivan Parnotte","K1H","166.18","921.07","1722.47",""
"Nicolas Vattan","K1H","199.97","3772.12","2247.96",""
"Christophe Chambert","K1H","209.26","2350.94","2392.43",""
"Guillaume Mele","K1H","Nt","-","-",""
"Jeremy Rouet","K1H","Nt","-","-",""
"Loris Allamachere","K1H","Nt","-","-",""
"Herve Vitali","K1H","Nt","-","-",""
"Kevin Cheval","K1H","Abs","-","-",""
"Frederic Brissaud","K1H","Nt","-","-",""
"Jules Raoul","K1HM","89.55","521.28","530.76",""
"Titouan Duraffourg","K1HM","106.58","751.76","795.6",""
"Dorian Oriol","K1HM","109.41","608.71","839.61",""
"Bastien Chovin","K1HM","112.71","916.64","890.93",""
"Livio Richard","K1HM","113.99","803.49","910.84",""
"Romain Bertrand","K1HM","118.27","823.78","977.4",""
"Tom Leclercq-chabenat","K1HM","125.09","825.17","1083.46",""
"Marius Guerin Redon","K1HM","125.41","861.48","1088.43",""
"Clement Garnier","K1HM","129.75","979.19","1155.93",""
"Elias Huguenin","K1HM","145.01","1124.31","1393.24",""
"Simon Baptiste","K1HM","167.19","919.97","1738.18",""
"Louca Bal","K1HM","Nt","-","-",""
