"Sélectif National 3 Slalom Sud-Ouest - Saint Benoit - Finale - 2016-03-06","Finale","2016-03-06","Nationale 3","183"
"Margot Beziat","K1D","128.91","388.56","380.46","Finale A"
"Laurence Pessoni","K1D","129.64","393.55","388.23","Finale A"
"Agathe Gewiss","K1D","131.83","402.43","411.56","Finale A"
"Marie Charbonneau","K1D","132.29","384.4","416.46","Finale A"
"Maeva Bachelot","K1D","132.9","449.7","422.96","Finale A"
"CÉcilia Bourgeois","K1D","138.61","376.58","483.77","Finale A"
"Nathan Hossin","K1H","101.66","242.23","230.98","Finale A"
"Flavien San Augustin","K1H","102.1","243.26","236.28","Finale A"
"Dylan Sourbe","K1H","104.38","251.57","263.72","Finale A"
"Pierre Campagne","K1H","105.38","281.77","275.75","Finale A"
"Jean-francois Souville","K1H","105.95","276.46","282.61","Finale A"
"Zeph Scamps","K1H","106.21","278.27","285.74","Finale A"
"Jeanmichel Bibes","K1H","107.1","306.06","296.45","Finale A"
"Vincent Menager","K1H","108.07","296.56","308.13","Finale A"
"Paul Pradalie","K1H","108.95","297.11","318.72","Finale A"
"Kevin Sponem","K1H","109.2","328.47","321.73","Finale A"
"Yannick Besse","K1H","109.62","358.86","326.78","Finale A"
"Theau Le Loch","K1H","110.04","301.66","331.84","Finale A"
"Manuel Legros","K1H","110.19","384.32","333.64","Finale A"
"Clement Ravoteur","K1H","110.34","400.54","335.45","Finale A"
"Romain Poirier","K1H","110.94","321.49","342.67","Finale A"
"Mathieu Minie","K1H","111.61","282.48","350.73","Finale A"
"Clement Caillard","K1H","111.61","369.37","350.73","Finale A"
"Matheo Gillaizeau","K1H","111.79","340.33","352.9","Finale A"
"Patrick Clerc","K1H","111.95","381.72","354.82","Finale A"
"Gaetan Coat","K1H","112.2","283.23","357.83","Finale A"
"Nicolas Saurat","K1H","112.24","399.41","358.31","Finale A"
"Leo Vuitton","K1H","112.71","347.34","363.97","Finale A"
"Luc Sarramea","K1H","113.82","293.87","377.33","Finale A"
"Antoine Laye","K1H","113.87","313.85","377.93","Finale A"
"Jean Christophe Erdois","K1H","113.9","342.88","378.29","Finale A"
"Pierre Dehaudt","K1H","113.95","348.85","378.9","Finale A"
"Denis Delaleux","K1H","113.96","291.75","379.02","Finale A"
"Jeremie Palazy","K1H","114.14","364.22","381.18","Finale A"
"Tom Zanfini","K1H","114.19","409.92","381.78","Finale A"
"Maxime Garcia","K1H","114.37","302.99","383.95","Finale A"
"Antoine Bouby","K1H","114.86","419.92","389.85","Finale A"
"Sam Traquet","K1H","116.45","424.04","408.98","Finale A"
"Valentin Cesbron","K1H","117.34","287.85","419.7","Finale A"
"Cedric Forgit","K1H","117.41","369.82","420.54","Finale A"
"NaËl Rajoub","K1H","117.43","426.4","420.78","Finale A"
"Vincent Gardere","K1H","117.55","329.19","422.22","Finale A"
"Nathan Pavot","K1H","118.1","418.94","428.84","Finale A"
"Valentin Courtiade","K1H","118.34","332.04","431.73","Finale A"
"Louis Foissac","K1H","118.7","363.16","436.06","Finale A"
"Thair Benzougar","K1H","118.86","435.95","437.99","Finale A"
"Ulysse Giel","K1H","118.88","461.66","438.23","Finale A"
"Guillaume Viguier","K1H","118.95","419.79","439.07","Finale A"
"Thomas Dieusaert","K1H","119.2","401.36","442.08","Finale A"
"Tom Bouchardon","K1H","120.01","352.63","451.83","Finale A"
"Julien Delaleux","K1H","120.72","318.06","460.38","Finale A"
"Pierrealain Clerc","K1H","122.83","295.87","485.77","Finale A"
"Theo Ducasse","K1H","129.83","380.66","570.02","Finale A"
"Natan Brule","K1H","160.44","305.28","938.42","Finale A"
"Lucas Lavit","K1H","169.42","328.63","1046.5","Finale A"
"Tino Forgues","K1H","173.25","437.92","1092.6","Finale A"
"Mathias Rodrigues","K1H","Abs","-","-","Finale A"
"Fanny Margot","C1D","145.8","507.44","474.76","Finale B"
"Oriane Guichet","C1D","153.94","465.4","556.4","Finale B"
"Marie Charbonneau","C1D","161.49","465.87","632.13","Finale B"
"Mathias Rodrigues","C1H","115.47","387.79","336.01","Finale B"
"Martin Jouves","C1H","118.38","436.63","369.37","Finale B"
"Arthur Perez","C1H","123.57","491.6","428.86","Finale B"
"Leo Dujourd'hui","C1H","124.14","412.28","435.39","Finale B"
"Leo Vuitton","C1H","125.78","425.08","454.18","Finale B"
"Tom Bouchardon","C1H","127.57","482.21","474.7","Finale B"
"Valentin Courtiade","C1H","129.25","409.26","493.96","Finale B"
"Marc Sarramea","C1H","130.95","520.9","513.44","Finale B"
"Gauthier Beyneix","C1H","132.52","599.51","531.45","Finale B"
"Fabrice Lacoudre","C1H","135.5","505.83","565.61","Finale B"
"Felix Sperandio","C1H","139.66","709.41","613.29","Finale B"
"Cyril Launay","C1H","140.09","682.1","618.21","Finale B"
"Vincent Sophian","C1H","150.72","661.03","740.06","Finale B"
"Sylvain Decombe","C1H","154.76","643.67","786.36","Finale B"
"Mathias Pannetier-NaËl Rajoub","C2H","144.32","674.45","591.51","Finale B"
"Jerome Muller-Franck Le Coz","C2H","153.16","612.18","688.22","Finale B"
"Pierre Dehaudt-Antoine Bouby","C2H","161.29","692.01","777.18","Finale B"
"Marc Sarramea-Elliot Perez","C2H","167.27","757.64","842.61","Finale B"
"Tino Forgues-Vincent Sophian","C2H","173.6","719.72","911.87","Finale B"
"Thibault Alcaras-Ulysse Giel","C2H","218.67","670.89","1404.99","Finale B"
"Perrine Joubert","K1D","131.73","513.98","415.49","Finale B"
"Lea Baldoni","K1D","134.19","497.79","441.69","Finale B"
"Camille Santa Cruz","K1D","135.64","460.03","457.13","Finale B"
"Emmanuelle Monguillet","K1D","136.09","474.83","461.93","Finale B"
"Celine De La Morinerie","K1D","142.14","512.21","526.37","Finale B"
"Oceane Dorval","K1D","142.67","493.1","532.02","Finale B"
"Manon Zago","K1D","149.22","544.21","601.77","Finale B"
"Emma Pardoux","K1D","151.73","550.47","628.5","Finale B"
"Helene Courtel","K1D","152.35","800.74","635.11","Finale B"
"Ismaella Khattou","K1D","167.43","791.14","795.72","Finale B"
"Clemence Zago","K1D","173.18","634.27","856.97","Finale B"
"Adele Guillermin","K1D","184.5","833.02","977.53","Finale B"
"Florentin Saumon","K1H","109.57","335.26","331.18","Finale B"
"Paul Luquet","K1H","113.47","367.15","378.12","Finale B"
"Nour Ait Kaddour","K1H","114.7","445.84","392.92","Finale B"
"Tony Deshayes","K1H","115.22","354.17","399.18","Finale B"
"Carl Rainaud","K1H","115.88","450.81","407.12","Finale B"
"Clement Capillon","K1H","115.99","447.8","408.45","Finale B"
"Benjamin Georges","K1H","116.24","445.4","411.46","Finale B"
"Martin Jouves","K1H","117.9","395.69","431.44","Finale B"
"Jeremy Rouchereau","K1H","118.48","400.82","438.42","Finale B"
"Mattias Poirat","K1H","118.55","448.53","439.26","Finale B"
"Antonin Maystre","K1H","119.69","454.28","452.98","Finale B"
"Yanis Koubaiti","K1H","119.85","420.05","454.9","Finale B"
"Henri Chenu","K1H","121.15","469.35","470.55","Finale B"
"Samuel De Severac","K1H","121.94","475.34","480.06","Finale B"
"Thibault Alcaras","K1H","122.29","469.13","484.27","Finale B"
"Raphael Jean","K1H","122.91","473.85","491.73","Finale B"
"Marc Sarramea","K1H","123.42","478.96","497.87","Finale B"
"Thibault Clerc","K1H","123.51","482.17","498.95","Finale B"
"Axel Forgerit","K1H","123.87","509.28","503.29","Finale B"
"Cyril Launay","K1H","124.09","438.02","505.93","Finale B"
"Julien Brice","K1H","124.46","564.19","510.39","Finale B"
"Elliot Perez","K1H","124.61","418.01","512.19","Finale B"
"Frederic Debons","K1H","124.92","434.04","515.92","Finale B"
"Gael Villar","K1H","125.04","647.46","517.37","Finale B"
"Sylvain Decombe","K1H","125.72","462.07","525.55","Finale B"
"Elian Giondini","K1H","126.15","498.48","530.73","Finale B"
"Guilhem Viguier","K1H","126.76","536.74","538.07","Finale B"
"Baptiste Riviere","K1H","127.26","518.96","544.09","Finale B"
"Felix Sperandio","K1H","127.7","584.61","549.38","Finale B"
"Tom Baillon","K1H","127.74","538.64","549.86","Finale B"
"Timothee Megard","K1H","127.97","484.99","552.63","Finale B"
"Pierre Adrien Plantion","K1H","128.39","501.55","557.69","Finale B"
"Thibault Beneteau","K1H","129.24","489.16","567.92","Finale B"
"Yanis Clerc","K1H","129.37","466.14","569.48","Finale B"
"Franck Le Coz","K1H","130.55","488.93","583.68","Finale B"
"Batiste Dubois","K1H","130.79","467.82","586.57","Finale B"
"Antonin Beyneix","K1H","131.04","563.62","589.58","Finale B"
"Robin Gonthier","K1H","131.3","581.56","592.71","Finale B"
"Jerome Muller","K1H","131.53","421.81","595.48","Finale B"
"Noah Dufenieux","K1H","132","652.41","601.14","Finale B"
"Alexandre Dubrous","K1H","132.21","601.24","603.66","Finale B"
"Bruno Beneteau","K1H","134.05","595.2","625.81","Finale B"
"Thilbault Rucher","K1H","134.34","568.56","629.3","Finale B"
"GrÉgory Navail","K1H","135.36","574.3","641.57","Finale B"
"Simon Metra","K1H","135.62","497.15","644.7","Finale B"
"Renaud Clerc","K1H","136.81","759.49","659.03","Finale B"
"Alois Bertrand","K1H","139.11","441.37","686.71","Finale B"
"Matisse Bourreau","K1H","139.71","551.29","693.93","Finale B"
"Jean Luc Pessoni","K1H","140.96","655.46","708.97","Finale B"
"Anthony Penaud","K1H","141.63","698.3","717.04","Finale B"
"Thierry Le Bonniec","K1H","147.2","675.87","784.07","Finale B"
"Luc Monpouillan","K1H","155.33","810.55","881.92","Finale B"
