"Sélectif régional slalom St Pierre - St Pierre De Boeuf - 2007-10-06","Course 1","2007-10-06","Régional","220"
"Nicolas Abbal","K1H","217.10","140","143",""
"Thomas Monier","K1H","218.25","-","149",""
"Jerome Olhagaray","K1H","218.33","108","149",""
"Jeremy Vibert","K1H","218.77","141","151",""
"Bertrand Bercon","K1H","219.68","134","156",""
"Kevin Schultz","K1H","219.88","161","157",""
"Bastien Salame","K1H","220.66","154","161",""
"Olivier Blanc","K1H","221.68","138","167",""
"Laurent Brissaud","K1H","221.86","-","168",""
"Hafiz Ali Hassan","K1H","222.49","143","171",""
"Jeremy Wagner","K1H","222.88","134","173",""
"Maxime Faivre","K1H","223.63","187","177",""
"Yann Neime","K1H","224.74","-","183",""
"Quentin Burgi","K1H","226.19","150","191",""
"Julien Tous","K1H","226.27","67","192",""
"Pascal Ferry","K1H","226.83","153","194",""
"Alexis Caspar","K1H","227.74","108","199",""
"Paul Graton","K1H","227.97","220","200",""
"Jules Domine","K1H","228.82","218","205",""
"Martin Dougoud","K1H","229.33","187","207",""
"Boris Doye","K1H","229.73","175","209",""
"Anthony Colin","K1H","230.40","-","214",""
"Sebastien Lepaulard","K1H","230.77","174","216",""
"Mathieu Cataldo","K1H","232.38","195","224",""
"Voindrot Quentin","K1H","233.09","242","227",""
"Jeremiah Mosch","K1H","233.68","232","230",""
"Olivier Hardonniere","K1H","235.19","-","239",""
"Guillaume Jacobe","K1H","237.32","197","250",""
"Thibault Gibert","K1H","238.40","-","255",""
"Boris Lutinier","K1H","239.58","222","262",""
"Antoine Vinay","K1H","240.73","256","268",""
"Bertrand Lamy","K1H","241.03","-","270",""
"Jose Pereira","K1H","241.18","226","271",""
"Gael Wassmer","K1H","241.42","320","272",""
"Pascal Hunault","K1H","241.51","280","272",""
"Romain Musy","K1H","242.19","275","276",""
"Loic Jeanningros","K1H","242.23","219","276",""
"Sylvain Gaude","K1H","242.60","248","278",""
"Antoine Lhermite","K1H","242.62","252","278",""
"Sylvain Dandel","K1H","244.75","315","290",""
"Nicolas Burgi","K1H","245.00","175","291",""
"Victor Doux","K1H","245.79","306","295",""
"Pierrick Gaudin","K1H","246.97","306","301",""
"Anthony Deschamps","K1H","247.83","263","307",""
"Hugues Lesimple","K1H","248.29","262","309",""
"Tisseur Nicaise Florent","K1H","249.81","-","317",""
"Thibault Gache","K1H","251.51","245","325",""
"Alain Ferry","K1H","251.84","279","327",""
"Nicolas Pinot","K1H","254.88","310","344",""
"Lorrie Delattre","K1H","255.38","323","346",""
"Maxime Lambert","K1H","255.93","397","349",""
"Cedric Mace","K1H","256.40","212","351",""
"Mickael Cordier","K1H","256.72","-","354",""
"Sylvain Ferry","K1H","257.52","334","358",""
"Etienne Daille","K1H","259.15","30","366",""
"Yanis Burdet","K1H","261.06","345","376",""
"Dimitri Durannot","K1H","261.19","367","378",""
"Boris Chenal","K1H","262.34","243","384",""
"Jeremy Viquesnel","K1H","262.35","-","384",""
"Tom Bar","K1H","262.40","-","384",""
"Armand Rakowski","K1H","262.49","-","384",""
"Thomas Dandel","K1H","262.94","322","387",""
"Oleon Jeancharles","K1H","262.99","311","387",""
"Ludovic Smal","K1H","263.24","436","388",""
"Theo Moquet","K1H","266.79","-","407",""
"Jonas Le Morvan","K1H","268.31","-","415",""
"Tom Jackson","K1H","268.34","386","415",""
"Sylvain Viallon","K1H","268.71","399","417",""
"Cyril Gisbert","K1H","269.01","406","419",""
"Cnapelynck Aurélien","K1H","271.01","-","430",""
"Thomas Lacroix","K1H","273.11","-","441",""
"Vial-Grelier Aymeric","K1H","273.37","416","442",""
"Esnault Philippe","K1H","274.02","-","445",""
"Etienne Sahuguet","K1H","274.67","412","450",""
"Corentin Metral","K1H","275.43","377","453",""
"Sebastien Thevard","K1H","275.94","-","456",""
"Lutinier Ugo","K1H","276.71","326","460",""
"Bonnet Xavier","K1H","276.78","-","460",""
"Bessiere Florian","K1H","276.82","330","460",""
"Rech Thomas","K1H","276.88","-","461",""
"Etienne Favre","K1H","276.92","-","461",""
"Thomas Genet","K1H","276.95","736","461",""
"Clement Rota","K1H","277.25","596","463",""
"Kevin Gix","K1H","279.53","-","475",""
"Marc Janeriat","K1H","281.74","-","487",""
"Kevin Deschamps","K1H","281.87","-","487",""
"Marc Cailhol","K1H","282.13","405","489",""
"Alexandre Bordas","K1H","282.21","466","489",""
"Munschina Vincent","K1H","282.36","387","490",""
"Thomas Neime","K1H","282.44","613","490",""
"Remi Baudot","K1H","283.18","196","494",""
"Olivier Bourgey","K1H","283.29","197","495",""
"Hugues Peyret","K1H","284.94","-","504",""
"Olivier Bret","K1H","285.17","430","505",""
"Luc Doye","K1H","287.10","198","515",""
"Morel Luc","K1H","287.16","430","515",""
"Pierre Dalibard","K1H","290.13","-","531",""
"Loick Aupee","K1H","295.63","-","560",""
"Robin Dupras","K1H","295.94","-","562",""
"Adrien Tamas","K1H","296.25","453","564",""
"Lois Desroches","K1H","296.68","210","566",""
"Adrien Kaiser","K1H","299.70","668","582",""
"Adrien Quillet","K1H","300.69","439","587",""
"Charriere Jordan","K1H","300.83","-","588",""
"Camille Balsac","K1H","301.59","486","592",""
"Vernet Adrien","K1H","302.06","-","595",""
"Baptiste Smagghe","K1H","304.82","572","609",""
"Koechlin Thomas","K1H","305.89","454","615",""
"Yann Maignant","K1H","308.65","712","630",""
"Neveu Remi","K1H","308.70","620","630",""
"Zaki Yassine","K1H","311.13","-","644",""
"Damien Chammings","K1H","312.25","386","649",""
"Camille Sahuc","K1H","313.25","343","654",""
"Pierrick Bonnefoy","K1H","314.91","-","663",""
"Adrien Tappero","K1H","315.18","370","664",""
"Pierre Alexandre Facon","K1H","316.27","-","671",""
"Florent Lagorio","K1H","317.13","-","675",""
"Foultier Damien","K1H","317.39","548","677",""
"Clement Rombi","K1H","319.54","-","687",""
"Yann Gudefin","K1H","320.01","62","691",""
"Florent Bret","K1H","320.17","576","692",""
"Youcef Bahlat","K1H","326.22","318","724",""
"Lois Guillermond","K1H","326.97","-","727",""
"Ferraud Damien","K1H","328.48","842","735",""
"Dominique Kremer","K1H","337.05","580","781",""
"Loubere Kevin","K1H","338.88","-","791",""
"Colas Geier","K1H","347.28","809","836",""
"Olivier Kremer","K1H","349.01","777","845",""
"Lucas Boissy","K1H","366.50","-","938",""
"Giraudon-Villefranch Joan","K1H","370.71","-","961",""
"Donzel Leo","K1H","373.42","-","974",""
"Cayrier Alexis","K1H","375.23","-","985",""
"Thomann Gabin","K1H","381.73","-","1019",""
"Baptiste Provost","K1H","402.57","269","1130",""
"Maxime Berthuit","K1H","411.47","-","1178",""
"Sebastien Disdier","K1H","441.21","1664","1335",""
"David Dih","K1H","450.26","844","1383",""
"Reynaud Jean Baptiste","K1H","457.91","-","1425",""
"Florent Ferro","K1H","482.64","-","1557",""
"Thierry Gaudin","K1H","527.43","-","1795",""
"Just Benjamin","K1H","638.35","-","2385",""
