"Sélectif régional - Fontaine De Vaucluse - 2009-01-24","Course 1","2009-01-24","Régional","228"
"Julie Wassmer","K1D","279.22","369","521",""
"Alice Janecek","K1D","289.95","381","578",""
"Coralie Yebenes","K1D","294.21","218","600",""
"Ninon Couturier","K1D","301.07","364","636",""
"Aurelie Divoux","K1D","301.07","288","636",""
"Tiphanie Borlet","K1D","312.40","251","696",""
"Barbara Gibert","K1D","314.11","186","705",""
"Melanie Roger","K1D","338.32","648","831",""
"Candice Lauretta","K1D","375.13","352","1025",""
"Amelie Lagorio","K1D","396.75","247","1139",""
"Alice Cailhol","K1D","407.89","266","1197",""
"Amandine Massot","K1D","436.16","1006","1345",""
"Claire Michelet","K1D","453.68","734","1438",""
"Annie Ughetto","K1D","519.92","685","1785",""
"Marjolaine Egraz","K1D","581.97","1554","2112",""
"Sanae Mouhidi","K1D","584.43","555","2124",""
"Lolita Ferland","K1D","587.93","745","2143",""
"Valerie Ferrier","K1D","818.95","1421","3356",""
"Maeva Carlotti","K1D","Nt","-","-",""
"Lucile Rossignol","K1D","Nt","-","-",""
"Marie Troyano","K1D","Abd","-","-",""
"Christine Thivenin","K1D","Nt","-","-",""
"Lena Baux","K1D","Nt","-","-",""
"Moritz Luscher","K1H","170.37","-","66",""
"Hugo Hager","K1H","172.22","24","77",""
"Nicolas Abbal","K1H","174.14","87","89",""
"Jeremy Wagner","K1H","176.98","117","105",""
"Romain Chabrol","K1H","177.71","109","110",""
"Andy Pajani","K1H","179.64","83","121",""
"Paul Graton","K1H","180.78","130","128",""
"Guillaume Provost","K1H","182.42","-","137",""
"Jimy Bercon","K1H","183.74","67","145",""
"Sylvain Dandel","K1H","187.98","189","170",""
"Florian Ordonneau","K1H","188.87","132","176",""
"Remi Baudot","K1H","189.97","119","182",""
"Pascal Ferry","K1H","191.55","140","192",""
"Thomas Dandel","K1H","193.17","230","202",""
"Yann Neime","K1H","193.27","-","202",""
"Hugues Lesimple","K1H","194.58","260","209",""
"Matthieu Basset","K1H","194.93","223","211",""
"Ludovic Pinchon","K1H","195.26","256","213",""
"Yannick Besse","K1H","195.41","167","214",""
"Thibault Gache","K1H","196.20","223","219",""
"Thomas Michel","K1H","196.59","247","222",""
"Luc Doye","K1H","197.97","145","230",""
"Sylvain Viallon","K1H","198.00","259","230",""
"Dimitri Durannot","K1H","199.22","254","238",""
"George Meysner","K1H","199.66","213","240",""
"Gilles Flores","K1H","200.02","523","242",""
"Tobias Olla","K1H","200.20","419","244",""
"Bertrand Lamy","K1H","200.27","404","244",""
"Boris Chenal","K1H","200.43","173","245",""
"Sylvain Follenfant","K1H","200.45","-","245",""
"Lois Desroches","K1H","200.72","170","246",""
"Nicolas Durand","K1H","200.90","-","247",""
"Jean Francois Bry","K1H","204.11","224","266",""
"Benjamin Wagner","K1H","205.83","323","277",""
"Camille Sahuc","K1H","206.31","355","280",""
"Alain Ferry","K1H","206.62","312","282",""
"Fabrice Madier","K1H","207.07","-","284",""
"Pierre Moreau","K1H","208.80","273","294",""
"Thomas Neime","K1H","209.82","268","300",""
"Thibault Gibert","K1H","210.46","178","304",""
"Romain Musy","K1H","210.58","209","305",""
"Marc Laborde","K1H","211.31","190","309",""
"Yann Marquer","K1H","212.04","-","314",""
"Adrien Tappero","K1H","212.43","289","316",""
"Thibault Le Henaff","K1H","214.23","332","326",""
"Sylvain Gaude","K1H","214.41","282","327",""
"Renaud Metereau","K1H","214.83","-","330",""
"Theo Moquet","K1H","215.64","295","335",""
"Alexis Lozachmeur","K1H","215.92","306","336",""
"Maxime Le Henaff","K1H","216.58","313","340",""
"Tom Jackson","K1H","219.71","390","359",""
"Martin Daviet","K1H","220.08","483","362",""
"Jonas Le Morvan","K1H","220.76","249","365",""
"Guillaume Pit","K1H","221.49","329","369",""
"Armand Rakowski","K1H","224.96","272","390",""
"Florian Fillon","K1H","226.53","-","400",""
"Pierre-adrien Vignal","K1H","226.79","376","401",""
"Edouard Grosjean","K1H","228.00","379","408",""
"Jeanluc Nitard","K1H","228.84","-","413",""
"Florent Lagorio","K1H","230.17","346","421",""
"Laurent Fieschi","K1H","231.45","338","429",""
"Yoann Mourier","K1H","232.50","536","435",""
"Benjamin Rat","K1H","235.70","-","454",""
"Laurent Starck","K1H","237.51","402","465",""
"Boris Doye","K1H","238.82","169","473",""
"Alexandre Bordas","K1H","238.97","297","473",""
"Olivier Hardonniere","K1H","242.72","-","495",""
"Ludovic Smal","K1H","244.51","354","506",""
"Fernando Denninger","K1H","245.15","220","510",""
"Quentin Duhamel","K1H","245.42","827","512",""
"Adrien Tamas","K1H","246.19","347","516",""
"Romain Delachenal","K1H","246.68","-","518",""
"Bruno Martins","K1H","248.80","-","531",""
"Frederic Blanrue","K1H","255.67","326","572",""
"Elie Pauget","K1H","256.13","459","575",""
"Frederic Bordier","K1H","256.15","483","575",""
"Antoine Lhermite","K1H","256.63","190","578",""
"Sylvain Ferry","K1H","259.71","272","596",""
"Quentin Ducrot","K1H","262.30","-","611",""
"Colas Geier","K1H","262.57","407","613",""
"Martin Moreau","K1H","265.67","-","632",""
"Marc Cailhol","K1H","270.75","417","662",""
"Clement Rombi","K1H","271.93","382","669",""
"Lois Guillermond","K1H","278.04","278","705",""
"Valentin Pahon","K1H","279.50","280","713",""
"Anthony Colin","K1H","279.79","240","715",""
"Guillaume Wyart","K1H","280.64","-","720",""
"Farouk Imacht","K1H","305.14","927","866",""
"Mickael Pra","K1H","305.82","-","869",""
"Lionel Blank","K1H","306.11","277","871",""
"Alexandre Montabonnet","K1H","314.77","544","923",""
"Matthias Meyer","K1H","320.65","434","958",""
"William Gettliffe","K1H","325.89","808","989",""
"Adrien Quillet","K1H","331.51","317","1023",""
"Jolan Konig","K1H","334.78","449","1042",""
"Thomas Burnoud","K1H","350.57","-","1136",""
"Fabrice Magueur","K1H","352.23","494","1145",""
"Maxime Berthuit","K1H","358.64","852","1183",""
"Tiefaine Olry","K1H","361.01","-","1197",""
"Paul Mabille","K1H","369.15","-","1246",""
"Luc Formet","K1H","372.52","440","1265",""
"Paul De Salve De Bruneton","K1H","373.48","-","1271",""
"Baptiste Provost","K1H","373.83","308","1273",""
"Remi Vallin","K1H","373.97","446","1274",""
"Thomas Rollot","K1H","379.48","-","1307",""
"Marc Le Morvan","K1H","384.30","796","1336",""
"Maxime Blanc","K1H","386.41","1057","1348",""
"Guillaume Gonzalez","K1H","387.11","781","1352",""
"Florian Guillebeaud","K1H","400.50","-","1432",""
"Adrien Baron","K1H","403.65","-","1451",""
"Joachim Cherarac","K1H","406.03","-","1464",""
"Cyril Blanc","K1H","408.72","755","1481",""
"Tanguy Pineau","K1H","411.33","-","1496",""
"Baptiste Mignot","K1H","485.45","563","1936",""
"John Leger","K1H","530.80","-","2205",""
"Damien Oudjedi","K1H","541.72","-","2270",""
"Dariuch Bodin","K1H","547.78","1099","2306",""
"Mathieu Lions","K1H","586.04","1500","2533",""
"Nicolas Munoz","K1H","607.58","-","2661",""
"Jonathan Lavigne","K1H","622.46","-","2749",""
"Christophe Flores","K1H","626.97","824","2776",""
"Alexis Reigne","K1H","806.31","730","3840",""
"Dorian Bouvier","K1H","Nt","-","-",""
"Nicolas Fuento","K1H","Nt","-","-",""
"Theo Andrieu","K1H","Nt","-","-",""
"Nicolas Berthe","K1H","Nt","-","-",""
"Antoine Ristaino","K1H","Nt","-","-",""
"Remy Beule Dauzat","K1H","Nt","-","-",""
"Quentin Raissac","K1H","Nt","-","-",""
"Cedric Cordone","K1H","Nt","-","-",""
"Sebastien Disdier","K1H","Nt","-","-",""
"Maxime Lefebvre","K1H","Nt","-","-",""
"Ronan Lecouturier","K1H","Nt","-","-",""
"Fabrice Roy","K1H","Nt","-","-",""
"Stephane Simonpietri","K1H","Nt","-","-",""
"Florian Fargier","K1H","Nt","-","-",""
"Morgan Forget","K1H","Nt","-","-",""
"Simon Dosiere","K1H","Nt","-","-",""
"Baptiste Tappero","K1H","Nt","-","-",""
"Benoit Fer","K1H","Nt","-","-",""
"Samuel Hernanz","K1H","Nt","-","-",""
