"Slalom d'automne - Stade D'eau Vive Du Rebech - Qualification - 2015-10-25","Qualification","2015-10-25","Régional","257"
"Tom Deconchy","K1H","105.16","208.88","301.01",""
"Clement Guiraud","K1H","105.92","306.71","309.99",""
"Natan Brule","K1H","106.11","425.39","312.23",""
"Pierrealain Clerc","K1H","106.2","303.89","313.29",""
"Maxime Garcia","K1H","106.49","297.58","316.72",""
"Robin Vandenbossche","K1H","106.86","211.75","321.09",""
"Dimitri Thauvin","K1H","107.94","350.62","333.84",""
"Quentin Clerc","K1H","108.35","262.96","338.68",""
"Theau Le Loch","K1H","108.55","296.86","341.04",""
"Ugo Rolland","K1H","108.69","-","342.7",""
"Theo Roisin","K1H","108.9","-","345.17",""
"Christophe Prigent","K1H","109.01","371.46","346.47",""
"Maxime Foucault","K1H","109.2","255.98","348.72",""
"Aymeric Maynadier","K1H","109.21","-","348.84",""
"Olivier Cail","K1H","109.34","240.29","350.37",""
"Clement Bosc","K1H","110.51","320.97","364.19",""
"Olivier Bachelot","K1H","111.9","422.8","380.6",""
"Antoine Laye","K1H","112.08","322.04","382.73",""
"Mikael Clanchin","K1H","112.25","396.34","384.73",""
"Patrick Clerc","K1H","112.78","411.67","390.99",""
"Nayl Tazi-sidqui","K1H","112.87","393.04","392.05",""
"Gregoire Pouille","K1H","112.99","298.05","393.47",""
"Remi Parayre","K1H","113.78","331.31","402.8",""
"Marc Cordier","K1H","113.87","334.27","403.86",""
"Lucien Goulet","K1H","113.89","365.37","404.1",""
"Julien Delaleux","K1H","114.99","312.37","417.09",""
"Clement Caillard","K1H","115.24","391.57","420.04",""
"Komlangan Gassou","K1H","115.69","426.51","425.35",""
"Theo Ducasse","K1H","115.71","388.51","425.59",""
"Karl Bouthegourd","K1H","116.16","413.69","430.9",""
"Julien Guyomard","K1H","117.54","-","447.2",""
"Valentin Affortit","K1H","120.63","520.81","483.69",""
"Remi Dramard","K1H","120.9","-","486.87",""
"Nicolas Saurat","K1H","123.25","458.66","514.62",""
"Guillaume Viguier","K1H","123.53","440.11","517.93",""
"Franck Le Coz","K1H","124.48","491.68","529.15",""
"Marc Cailhol","K1H","125.36","472.5","539.54",""
"Eric Vidou","K1H","125.4","402.7","540.01",""
"Hugo Nerisson","K1H","125.78","782.77","544.5",""
"Nathan Pavot","K1H","126.62","459.47","554.42",""
"Louis Foissac","K1H","128.76","388.62","579.69",""
"Loic Thibaut","K1H","133.8","389.68","639.2",""
"Marceau Hugues","K1H","134.1","615.94","642.74",""
"Robin Plancade","K1H","135.26","593.97","656.44",""
"Yann Tabone","K1H","137.06","402.86","677.7",""
"Jeremy Mallo","K1H","137.33","577.75","680.88",""
"Pierrick Sure","K1H","138.71","-","697.18",""
"Thiefaine Verge","K1H","139.8","533.93","710.05",""
"Hugo Avril","K1H","141.41","575.88","729.06",""
"Damien Caillard","K1H","141.44","563.67","729.42",""
"Guillaume Graille","K1H","142.22","76.61","738.63",""
"Nathaniel Levy","K1H","146.72","520.7","791.76",""
"Luc Sarramea","K1H","158.51","328.24","930.98",""
"Vincent Ardonceau","K1H","161.95","343.47","971.6",""
"Jacques Roisin","K1H","171.14","350.23","1080.12",""
"Loup Fauries","K1H","172.06","439.06","1090.98",""
"Gilles Tricard","K1H","176.17","-","1139.52",""
"Jerome Muller","K1H","178.25","402.57","1164.08",""
"Quentin Laplace","K1H","182.4","769.09","1213.08",""
"Alexandre Dubrous","K1H","201.52","660.42","1438.86",""
"Elzear Felician","K1H","225","571.17","1716.11",""
"Daniel Lafitte","K1H","234.33","-","1826.29",""
"Bertrand Cazaux","K1H","239.45","-","1886.74",""
"Maurice Pubert","K1H","247.73","760.25","1984.52",""
"Nicolas Chassaing","K1H","290.88","-","2494.04",""
"Anton Gille","K1H","297.4","554.39","2571.03",""
"Bastien Cothenet","K1H","391.39","-","3680.89",""
"Alexandre Florent","K1H","419.9","-","4017.55",""
"Hugues Lesimple","K1H","Abs","-","-",""
"Bastien Daniel","K1H","Nt","-","-",""
"Thomas Rosset","K1H","Abs","-","-",""
"Kenae Brassier","K1H","Abs","-","-",""
"Franck Vanhoutteghem","K1H","Des","-","-",""
"Valerie Duberger","K1H","Nt","-","-",""
"Jeremy Lagrange","K1H","Nt","-","-",""
"Anatole Delassus","K1HM","106.44","315.32","316.13",""
"Leo Vuitton","K1HM","109","441.05","346.36",""
"Adrien Mesmoudi","K1HM","110.06","-","-",""
"Tom Bouchardon","K1HM","110.21","-","-",""
"Gael Adisson","K1HM","110.55","341.81","364.66",""
"Tom Zanfini","K1HM","115.05","-","417.8",""
"Valentin Courtiade","K1HM","116.19","364.96","431.26",""
"Yanis Clerc","K1HM","120","581.21","476.25",""
"Thibault Clerc","K1HM","122.7","515.99","508.13",""
"Alexandre Goujon","K1HM","123.55","515.56","518.17",""
"Martin Jouves","K1HM","125.61","-","542.49",""
"Maxime Kabir","K1HM","126.01","-","547.21",""
"Jeremie Palazy","K1HM","127.7","-","567.17",""
"Baptiste Riviere","K1HM","127.98","-","570.48",""
"Marc Sarramea","K1HM","128.05","842.88","571.3",""
"Kilian Cottet","K1HM","128.33","-","-",""
"Tomy Dandonneau","K1HM","131.11","-","-",""
"Antonin Maystre","K1HM","132.11","585.89","619.24",""
"Tino Forgues","K1HM","132.29","543.34","621.37",""
"Simon Metra","K1HM","132.65","-","625.62",""
"Aymeric Rivier","K1HM","138.84","780.49","698.71",""
"Samuel Taillefer","K1HM","138.84","953.65","698.71",""
"Guilhem Viguier","K1HM","163.84","608","993.92",""
"Nour Ait Kaddour","K1HM","166.1","-","1020.61",""
"Arthur Cousty","K1HM","175.65","-","1133.38",""
"Gedeon Cothias-faure","K1HM","183.82","-","-",""
"Axel Poletto","K1HM","193.4","-","-",""
"Felix Sperandio","K1HM","204.37","-","1472.51",""
"Angus Cruickshank","K1HM","258.73","-","-",""
"Jean Cougul","K1HM","295.35","-","2546.83",""
"Maxime Reubrez","K1HM","299.63","-","-",""
"Julien Coric","K1HM","319.19","-","-",""
"Tom Gonzales","K1HM","329.46","907.47","2949.61",""
"Renaud Clerc","K1HM","Des","-","-",""
