"Sélectif Régional - Vinon sur Verdon - 2009-11-22","Course 1","2009-11-22","Régional","175"
"Thomas Schmitt-Yann Rivallant","C2H","160.56","436","480",""
"Jeanluc Nitard-Benoit Arribat","C2H","169.03","-","558",""
"Camille Sahuc-Paul Graton","C2H","177.89","283","641",""
"Yoann Mourier-Alexis Cordier","C2H","180.06","-","662",""
"Adrien Tamas-Sylvain Viallon","C2H","184.41","-","701",""
"Tom Vernet-Teo Gomez","C2H","191.77","-","770",""
"Selim Sebti-Dylan Fortune","C2H","219.46","-","1028",""
"Guillaume Pit-Jorys Plissot","C2H","229.18","-","1117",""
"Olivier Blanc-Julie Labarelle","C2M","152.92","295","312",""
"Mathias Merle-Claire Landrin","C2M","156.91","-","347",""
"Annie Ughetto-Pierre Demateis","C2M","190.13","-","635",""
"Pierre Moreau-Camille Salgues","C2M","223.26","440","922",""
"Laure Udari","K1D","126.01","77","128",""
"Annaelle Meheut","K1D","127.54","127","142",""
"Jade Vassallo","K1D","132.92","144","191",""
"Elise Escourrou","K1D","133.29","78","194",""
"Julie Labarelle","K1D","133.70","107","197",""
"Marion Delorme","K1D","135.23","170","211",""
"Aurelie Divoux","K1D","138.59","257","242",""
"Barbara Gibert","K1D","139.36","166","249",""
"Clementine Geoffray","K1D","139.62","198","251",""
"Candice Lauretta","K1D","142.17","285","274",""
"Alice Janecek","K1D","142.38","296","276",""
"Camille Salgues","K1D","142.43","286","276",""
"Coralie Yebenes","K1D","143.65","179","287",""
"Julie Neime","K1D","145.55","174","304",""
"Claire Michelet","K1D","160.94","464","444",""
"Marie Troyano","K1D","166.29","510","492",""
"Caroline Incardona","K1D","168.37","458","511",""
"Annie Ughetto","K1D","175.49","547","575",""
"Virginie Soulie","K1D","198.42","731","783",""
"Lolita Ferland","K1D","206.65","872","858",""
"Orlane Anselmoz","K1D","272.28","-","1451",""
"Alexia Mannent","K1D","301.83","-","1719",""
"Julie Roux","K1D","Nt","-","-",""
"Thibault Gibert","K1H","111.65","112","129",""
"Yann Neime","K1H","112.09","118","133",""
"Romain Chabrol","K1H","112.83","86","142",""
"Boris Chenal","K1H","112.95","122","143",""
"Paul Graton","K1H","113.01","121","143",""
"Thibaud Lacour","K1H","113.15","90","145",""
"Luc Doye","K1H","114.62","119","159",""
"Kevin Schultz","K1H","114.97","126","163",""
"Olivier Blanc","K1H","115.96","179","173",""
"Yannick Besse","K1H","115.98","163","174",""
"Hafiz Ali Hassan","K1H","116.51","114","179",""
"Pierre Labarelle","K1H","116.77","200","181",""
"Jeremy Wagner","K1H","117.75","101","192",""
"Christophe Bernhardt","K1H","119.14","-","206",""
"Maxime Le Henaff","K1H","119.27","245","207",""
"Alexis Lozachmeur","K1H","119.37","215","208",""
"Boris Doye","K1H","119.55","140","210",""
"Romain Richard","K1H","119.62","147","210",""
"Baptiste Tappero","K1H","120.49","228","220",""
"Julien Riffaud","K1H","121.08","187","226",""
"Valentin Pahon","K1H","121.29","217","228",""
"Sylvain Gaude","K1H","121.81","213","233",""
"Sylvain Viallon","K1H","122.19","175","236",""
"Hugues Lesimple","K1H","122.25","173","237",""
"Thomas Sicre","K1H","122.96","-","245",""
"Sebastien De Kerleau","K1H","123.28","147","248",""
"Remi Wolf","K1H","123.54","166","251",""
"Jonas Le Morvan","K1H","123.89","219","254",""
"Martin Daviet","K1H","124.05","195","256",""
"Francois Hemidy","K1H","124.34","-","259",""
"Edouard Grosjean","K1H","124.41","235","259",""
"Jean Saez","K1H","125.57","350","272",""
"Thomas Schmitt","K1H","125.67","244","273",""
"Pierre-adrien Vignal","K1H","125.91","311","275",""
"Fabrice Olive","K1H","126.14","-","277",""
"Adrien Tappero","K1H","126.62","281","282",""
"Ludovic Pinchon","K1H","127.10","242","287",""
"Camille Sahuc","K1H","127.43","306","291",""
"Dimitri Durannot","K1H","128.46","234","301",""
"Arthur Feraud","K1H","129.52","-","311",""
"Guillaume Pit","K1H","130.04","295","317",""
"Quentin Raissac","K1H","130.90","1485","326",""
"Florent Lagorio","K1H","131.04","245","327",""
"Xavier Gensse","K1H","132.15","-","339",""
"Bruno Martins","K1H","133.37","399","351",""
"Adrien Tamas","K1H","133.37","281","351",""
"Yoann Mourier","K1H","134.00","283","357",""
"Ludovic Smal","K1H","134.56","296","364",""
"Jorys Plissot","K1H","135.20","401","370",""
"Jeanluc Nitard","K1H","135.30","-","371",""
"Pierre Demateis","K1H","135.56","-","374",""
"Quentin Duhamel","K1H","137.69","392","395",""
"Alexis Cordier","K1H","142.79","470","448",""
"Alexis Reigne","K1H","143.75","445","457",""
"Mathieu Lions","K1H","143.77","564","457",""
"Pierre Moreau","K1H","144.85","275","469",""
"Aurelien Fualdes","K1H","145.16","1121","472",""
"Pablo Niro","K1H","145.29","-","473",""
"Ronan Cordier","K1H","145.36","446","474",""
"Quentin Ducrot","K1H","145.73","404","477",""
"Bernard Delorme","K1H","148.12","366","502",""
"Vincent Pitarch","K1H","148.36","535","504",""
"Olivier Kremer","K1H","149.01","545","512",""
"Jolan Konig","K1H","149.50","352","516",""
"Henrique Almeida","K1H","149.65","-","518",""
"Paul De Salve De Bruneton","K1H","150.60","491","527",""
"Maxime Berthuit","K1H","150.80","866","529",""
"Ange Paul Micaelli","K1H","151.50","-","537",""
"Sebastien Disdier","K1H","154.02","628","563",""
"Florian Guillebeaud","K1H","155.70","1086","579",""
"Fabian Crequi","K1H","157.90","-","602",""
"Florian Bourdon","K1H","158.34","-","606",""
"Nicolas Berthe","K1H","159.50","-","618",""
"Dariuch Bodin","K1H","159.56","654","619",""
"Nabil Maa","K1H","159.90","-","622",""
"Cedric Cordone","K1H","160.03","596","624",""
"Sylvain Runel-paulhan","K1H","160.18","649","625",""
"Marc Le Morvan","K1H","161.63","548","640",""
"Gauthier Vanden  Abeele","K1H","163.25","679","656",""
"Jean Marc Bleirad","K1H","166.56","-","691",""
"Alex Leclerot","K1H","167.88","-","704",""
"Benjamin Lallement","K1H","168.10","-","706",""
"Yann Le Guennou","K1H","171.28","-","739",""
"Nicolas Jazat","K1H","171.38","-","740",""
"Remy Beule Dauzat","K1H","174.58","-","772",""
"Alexandre Rozand","K1H","177.84","-","806",""
"Dylan Fortune","K1H","180.89","787","837",""
"Manuel Campo","K1H","185.48","-","884",""
"Stephane Simonpietri","K1H","203.44","507","1067",""
"Stanislas Laugt","K1H","204.33","-","1077",""
"Fabien Laquerriere","K1H","216.53","-","1202",""
"Thomas Lebreton","K1H","246.68","-","1509",""
"Selim Sebti","K1H","270.54","-","1753",""
"Philippe Lions","K1H","309.76","-","2154",""
"Sebastien Lepaulard","K1H","Nt","-","-",""
"Simon Dosiere","K1H","Nt","-","-",""
"John Leger","K1H","Nt","-","-",""
