"Challenge Régional - Angoulême - 2013-06-01","Course 1","2013-06-01","Régional","155"
"Pierre Giudicelli","K1H","111.39","157.42","289.45",""
"James Duvernoy","K1H","111.4","74.08","289.57",""
"Antoine Delcourt","K1H","111.8","222.75","294.64",""
"Arthur Huet","K1H","112.53","161.72","303.88",""
"Olivier Nonnet","K1H","114.23","141.65","325.41",""
"Valentin Cesbron","K1H","114.66","-","330.86",""
"Nathan Hossin","K1H","114.68","189.72","331.11",""
"Tom Hibberd","K1H","115.05","203.52","335.79",""
"Hugo Le Goff","K1H","115.63","155.36","343.15",""
"Clement Praille","K1H","116.11","226.32","349.23",""
"Maxime Barrault","K1H","116.15","227.06","349.72",""
"Sylvain Le Dantec","K1H","116.59","256.07","355.3",""
"Tom Le Goff","K1H","116.8","231.26","357.96",""
"Romain Trotin","K1H","117.23","239.81","363.4",""
"Theo Desvignes","K1H","117.7","249.74","369.36",""
"Kevin Marquais","K1H","118","-","373.16",""
"Jerome Blanchet","K1H","118.47","253.54","379.11",""
"Nicolas Thomas","K1H","119.98","208.29","398.24",""
"Gaetan Drouin","K1H","120.19","139.13","400.89",""
"Carl Rainaud","K1H","122.01","-","423.94",""
"Marc Doreau","K1H","122.08","564.52","424.82",""
"Emmanuel Delahaie","K1H","122.27","383.54","427.24",""
"Brice Guintard","K1H","122.97","324.66","436.1",""
"Arthur Traquet","K1H","123.1","224.34","437.74",""
"Valentin Soullard","K1H","123.46","-","442.3",""
"Josquin Dubois","K1H","124.42","315.92","454.46",""
"Cyril Launay","K1H","124.48","271.63","455.23",""
"Axel Delage","K1H","124.98","337.59","461.55",""
"Thomas Le Gall","K1H","125.65","341.95","470.04",""
"Dylan Sourbe","K1H","125.88","354.22","472.95",""
"Romain Poirier","K1H","130.55","455.68","532.1",""
"Wilfried Truffy","K1H","131.73","411.55","547.04",""
"Daniel Bregazzi","K1H","133.59","421.49","570.59",""
"Thomas Chagnaud","K1H","137.73","-","623.02",""
"Alexandre Grosset","K1H","138.71","-","635.43",""
"Pierre Dexet","K1H","144.76","1053.45","712.05",""
"Antoine Moreau","K1H","146.76","-","737.38",""
"Olivier Bourdet","K1H","151.36","-","795.64",""
"Samuel Breton","K1H","151.82","538.18","801.46",""
"Thierry Le Bonniec","K1H","156.39","617.98","859.34",""
"Thomas Young","K1H","159.76","-","902.02",""
"Corentin Moriniaux","K1H","165.57","159.68","975.6",""
"Gijs Zoetbrood","K1H","172.01","218.2","1057.16",""
"Timothee Megard","K1H","175.07","-","1095.91",""
"Paul Quernez","K1H","176","-","1107.69",""
"Antoine Fourgeaud","K1H","181.85","304.57","1181.77",""
"Raphael Jean","K1H","195.83","-","1358.82",""
"Liam Davis","K1H","196.44","-","1366.55",""
"Leo Aranda","K1H","199.51","-","1405.43",""
"Marius Delvaux","K1H","221.02","-","1677.83",""
"Anthony Bernard","K1H","259.38","-","2163.64",""
"Loick Dubois","K1H","340.52","-","3191.23",""
"Basile Pierre Eugene","K1H","Nt","-","-",""
"Nathan Rene Corail","K1H","Nt","-","-",""
"Boris Bouillaud","K1H","Nt","-","-",""
"Corentin Donnou","K1H","Nt","-","-",""
"Antoine Giudicelli","K1H","Nt","-","-",""
"Etienne Chauvin","K1H","Nt","-","-",""
"Thibault Dufour","K1H","Nt","-","-",""
