"Sélectif Régional de slalom - Montreuil Sur Mer - Course n°2 | Finale - 2015-10-04","Course n°2 | Finale","2015-10-04","Régional","121"
"Florent Bernard","K1H","98.15","375.72","415.01","Course n°2 | Finale A"
"Clement Sannier","K1H","98.46","-","419.41","Course n°2 | Finale A"
"Antoine Martin","K1H","98.67","439.46","422.39","Course n°2 | Finale A"
"Romain Bouillon","K1H","99.03","413.4","427.51","Course n°2 | Finale A"
"Michael Philibert","K1H","99.39","397.75","432.62","Course n°2 | Finale A"
"Thibault Bellembois","K1H","99.85","-","439.15","Course n°2 | Finale A"
"Amaury Vielliard","K1H","101.39","522.78","461.02","Course n°2 | Finale A"
"Vianney Tillier","K1H","102.54","-","477.35","Course n°2 | Finale A"
"Martin Rohaut","K1H","105.27","375.86","516.12","Course n°2 | Finale A"
"Nathan Saintobert","K1H","123.65","-","777.11","Course n°2 | Finale A"
"Florian Gosselin","K1H","133.62","-","918.69","Course n°2 | Finale A"
"Yvan Leblond","K1HM","104.12","466.83","499.79","Course n°2 | Finale A"
"Lucas Walbreq","K1HM","107.09","631.48","541.96","Course n°2 | Finale A"
"LoÏc Pottier","K1HM","107.77","-","-","Course n°2 | Finale A"
"Hugo Baillet","K1HM","112.71","-","-","Course n°2 | Finale A"
"Simon Philibert","K1HM","156.54","623.31","1244.16","Course n°2 | Finale A"
"Florian Gosselin","C1H","108.95","-","499.7","Course n°2 | Finale B"
"Antoine Martin","C1H","109.55","524.08","507.81","Course n°2 | Finale B"
"Hugo Lecomte","C1H","112.55","451.39","548.38","Course n°2 | Finale B"
"Quentin Arnoult","C1H","116.48","507.17","601.53","Course n°2 | Finale B"
"Romain Bouillon","C1H","121.72","609.8","672.4","Course n°2 | Finale B"
"Charles Pain","C1H","125.82","-","727.86","Course n°2 | Finale B"
"Baptiste Duboc","C1H","128.72","-","767.06","Course n°2 | Finale B"
"Remi Blaud","C1H","143.9","1031.36","972.37","Course n°2 | Finale B"
"Yves Boudon","C1H","156.17","-","1138.3","Course n°2 | Finale B"
"Nathan Bouillon","C1H","161.27","-","1207.27","Course n°2 | Finale B"
"Jules Bevalot-Florian Gosselin","C2H","124.42","-","632.43","Course n°2 | Finale B"
"Antoine Martin-Romain Bouillon","C2H","125.79","802.75","650.12","Course n°2 | Finale B"
"Alexis Vielliard-Amaury Vielliard","C2H","127.37","688.18","670.52","Course n°2 | Finale B"
"Lucas Jacob-Benoit Guernic","C2H","139.93","834.8","832.65","Course n°2 | Finale B"
"Nathan Bouillon-Yves Boudon","C2H","174.19","-","1274.93","Course n°2 | Finale B"
"Robin Dheilly-Louis Firmin","C2H","Des","-","-","Course n°2 | Finale B"
"Alina Rassel-Yohan Marck","C2M","137.4","-","652.18","Course n°2 | Finale B"
"Tristan Poppe-Flora Bove","C2M","148.27","-","780.81","Course n°2 | Finale B"
"Michael Philibert-Louise Chauvary","C2M","179.96","617.16","1155.82","Course n°2 | Finale B"
"Sophie Dupas","K1D","111.7","453.52","429.94","Course n°2 | Finale B"
"Lea Lauer","K1D","123.16","601.57","573.95","Course n°2 | Finale B"
"Catherine Boulan","K1D","125.03","511.26","597.46","Course n°2 | Finale B"
"Anna Marvillet","K1D","126.04","574.21","610.15","Course n°2 | Finale B"
"Maryse Viseur","K1D","127.72","665.76","631.27","Course n°2 | Finale B"
"Louise Chauvary","K1D","132.64","789.7","693.09","Course n°2 | Finale B"
"Neel Coeuret","K1H","98.71","-","427.96","Course n°2 | Finale B"
"Jeanchristophe Laroque","K1H","98.77","466.89","428.81","Course n°2 | Finale B"
"Robin Dheilly","K1H","100.75","434.75","456.93","Course n°2 | Finale B"
"Nicolas Lalliot","K1H","103.74","470.67","499.39","Course n°2 | Finale B"
"Charles Pain","K1H","103.75","-","499.53","Course n°2 | Finale B"
"Remi Blaud","K1H","105.71","526.95","527.36","Course n°2 | Finale B"
"Benoit Guernic","K1H","107.44","517.55","551.93","Course n°2 | Finale B"
"Alexis Vielliard","K1H","107.72","540.66","555.91","Course n°2 | Finale B"
"Baptiste Duboc","K1H","108.12","579.43","561.59","Course n°2 | Finale B"
"Marvin Lescourant","K1H","109.63","619.54","583.03","Course n°2 | Finale B"
"Tristan Poppe","K1H","110.75","-","598.93","Course n°2 | Finale B"
"Philippe Podvin","K1H","112","628.45","616.68","Course n°2 | Finale B"
"Yves Boudon","K1H","114.1","704.99","646.5","Course n°2 | Finale B"
"Cyril Pottier","K1H","114.78","622.3","656.16","Course n°2 | Finale B"
"Quentin Arnoult","K1H","115.93","425.67","672.49","Course n°2 | Finale B"
"Johann Sacleux","K1H","118.24","650.65","705.29","Course n°2 | Finale B"
"Christophe Hemar","K1H","118.25","750","705.43","Course n°2 | Finale B"
"Louis Firmin","K1H","122.37","-","763.94","Course n°2 | Finale B"
"Nathan Bouillon","K1H","127.22","-","832.81","Course n°2 | Finale B"
"Florian Motte","K1H","140.09","2690.86","1015.57","Course n°2 | Finale B"
"Axel Manach","K1H","140.28","-","1018.26","Course n°2 | Finale B"
"Mathieu Voreaux","K1H","159.91","730.67","1297.01","Course n°2 | Finale B"
"Alberic Carpentier","K1HM","118.02","841.66","702.17","Course n°2 | Finale B"
"Bryan Arnould","K1HM","122.42","-","-","Course n°2 | Finale B"
"Karl Lienard","K1HM","132.91","-","-","Course n°2 | Finale B"
"Thibaut Evrard","K1HM","143.65","-","-","Course n°2 | Finale B"
"Remmelt Beusquart","K1HM","184.56","-","-","Course n°2 | Finale B"
