"Sélectif Régional - Coupe de Lorraine - Epinal - 2003-10-12","Course 1","2003-10-12","Régional","158"
"Yoan Del Rey-Arthur Grandemange","C2H","227.38","369","323",""
"Thevenin Sebastien- Thevenin Johann","C2H","246.14","-","440",""
"Lambert Kevin- Lacour Gregory","C2H","250.81","-","470",""
"Janot Loic- Urbani Maxime","C2H","270.46","-","592",""
"Bley Julien- Stanik Stefan","C2H","273.11","-","609",""
"Malnory Jean- Malnory Loic","C2H","348.97","-","1083",""
"Marie Gaspard","K1D","187.65","74","75",""
"Clotilde Miclo","K1D","197.30","135","135",""
"Julie Labarelle","K1D","203.35","111","173",""
"Poix Sophie","K1D","210.16","157","216",""
"Arribe Catherine","K1D","210.92","169","220",""
"Aubert Laetitia","K1D","214.75","200","244",""
"Thiebaut Charline","K1D","215.23","231","248",""
"Vernier Perrine","K1D","224.20","-","304",""
"Laura Fauste","K1D","225.42","-","311",""
"Apert Maia","K1D","225.95","273","314",""
"Thiebaut Manon","K1D","226.32","-","316",""
"Cornevin Angelique","K1D","226.75","274","320",""
"Burgart Valerie","K1D","227.58","309","324",""
"Ceccarelli Anais","K1D","230.60","-","343",""
"Harmony Thery","K1D","231.41","267","349",""
"Emilie Saguet","K1D","235.60","-","375",""
"Celine Denizon","K1D","238.28","289","392",""
"Cornevin Maud","K1D","241.49","257","411",""
"Demol Brindille","K1D","241.79","349","413",""
"Djamila Mihoubi","K1D","243.41","458","423",""
"L'orphelin Lucille","K1D","244.16","478","428",""
"De Berchen Emilie","K1D","244.23","395","429",""
"Rosalie Kempf","K1D","247.07","-","446",""
"Calypso Freichel","K1D","268.82","-","582",""
"Anais Dieterling","K1D","276.19","367","629",""
"Sarah Michel","K1D","281.35","299","660",""
"Melanie Jambeau","K1D","281.54","-","661",""
"Falcetta Charlotte","K1D","283.05","639","671",""
"Bergdoll Lucie","K1D","292.32","1479","729",""
"Dieterling Marion","K1D","313.32","-","861",""
"Claire Jacquet","K1D","321.83","222","914",""
"Pauline Pillion","K1D","350.20","717","1091",""
"Camille Billerach","K1D","359.61","1205","1149",""
"Dardanne Sophie","K1D","365.70","686","1188",""
"Cindy Beche","K1D","414.73","-","1494",""
"Poix Christine","K1D","453.42","1515","1735",""
"Argenson Elise","K1D","464.49","-","1804",""
"Stephanie Ansot","K1D","825.67","-","4061",""
"Sophie Balmossiere","K1D","969.44","-","4959",""
"Frederic Walczak","K1H","172.83","31","91",""
"Julien Arribe","K1H","178.00","55","126",""
"Jean Charles Creusot Walter","K1H","178.09","92","127",""
"Pierre Devaux","K1H","178.78","44","131",""
"Di Lauro Maxime","K1H","179.20","123","135",""
"Bazin Patryce","K1H","179.93","133","139",""
"Lambert Guillaume","K1H","180.19","105","142",""
"Johan De Mareuil","K1H","181.50","127","151",""
"Sylvain Herrbach","K1H","184.18","162","169",""
"Christophe Siffert","K1H","184.93","164","173",""
"Domingo Benoit","K1H","185.68","199","179",""
"Michel Ragot","K1H","186.75","147","187",""
"Nicolas Ciemniewski","K1H","187.23","153","189",""
"Potelle Pierreandre","K1H","187.43","-","191",""
"Mehdi Amini","K1H","190.06","185","209",""
"De Berchen Sebastien","K1H","191.33","177","217",""
"Rumeau Martin","K1H","192.53","237","226",""
"Herve Chevrier","K1H","193.47","-","233",""
"Perrin Alexandre","K1H","194.26","215","237",""
"Jeremy Poux","K1H","194.26","246","237",""
"Jerome Olhagaray","K1H","195.59","225","246",""
"Pierson Cyril","K1H","195.93","280","250",""
"Florent Tamburini","K1H","197.20","275","258",""
"Patrick Gass","K1H","198.55","315","267",""
"Bourgeois Cedric","K1H","198.81","-","269",""
"Ricci Miege Raphael","K1H","200.93","337","284",""
"Arthur Georges","K1H","202.52","272","295",""
"Revelle Yohann","K1H","203.36","315","301",""
"Arette Hourquet Olivier","K1H","206.48","-","322",""
"Guillaume Sebastien","K1H","206.86","-","324",""
"Savart Matthieu","K1H","207.43","357","329",""
"Hayot Sylvain","K1H","207.82","329","331",""
"Beghoura Yoni","K1H","209.05","432","339",""
"Aubert Anthony","K1H","209.61","401","343",""
"Nathan Barbier","K1H","210.31","372","348",""
"William Boutet","K1H","210.39","355","349",""
"Nicolas Mangeolle","K1H","212.42","356","363",""
"Guerin Alexandre","K1H","212.84","354","366",""
"Pascal Philip","K1H","215.39","-","383",""
"Burgi Thomas","K1H","217.84","-","400",""
"Ciemniewski Olivier","K1H","219.36","402","410",""
"Kevin Burgi","K1H","220.01","-","414",""
"Poix Stanislas","K1H","223.21","483","437",""
"Creuza Jeremy","K1H","227.16","361","464",""
"Diemert Maxime","K1H","229.80","975","482",""
"Damien Burteaux","K1H","231.15","684","491",""
"Romain Viry","K1H","231.72","536","496",""
"Noel Jeremie","K1H","233.78","-","509",""
"Gacoin Stephane","K1H","234.22","443","512",""
"Courtier Jeremy","K1H","236.30","555","527",""
"Tachet Xavier","K1H","236.86","504","530",""
"Tosser Roussey Loic","K1H","241.38","-","562",""
"Boutter Victor","K1H","245.02","-","587",""
"Gangloff Alexandre","K1H","247.87","-","606",""
"Lillette Mael","K1H","249.42","-","617",""
"Renaut Brice","K1H","253.33","-","643",""
"Gautier Boudat","K1H","253.54","-","645",""
"Gautherot Mathieu","K1H","254.33","-","651",""
"Chapellier Pierre Emmanuel","K1H","258.26","-","677",""
"Gaetan Kieffert","K1H","261.30","-","698",""
"Collet Timothe","K1H","262.15","-","704",""
"Parmentelat Steve","K1H","265.38","-","727",""
"Wendling Jean-Mathieu","K1H","266.66","935","736",""
"Brouillot Mathieu","K1H","267.21","-","739",""
"Arthur Sucker","K1H","269.55","-","755",""
"Treiber Edouard","K1H","271.40","-","768",""
"Vincent Bajolot","K1H","271.58","-","769",""
"Audren Schiel","K1H","277.10","-","807",""
"Hamann Damien","K1H","286.36","523","871",""
"Billel Khenchouche","K1H","286.89","956","874",""
"Hitou Sofiane","K1H","303.39","-","988",""
"Aubert Louis","K1H","303.77","-","990",""
"Thibault Gautherot","K1H","333.39","-","1194",""
"Thiaville Julien","K1H","339.26","-","1234",""
"Albertelli Romain","K1H","420.41","-","1792",""
"Bontemps Romain","K1H","472.73","-","2151",""
"Wendling Valentin","K1H","593.81","543","2983",""
