"Finale N3 EST - NANCY - Nancy - 2008-06-08","Course 1","2008-06-08","Nationale 3","169"
"Simon Barthelemy","K1H","260.33","541","532",""
"Simon Sauvage","K1H","260.77","546","534",""
"Nicolas Pinot","K1H","266.32","277","567",""
"Pierrick Bonnefoy","K1H","267.09","638","570",""
"Clement Martin","K1H","268.39","318","578",""
"Thomas Dandel","K1H","268.57","240","580",""
"Clement Rota","K1H","268.75","347","581",""
"Paul Morland","K1H","270.36","550","590",""
"Jeanpierre Patard","K1H","274.00","385","611",""
"Jules Argentini","K1H","283.75","443","666",""
"Yann Le Guedard","K1H","287.19","372","687",""
"Jean Guyot","K1H","289.84","377","702",""
"Yann Tosser  Roussey","K1H","290.33","308","705",""
"Theo Moquet","K1H","292.05","359","715",""
"Arthur Bernot","K1H","295.17","364","733",""
"Florian Hugedet","K1H","297.35","401","745",""
"Boris Chenal","K1H","303.21","197","779",""
"Xavier Sucker","K1H","307.99","472","806",""
"Youcef Bahlat","K1H","330.94","279","939",""
"Florian Balhuizen","K1H","358.24","224","1096",""
"Laurent Guyot","K1H","408.02","554","1383",""
"Patrick Thevenin","K1H","489.61","429","1853",""
"Tom Jackson","K1H","1028.96","414","4959",""
