"Sélectif Championnat National 2 Slalom - Uzerche - Base Minoterie - Finale - 2017-04-09","Finale","2017-04-09","Nationale 2","293"
"Michael Philibert","C1H","112.78","239.13","286.77","Finale B"
"Benoit Chantry","C1H","113.13","237.62","290.51","Finale B"
"Henri Chenu","C1H","114.24","312.43","302.36","Finale B"
"Fabien Tournadre","C1H","116.4","319.9","325.44","Finale B"
"Melenn Aubry","C1H","117.21","306.58","334.1","Finale B"
"Timothee Olla","C1H","117.41","280.2","336.23","Finale B"
"Gaetan Hamelin","C1H","117.42","234.4","336.34","Finale B"
"Camille Fleuret","C1H","118.3","320.48","345.74","Finale B"
"Gauthier Gonseth","C1H","119.19","251.4","355.24","Finale B"
"Terence Saramandif","C1H","120.4","314.19","368.17","Finale B"
"Jan Pischek","C1H","120.49","288.35","369.13","Finale B"
"Maxime Vallin","C1H","120.74","291.16","371.8","Finale B"
"Thomas Levert","C1H","123.06","241.4","396.59","Finale B"
"Frederic Boob","C1H","123.25","330.35","398.62","Finale B"
"Philippe Thevenin","C1H","124.88","307.5","416.03","Finale B"
"Olivier Barriere","C1H","124.9","325.1","416.24","Finale B"
"Olivier Cain","C1H","125.57","376.37","423.4","Finale B"
"Eludes Houillon","C1H","126.02","284.41","428.21","Finale B"
"Philippe Niquet","C1H","126.72","364.53","435.69","Finale B"
"Louis Vandeville","C1H","128.9","294.55","458.98","Finale B"
"Louis Bouclier","C1H","133.52","270.86","508.34","Finale B"
"Loic Kervella","C1H","136.4","385.71","539.1","Finale B"
"Addwyn Martinez","C1H","136.5","295.76","540.17","Finale B"
"Christian Boob","C1H","138.46","392.06","561.11","Finale B"
"Gurgen Brun","C1H","222.89","303.37","1463.09","Finale B"
"Alexis Collin-Alexandre Mathis","C2H","132.2","335.35","430.04","Finale B"
"Guillaume Carbon-Maxime Vallin","C2H","140.85","420.67","518.24","Finale B"
"Hugo Mouffle-Theau Le Loch","C2H","141.96","340.72","529.57","Finale B"
"Florian Busson-Alex Louveau","C2H","Abd","-","-","Finale B"
"Olivier Cain-Gaetan Coat","C2H","Abs","-","-","Finale B"
"Gauthier Gonseth-Guillaume Gonseth","C2H","Nt","-","-","Finale B"
"Eva Pietracha","K1D","118.21","225.42","255.37","Finale B"
"Clemence Lartigue","K1D","121.93","239.93","292.3","Finale B"
"Celia Grandadam","K1D","122.73","302.6","300.24","Finale B"
"Elise Pierron","K1D","123.75","248.51","310.36","Finale B"
"Alice Evlachev","K1D","124.1","240.72","313.84","Finale B"
"Marion Grangeon","K1D","124.48","295.97","317.61","Finale B"
"Morgane Quemerais","K1D","125.19","246.9","324.66","Finale B"
"Coline Bertin","K1D","126.4","291.12","336.67","Finale B"
"Marie Hilger","K1D","127.07","273.66","343.32","Finale B"
"Clothilde Le Louarn","K1D","127.56","353","348.19","Finale B"
"Meryl Steinmann","K1D","128.92","258.47","361.68","Finale B"
"Marion Pasquali","K1D","130.18","317.27","374.2","Finale B"
"Tifenn Primet","K1D","131.64","350.65","388.69","Finale B"
"Marie Juquelier","K1D","132.78","307.79","400","Finale B"
"Ilhame Siraj","K1D","133.91","332.05","411.22","Finale B"
"Jade Robin","K1D","134.1","312.63","413.11","Finale B"
"Carla Lacroix","K1D","134.29","299.15","415","Finale B"
"Elorri Erdois","K1D","134.74","270.41","419.46","Finale B"
"Alicia Gallot","K1D","136.01","295.12","432.07","Finale B"
"Marine Izac","K1D","136.29","354.91","434.85","Finale B"
"Alexia Bechu","K1D","136.34","362.53","435.34","Finale B"
"Chloe Gatuingt","K1D","137.28","314.95","444.68","Finale B"
"Adele Charlaigre","K1D","140.26","345.99","474.26","Finale B"
"Raphaelle Hovine","K1D","143.01","341.62","501.56","Finale B"
"Oriane Guichet","K1D","143.28","320.18","504.23","Finale B"
"Sophie Dupas","K1D","143.41","329.4","505.53","Finale B"
"Jeanne Bernard","K1D","143.68","333.68","508.2","Finale B"
"Julia Budzinski","K1D","144.86","321.8","519.92","Finale B"
"Laura Rocher","K1D","144.86","263.43","519.92","Finale B"
"Margot Beziat","K1D","148.72","331.26","558.24","Finale B"
"Lucie Bercon","K1D","162.1","367.65","691.05","Finale B"
"Violaine Vennin","K1D","Abs","-","-","Finale B"
"Emilie Hernandez-brossard","K1D","Abs","-","-","Finale B"
"Robin Vandenbossche","K1H","100.9","194.44","213.75","Finale B"
"Maxime Di Lauro","K1H","101.11","200.68","216.1","Finale B"
"Xavier Jourdain","K1H","101.74","181.27","223.17","Finale B"
"Steven Henry","K1H","102.06","249.06","226.76","Finale B"
"Alan Mahe","K1H","102.39","204.04","230.46","Finale B"
"Cedric Jegouzo","K1H","102.77","193.86","234.72","Finale B"
"Raphael Olla","K1H","103.19","212.57","239.43","Finale B"
"Yani Ferhaoui","K1H","103.3","229.8","240.67","Finale B"
"Jonathan Delagnes","K1H","103.49","216.43","242.8","Finale B"
"Quentin Le Duc","K1H","103.7","263.95","245.15","Finale B"
"Corentin Monasse","K1H","104.28","216.39","251.66","Finale B"
"Florian Gosselin","K1H","104.86","233.31","258.17","Finale B"
"Valentin Courtiade","K1H","104.91","255.07","258.73","Finale B"
"Florentin Saumon","K1H","105.29","247.75","262.99","Finale B"
"Natan Brule","K1H","105.71","225.74","267.7","Finale B"
"Maxime Foucault","K1H","105.93","237.5","270.17","Finale B"
"Arthur Mizzi","K1H","106.07","221.92","271.74","Finale B"
"Quentin Clerc","K1H","106.26","240.38","273.87","Finale B"
"Lucas Augu","K1H","106.42","249.75","275.67","Finale B"
"Vincent Reiter","K1H","106.48","237.88","276.34","Finale B"
"Paul Pradalie","K1H","106.82","196.93","280.15","Finale B"
"Olivier Cain","K1H","107.41","277.28","286.77","Finale B"
"Arthur Favennec","K1H","107.68","300.31","289.8","Finale B"
"Denis Guilmard","K1H","107.8","253.8","291.15","Finale B"
"Valentin Vibert","K1H","108.25","217.77","296.19","Finale B"
"Pierre Audouin","K1H","108.33","239.23","297.09","Finale B"
"Nathan Flageul","K1H","108.89","224.74","303.37","Finale B"
"Pierre Bourdet","K1H","108.96","244.14","304.16","Finale B"
"Maxence Merpillat","K1H","109.51","243.55","310.33","Finale B"
"Fabien Lanao","K1H","109.62","307.42","311.56","Finale B"
"Timothee Le Mort","K1H","109.7","273.99","312.46","Finale B"
"Gaetan Coat","K1H","109.89","326.62","314.59","Finale B"
"Thomas Brochard","K1H","110.16","280.56","317.62","Finale B"
"Nathan Hossin","K1H","110.16","236.71","317.62","Finale B"
"Henri Bergognon","K1H","110.75","234.31","324.24","Finale B"
"Maxime Gaillard","K1H","110.83","245.93","325.13","Finale B"
"Jean Philippe Roche","K1H","111.4","246.63","331.53","Finale B"
"Leo Vuitton","K1H","111.68","220.26","334.67","Finale B"
"Alexandre Marin","K1H","111.79","285.75","335.9","Finale B"
"Hugo Mouffle","K1H","111.8","231.65","336.01","Finale B"
"Martin Belliot","K1H","112.12","283.13","339.6","Finale B"
"Guilhem Douillet","K1H","112.14","268.67","339.83","Finale B"
"Emeric Bussonnais","K1H","112.35","237.23","342.18","Finale B"
"Cedric Mace","K1H","112.56","278.58","344.54","Finale B"
"Sebastien Routhier","K1H","112.63","263.98","345.33","Finale B"
"Lorin Dumont","K1H","113.17","282.13","351.38","Finale B"
"Charles Fernandes De Oliveira","K1H","113.67","289.82","356.99","Finale B"
"Djendy Simeant","K1H","113.78","260.38","358.23","Finale B"
"Dimitri Durannot","K1H","113.88","264.25","359.35","Finale B"
"Yohan Marck","K1H","114.28","261.02","363.83","Finale B"
"Julien Fougeron","K1H","114.69","281.44","368.43","Finale B"
"Nicolas Mangeolle","K1H","114.73","270.08","368.88","Finale B"
"Yann Zaepffel","K1H","115.59","244.21","378.53","Finale B"
"Antonin Barraud","K1H","116.66","253.91","390.53","Finale B"
"Julien Saguet","K1H","117.09","262.01","395.35","Finale B"
"Romain Branjauneau","K1H","117.79","258.18","403.21","Finale B"
"Clement Le Collinet","K1H","118.09","202.81","406.57","Finale B"
"Gael Adisson","K1H","118.64","229.79","412.74","Finale B"
"Romain Guyomard","K1H","118.99","171.15","416.67","Finale B"
"Theau Le Loch","K1H","120.4","291.71","432.48","Finale B"
"Loic Thielen","K1H","121.34","298.94","443.03","Finale B"
"Tom Bouchardon","K1H","121.51","254.89","444.93","Finale B"
"Xavier Chantry","K1H","125.74","323.98","492.38","Finale B"
"Nicolas Feuillard","K1H","149.12","181.87","754.64","Finale B"
"Hippolyte Cail","K1H","151.9","170.77","785.83","Finale B"
"Youn Aubry","K1H","157.38","239.24","847.3","Finale B"
"Gregoire Guerin","K1H","160.17","144.68","878.6","Finale B"
"Remi Vinet","K1H","166.59","194.78","950.61","Finale B"
"Jules Silvin","K1H","258.99","251.14","1987.09","Finale B"
"Guillaume De Fierville","K1H","Abd","-","-","Finale B"
