"Sélectif N2 - Tournon St Martin - 2004-05-01","Course 1","2004-05-01","Nationale 2","135"
"Louis Georges Lafont","K1H","184.49","203","225",""
"Molinier Vincent","K1H","186.26","202","235",""
"Philippe Niquet","K1H","187.02","246","239",""
"Yves Lecointe","K1H","187.13","219","240",""
"Marc Laborde","K1H","188.06","198","245",""
"Daumas Jeremy","K1H","188.13","252","246",""
"Loic Froissard","K1H","188.17","231","246",""
"Emmanuel Cosse","K1H","188.28","237","247",""
"Chasseloup Christophe","K1H","188.33","233","247",""
"Alain Droniou","K1H","189.85","200","256",""
"Colin Molinier","K1H","190.55","200","260",""
"Clement Praille","K1H","190.62","258","260",""
"Gwenael Marquer","K1H","191.19","229","264",""
"Olivier Cain","K1H","191.91","231","268",""
"Clerc Pierrealain","K1H","194.55","179","283",""
"Francois Giondini","K1H","195.02","237","286",""
"Fontaine Damien","K1H","215.92","134","408",""
"Vaillant Tiphaine","K1H","231.69","207","499",""
"Wadel Florian","K1H","232.61","155","504",""
"El Alami Aziz","K1H","252.02","-","616",""
"Bastien Dantin","K1H","256.68","208","643",""
