"Sélectif Régional - Inzinzac Lochrist - 2009-11-08","Course 1","2009-11-08","Régional","190"
"Ronan Betrom-Adrien Ferec","C2H","130.48","-","251",""
"Maxime Perron-Yvan Nicolas","C2H","143.26","-","373",""
"Yves Prigent-Loic Kervella","C2H","145.80","-","397",""
"Francois Faguet-Cedric Joly","C2H","149.84","-","436",""
"Manuel Coquelin-Julien Dosse","C2H","151.27","-","449",""
"Maxime Beaulieu-Ludovic Gaignon","C2H","151.80","-","454",""
"Nowan Bertin-Tanguy Le Marec","C2H","153.60","485","472",""
"Lionel Donias-Guenael Herbaut","C2H","163.40","-","565",""
"Alexis Lotton-Benjamin Duchene","C2H","166.62","-","595",""
"Lorin Dumont-Nicolas Le Belleguic","C2H","211.51","-","1024",""
"Arnaud Le Calvez-Melaine Pichard","C2H","Nt","-","-",""
"Gireg Hamoniaux-Julien Darcillon","C2H","Nt","-","-",""
"Kilian Foulon-Lucie Baudu","C2M","134.19","-","200",""
"Medhi Deguil-Marie-francoise Prigent","C2M","139.88","-","250",""
"Simon Le Guillou-Susy Merand","C2M","262.96","-","1344",""
"Sarah Despres","K1D","120.98","52","130",""
"Lucie Baudu","K1D","122.64","89","146",""
"Josepha Longa","K1D","128.43","52","199",""
"Elodie Le Nechet","K1D","128.63","91","201",""
"Claire Moal","K1D","129.47","182","209",""
"Helene Thuret","K1D","131.56","217","228",""
"Marie-francoise Prigent","K1D","133.57","217","247",""
"Manon Caveribere","K1D","137.50","-","284",""
"Pauline Bercon","K1D","140.19","242","308",""
"Marianne Bercon","K1D","140.65","-","312",""
"Aurelie Le Fee","K1D","142.94","290","334",""
"Lucie Saucet","K1D","144.84","304","351",""
"Joelle Bonnabesse","K1D","147.33","371","375",""
"Claire Pichon","K1D","149.62","309","396",""
"Anne Gombert","K1D","150.71","310","406",""
"Marie Landais","K1D","151.80","358","415",""
"Jeanne Despres","K1D","151.96","273","418",""
"Suzy Merand","K1D","152.47","583","423",""
"Oriane Pottier","K1D","153.48","-","432",""
"Camille Dugue","K1D","154.44","-","440",""
"Lisa Marechal","K1D","155.14","-","447",""
"Kristell Bervet","K1D","156.21","353","456",""
"Nathalie Courant","K1D","157.20","-","466",""
"Aziliz Le Paih","K1D","168.50","-","571",""
"Melanie Roulland","K1D","191.25","-","781",""
"Camille Bonnet","K1D","196.41","1415","830",""
"Audrey Dada Balu","K1D","212.11","761","976",""
"Manon Mauguen","K1D","Nt","-","-",""
"Laurent Rigaud","K1H","102.01","87","77",""
"Yann Le Govic","K1H","102.65","61","84",""
"Mathieu Le Gal","K1H","105.83","127","117",""
"Valentin Brindeau","K1H","105.91","153","118",""
"Romain Lecrenais-perrel","K1H","107.60","139","135",""
"Adrien Ferec","K1H","107.73","-","137",""
"Sebastien Kerneis","K1H","110.11","188","162",""
"Vincent Froger","K1H","110.11","149","162",""
"Simon Despres","K1H","110.29","114","164",""
"Antoine Launay","K1H","110.52","78","166",""
"Melaine Pichard","K1H","111.93","116","181",""
"Yves Prigent","K1H","112.17","154","183",""
"Stephane Odot","K1H","113.00","163","193",""
"Gael Prodeau","K1H","113.30","169","196",""
"Vincent Lemonnier","K1H","113.55","145","198",""
"Medhi Deguil","K1H","113.59","164","199",""
"Didier Niel","K1H","113.61","158","199",""
"Johann Lorcy","K1H","113.77","-","201",""
"Pierre Yves Tanguy","K1H","113.87","194","202",""
"Nowan Bertin","K1H","114.25","209","205",""
"Loic Kervella","K1H","114.38","165","207",""
"Erwan Beyou","K1H","114.87","219","212",""
"Frederic Castryck","K1H","115.20","181","215",""
"Clement Burel","K1H","115.39","193","217",""
"Nizar Samlal","K1H","115.77","181","221",""
"Tanguy Le Marec","K1H","116.09","185","224",""
"Jean Yves Prigent","K1H","116.47","162","228",""
"Alexis Moriceau","K1H","116.51","-","229",""
"Aurelien Ballandras","K1H","116.90","240","233",""
"Julien Dosse","K1H","116.97","136","233",""
"Guillaume Blin","K1H","117.74","238","242",""
"Emmanuel Cosse","K1H","117.78","224","243",""
"Manuel Coquelin","K1H","118.02","183","245",""
"Thomas Le Berre","K1H","119.68","255","262",""
"Maxime Beaulieu","K1H","120.25","198","268",""
"Camille L'hostis","K1H","120.31","249","269",""
"Nicolas Dupres","K1H","120.70","218","273",""
"Simon Seuru","K1H","121.29","300","279",""
"Quentin Mannier","K1H","121.53","-","282",""
"Maxime Dreux","K1H","122.45","260","292",""
"Alexis Lotton","K1H","123.53","264","303",""
"Victor Azam","K1H","123.96","277","307",""
"Ludovic Gaignon","K1H","124.73","267","315",""
"Sebastien Cardiet","K1H","125.69","320","325",""
"Denis Voisin","K1H","126.39","362","333",""
"Camille Le Merrer","K1H","127.40","-","343",""
"William Jacopin","K1H","128.34","306","353",""
"Francois Madec","K1H","128.52","389","355",""
"Quentin Moret De Rocheprise","K1H","128.54","406","355",""
"Damien Kerangoarec","K1H","128.86","407","358",""
"Benjamin Duchene","K1H","129.73","406","367",""
"Francois Gillot","K1H","130.07","-","371",""
"Hoel Carnot","K1H","131.23","319","384",""
"Vincent Salmon","K1H","131.86","-","390",""
"Pierreyves Renaudin","K1H","132.56","432","397",""
"Pierrick Meheust","K1H","133.97","424","412",""
"Valentin Henot","K1H","134.40","-","416",""
"Geoffroy Cartoux","K1H","135.51","-","428",""
"Richard Fradin","K1H","135.69","430","430",""
"Charles Kerbellec","K1H","137.30","349","447",""
"Francois Faguet","K1H","137.48","-","449",""
"Victor Carrouer","K1H","138.82","429","462",""
"Olivier Brillaut","K1H","139.11","433","466",""
"Geoffrey Devaud","K1H","140.17","-","477",""
"Wilfried Harduin","K1H","140.34","456","479",""
"Guillaume Payet","K1H","141.22","619","488",""
"Benjamin Jouan","K1H","144.53","506","523",""
"Dimitri Etienne","K1H","145.07","-","528",""
"Erwan Perron","K1H","145.07","-","528",""
"Matthieu Laumonier","K1H","147.01","464","548",""
"Lorin Dumont","K1H","151.10","-","591",""
"Joel Duval","K1H","151.41","-","595",""
"Loeiz Descheres","K1H","152.62","709","608",""
"Jordan Mellouet","K1H","153.82","576","620",""
"Raphael Tanguy-ac'h","K1H","154.37","662","626",""
"Vincent Mevel","K1H","154.70","783","629",""
"Nicolas Le Belleguic","K1H","154.93","-","632",""
"Guillaume Cazee","K1H","161.40","-","700",""
"Kevin Thill","K1H","162.30","639","709",""
"Maxime Dubuisson","K1H","165.51","1008","743",""
"Jeremy Jestin","K1H","185.43","890","951",""
"Simon Le Guillou","K1H","194.33","794","1045",""
"Francois Xavier Robinet","K1H","201.04","-","1115",""
"Jerome Saliou","K1H","206.72","731","1175",""
"Yann Lardic","K1H","Nt","-","-",""
"Antoine Hirbec","K1H","Nt","-","-",""
"Thomas Richer","K1H","Nt","-","-",""
"Gael Bleunven","K1H","Nt","-","-",""
"Cedric Jegouzo","K1H","Nt","-","-",""
"Pierre Pougin","K1H","Nt","-","-",""
"Maxime Priour","K1H","Nt","-","-",""
"Jeremy Moreaux","K1H","Nt","-","-",""
