"SELECTIF N2 DE SLALOM DE CERGY - Cergy-Neuville - 2007-02-17","Course 1","2007-02-17","Nationale 2","152"
"Benoit Letellier","K1H","213.22","111","100",""
"Benjamin Thouvignon","K1H","213.36","106","100",""
"Yann Gudefin","K1H","213.38","86","100",""
"Thomas Rosset","K1H","213.75","104","102",""
"Benoit Fer","K1H","215.33","108","108",""
"Florian Gosselin","K1H","215.52","100","109",""
"Gregory Busson","K1H","215.69","114","110",""
"De Berchen Sebastien","K1H","215.88","91","111",""
"Alexis Caspar","K1H","217.12","168","117",""
"Jerome Olhagaray","K1H","217.52","132","118",""
"Guillaume Bandelier","K1H","217.69","140","119",""
"Julien Daumont","K1H","218.44","139","122",""
"Lucas Kelifaoui","K1H","218.95","147","124",""
"Julien Beltrami","K1H","219.11","137","125",""
"Di Lauro Maxime","K1H","220.06","115","129",""
"Venceslas Viseur","K1H","220.25","74","130",""
"Jules Bevalot","K1H","221.79","151","136",""
"Herve Launay","K1H","222.03","161","138",""
"David Riffaud","K1H","222.27","109","139",""
"Julien Riffaud","K1H","222.46","209","139",""
"Antoine Egreteau","K1H","222.69","128","140",""
"Emile Devaux","K1H","223.53","166","144",""
"Vincent Reiter","K1H","225.27","137","152",""
"Thibaud Delaunay","K1H","225.52","80","153",""
"Mehdi Amini","K1H","225.96","144","154",""
"Ludovic Di Nisi","K1H","226.29","103","156",""
"Pierre Pans","K1H","226.53","126","157",""
"Lemaire Maxime","K1H","227.17","155","160",""
"Yoann Hautecloche","K1H","227.66","93","162",""
"Kevin Burgi","K1H","228.08","163","163",""
"Le Berte Maxime","K1H","228.73","183","166",""
"Loic Monbel","K1H","230.29","181","173",""
"Philippe Daumont","K1H","230.64","158","175",""
"Pascal Ferry","K1H","230.75","153","175",""
"Beaudoin Fabien","K1H","231.76","174","179",""
"Nathan Barbier","K1H","231.77","225","179",""
"Ronan Lucas","K1H","231.97","100","180",""
"Anthony Thuillier","K1H","232.01","157","180",""
"Fabien Tournadre","K1H","233.05","132","185",""
"Pascal Poitiers","K1H","233.11","201","185",""
"Sylvain Herrbach","K1H","233.46","173","187",""
"Bernhardt Christophe","K1H","234.61","258","192",""
"Nicolas Durand","K1H","235.14","-","194",""
"Michel Gombert","K1H","235.89","127","197",""
"Didier Niel","K1H","236.27","207","199",""
"Franck Dessaint","K1H","236.60","200","200",""
"Nicolas Abbal","K1H","236.98","167","201",""
"Julien Haberland","K1H","237.53","178","204",""
"Pierre Baux","K1H","238.89","168","210",""
"Beghoura Yoni","K1H","239.69","241","214",""
"Anthony Mottais","K1H","240.02","195","215",""
"Jeremy Poux","K1H","240.07","196","215",""
"Nicolas Mangeolle","K1H","240.29","238","216",""
"Christophe Gosselin","K1H","240.92","241","219",""
"Julien Bley","K1H","242.40","186","225",""
"Romain Bove","K1H","243.49","134","230",""
"Philippe Niquet","K1H","244.61","226","234",""
"Coiffe Florion","K1H","245.46","179","238",""
"Childeric Thoreau","K1H","246.78","146","244",""
"Florent Tamburini","K1H","246.79","206","244",""
"Olivier Urbain","K1H","249.91","235","257",""
"Fabrice Poueyto","K1H","251.01","142","262",""
"Aurel Sebastien","K1H","251.23","196","263",""
"Boris Sacre","K1H","252.65","218","269",""
"Sergent Sylvain","K1H","254.08","213","275",""
"Emmanuel Walczak","K1H","257.08","111","288",""
"Antoine Lebastard","K1H","258.82","244","295",""
"Quentin Vallee","K1H","265.97","195","326",""
"Alain Ferry","K1H","269.19","232","340",""
"Boris Lesimple","K1H","269.89","229","343",""
"Olivier Machiels","K1H","272.02","132","352",""
"Thibaud Vielliard","K1H","274.66","169","364",""
"Benjamin Travostino","K1H","278.84","89","382",""
"Ricci Miege Raphael","K1H","293.17","168","443",""
"Olivier Blanc","K1H","293.92","177","446",""
"Quentin Burgi","K1H","296.36","238","457",""
"Florian Perenchio","K1H","298.31","188","465",""
"Thibaud Kudla","K1H","308.40","267","508",""
"Jeremy Cremonesi","K1H","324.49","136","578",""
"Mathieu Biazizzo","K1H","330.94","183","605",""
"Olivier Cain","K1H","338.09","207","635",""
