"Sélectif Régional - Bazancourt - 2009-11-22","Course 1","2009-11-22","Régional","154"
"Arthur Barrachin","K1H","Nt","-","-",""
"Adrien Fevre","K1H","Nt","-","-",""
"Romain Decotte","K1H","Nt","-","-",""
"Anthony Gillot","K1H","Nt","-","-",""
"Francois Dupont","K1H","Nt","-","-",""
"Loic Durand","K1H","Nt","-","-",""
"Quentin Prevot","K1H","Nt","-","-",""
"Even Perot","K1H","Nt","-","-",""
"Antoine Decambon","K1H","Nt","-","-",""
"Loic Andre","K1H","Nt","-","-",""
"Loic Gobert","K1H","Nt","-","-",""
"Jean Christophe Boivin","K1H","Nt","-","-",""
