"Sélectif Régional - Jarnac - Finale - 2014-09-28","Finale","2014-09-28","Régional","193"
"Vincent Menager","K1H","98.86","-","287.34","Finale A"
"Theo Desvignes","K1H","98.99","290.29","289.06","Finale A"
"Corentin Moriniaux","K1H","100.22","264.53","305.33","Finale A"
"Corentin Bernard","K1H","100.77","275.41","312.6","Finale A"
"Come Hebert","K1H","100.96","-","315.12","Finale A"
"Jules Reix","K1H","100.99","328.77","315.51","Finale A"
"Axel Delage","K1H","101.15","355.21","317.63","Finale A"
"Jeremi Toso","K1H","101.19","301.87","318.16","Finale A"
"Maxime Barrault","K1H","101.25","302.95","318.95","Finale A"
"Benoit Lasserre","K1H","101.69","349.36","324.77","Finale A"
"Hugo Le Goff","K1H","101.82","-","326.49","Finale A"
"Dylan Sourbe","K1H","101.91","314.01","327.68","Finale A"
"Mathieu Minie","K1H","102.29","332.23","332.71","Finale A"
"Thibault Lefebvre","K1H","102.72","-","338.39","Finale A"
"Valentin Alliot","K1H","102.93","261.68","341.17","Finale A"
"Louis Bouchiat","K1H","103.89","319.89","353.87","Finale A"
"Arthur Traquet","K1H","104.05","308.32","355.98","Finale A"
"Antoine Laye","K1H","104.1","363.21","356.64","Finale A"
"Damien Caillon","K1H","104.62","301.61","363.52","Finale A"
"Quentin Lyphout","K1H","104.93","302.45","367.62","Finale A"
"Marc Doreau","K1H","105.92","333.66","380.72","Finale A"
"Benjamin Cariou","K1H","107.59","-","402.8","Finale A"
"Cyril Launay","K1H","108.22","370.5","411.13","Finale A"
"Valentin Soullard","K1H","108.61","402.79","416.29","Finale A"
"Isaac Dufrene","K1HM","97.24","-","265.92","Finale A"
"Yanis Rainaud","K1HM","104.36","-","360.08","Finale A"
"Raphael Lassechere","K1HM","104.51","-","362.07","Finale A"
"Antoine Grillier","K1HM","106.74","663.43","391.56","Finale A"
"Julien Pajaud","K1HM","107.18","-","397.38","Finale A"
"Thomas Riviere","K1HM","109.74","-","-","Finale A"
"Matheo Gillaizeau","K1HM","110.19","-","-","Finale A"
"Lucas Belo","K1HM","110.33","-","439.04","Finale A"
"Maxence Merpillat","K1HM","111.52","-","454.78","Finale A"
"Tanguy Zaninotto","K1HM","113.94","-","-","Finale A"
"Maxime Antoine","K1HM","115.59","-","508.61","Finale A"
"Clement Capillon","K1HM","116.9","-","-","Finale A"
"Helene Baty","C1D","137.34","-","498.53","Finale B"
"Lucie Freyssinet","C1D","139.75","-","525.09","Finale B"
"Barbara Lassechere","C1D","145.48","663.03","588.24","Finale B"
"Adrien Picco","C1H","111.95","-","394.96","Finale B"
"Philippe Niquet","C1H","112.07","326.65","396.47","Finale B"
"Anthony Roux","C1H","113.44","374.14","413.73","Finale B"
"Clement Jouannaud","C1H","115.08","451.24","434.39","Finale B"
"Theo Desvignes","C1H","115.62","394.13","441.18","Finale B"
"Pierre Giudicelli","C1H","116.14","422.15","447.74","Finale B"
"Louis Bouchiat","C1H","117.52","-","465.12","Finale B"
"Adrien Roux","C1H","119.01","556.97","483.89","Finale B"
"Nino Louineau","C1H","120.32","356.19","500.38","Finale B"
"Mathias Pannetier","C1H","121.31","568.43","512.85","Finale B"
"Pierre Dehaudt","C1H","121.9","493.88","520.29","Finale B"
"Jeanfrancis Battesti","C1H","122.18","599.93","523.82","Finale B"
"Cyril Launay","C1H","123.2","635.38","536.66","Finale B"
"Mathieu Minie","C1H","123.5","-","540.44","Finale B"
"Florian Champagne","C1H","134.78","660.01","682.53","Finale B"
"Daniel Bregazzi","C1H","135.8","744.94","695.37","Finale B"
"Armand Vergnault","C1H","139.67","-","744.12","Finale B"
"Maxence Merpillat","C1HM","125.09","-","560.47","Finale B"
"Henri Chenu","C1HM","131.64","-","-","Finale B"
"Thair Benzougar","C1HM","132.84","-","658.09","Finale B"
"Martin Lassiste","C1HM","235.64","-","-","Finale B"
"Quentin Desouche-Pierre Giudicelli","C2H","120.44","-","432.94","Finale B"
"Dylan Sourbe-Axel Delage","C2H","122.04","-","452.17","Finale B"
"Theo Desvignes-Arthur Traquet","C2H","125.84","469.8","497.87","Finale B"
"Maxime Bardieux-Kevin Sponem","C2H","127.68","-","520","Finale B"
"Valentin Alliot-Violaine Vennin","C2M","127.65","-","391.73","Finale B"
"Sophie Delage-Christian Boob","C2M","134.4","523.58","466.13","Finale B"
"Helene Baty-Maxime Bouvet","C2M","163.1","-","782.45","Finale B"
"Armelle Canali","K1D","116.13","292.27","344.05","Finale B"
"Lucie Freyssinet","K1D","117.22","278.61","356.82","Finale B"
"Marie Charbonneau","K1D","119.62","463.11","384.9","Finale B"
"Barbara Lassechere","K1D","123.9","416.47","434.99","Finale B"
"Elsa Toumi","K1D","127.89","475.65","481.69","Finale B"
"AdÈle Aguesseau","K1DM","130.29","-","509.79","Finale B"
"Ethel Simon","K1DM","134.44","-","-","Finale B"
"Justine Crouzille","K1DM","138.82","-","609.63","Finale B"
"Pierre Campagne","K1H","102.44","409.07","339.69","Finale B"
"Valentin Cesbron","K1H","102.49","482.41","340.35","Finale B"
"Kevin Sponem","K1H","105.1","421.39","374.87","Finale B"
"Lucas Joubert","K1H","105.38","377.96","378.57","Finale B"
"Maxime Bardieux","K1H","105.84","-","384.66","Finale B"
"Pierre Dehaudt","K1H","106.06","332.98","387.57","Finale B"
"Brice Guintard","K1H","106.59","379.48","394.58","Finale B"
"Pierre Ferrand","K1H","107.43","-","405.69","Finale B"
"Emile Laurent","K1H","110.71","552.17","449.07","Finale B"
"Axel Gauthard","K1H","111.61","435.47","460.97","Finale B"
"Zeph Scamps","K1H","112.41","-","471.55","Finale B"
"Jean-philippe Brothier","K1H","113.55","533.55","486.63","Finale B"
"Wilfried Truffy","K1H","113.83","473.57","490.33","Finale B"
"Daniel Bregazzi","K1H","114.82","500.93","503.42","Finale B"
"Raphael Jean","K1H","115.29","479.4","509.64","Finale B"
"Yanis Koubaiti","K1H","115.38","-","510.83","Finale B"
"Nathan Ferchaud","K1H","115.86","1164.65","517.18","Finale B"
"Yann Maillocheau","K1H","116.25","628.43","522.34","Finale B"
"Leo Aranda","K1H","117.14","552.73","534.11","Finale B"
"Thilbault Rucher","K1H","117.57","-","539.8","Finale B"
"Antoine Przewrocki","K1H","118.46","-","551.57","Finale B"
"Jamie Whitehouse","K1H","119.09","-","559.9","Finale B"
"ThÉo Didier","K1H","121.02","1082.43","585.42","Finale B"
"Antoine Lanet","K1H","122","579.64","598.39","Finale B"
"Yves Nicot","K1H","122.15","712.33","600.37","Finale B"
"Maxime Bouvet","K1H","122.62","617.71","606.59","Finale B"
"Mattias Poirat","K1H","122.76","-","608.44","Finale B"
"Antoine Bougette","K1H","122.86","814.1","609.76","Finale B"
"Olivier Bourdet","K1H","128.79","744.39","688.19","Finale B"
"NaËl Rajoub","K1H","129.93","912.95","703.27","Finale B"
"Alexandre Dubrous","K1H","130.81","776.73","714.9","Finale B"
"Etienne Bennetot","K1H","131.1","852.85","718.74","Finale B"
"Bastien Hirat","K1H","131.8","864.32","728","Finale B"
"Morgan Deneuvy","K1H","134.65","1140.93","765.69","Finale B"
"Maurice Pubert","K1H","137.86","747.76","808.15","Finale B"
"Joseph Di Nisi","K1H","142.46","-","868.99","Finale B"
"Hadrien Plantecoste","K1H","143.47","-","882.34","Finale B"
"Nour Rajoub","K1H","143.57","1116.33","883.67","Finale B"
"Thomas Le Gall","K1H","164.93","451.92","1166.17","Finale B"
"Anthony Penaud","K1H","189.57","-","1492.05","Finale B"
"Alexis Proust","K1H","312.26","-","3114.72","Finale B"
"Thair Benzougar","K1HM","116.89","-","530.8","Finale B"
"Henri Chenu","K1HM","118.21","-","-","Finale B"
"Sylvain Decombe","K1HM","124.16","-","626.95","Finale B"
"Julien Brice","K1HM","125.63","-","-","Finale B"
"Adrien Latus","K1HM","126.39","-","656.45","Finale B"
"Tom Baubit","K1HM","132.55","-","-","Finale B"
"Martin Lassiste","K1HM","139.29","-","-","Finale B"
"Kevin Mousserion","K1HM","144.86","-","900.73","Finale B"
"Anatole La Soudiere","K1HM","148.67","-","951.12","Finale B"
"Maxime Cros","K1HM","161.55","-","-","Finale B"
"Mathias Roy","K1HM","Abs","-","-","Finale B"
