"Sélectif National 2 de Lochrist - Inzinzac Lochrist - 2009-04-19","Course 1","2009-04-19","Nationale 2","151"
"Valerie Sibioude","K1D","260.18","174","195",""
"Pauline Soenen","K1D","261.04","167","199",""
"Sylviane Quemerais","K1D","267.03","271","225",""
"Stephanie Le Mercier","K1D","268.22","205","230",""
"Erell Chardon Vivier","K1D","273.53","-","254",""
"Fanny Kerambrun","K1D","274.31","237","258",""
"Blanche Legin","K1D","274.44","274","259",""
"Helene Thuret","K1D","275.34","233","262",""
"Anais Coudrin","K1D","278.29","238","275",""
"Calypso Freichel","K1D","278.91","253","278",""
"Anais Couturier","K1D","280.19","290","284",""
"Ninon Couturier","K1D","285.74","351","309",""
"Laetitia Odermatt","K1D","289.94","308","327",""
"Claire Pichon","K1D","291.13","309","333",""
"Constance Martin","K1D","291.63","354","335",""
"Clemence Debien","K1D","308.49","330","411",""
"Kristell Bervet","K1D","313.58","360","433",""
"Julie Quesne","K1D","315.79","224","443",""
"Alize Bachelot","K1D","360.55","276","643",""
"Lucie Saucet","K1D","Abs","-","-",""
"Emilie Hernandez-brossard","K1D","Abs","-","-",""
"Erwan Cadio","K1H","206.48","87","75",""
"Yann Le Govic","K1H","206.95","91","76",""
"Antoine Launay","K1H","210.29","94","94",""
"Riwal Le Berre","K1H","211.83","123","102",""
"Lucas Kelifaoui","K1H","211.99","76","103",""
"Kevin Gouabault","K1H","212.05","118","103",""
"Kendaor Le Huitou","K1H","212.26","100","104",""
"Nicolas Coudert","K1H","213.20","83","108",""
"Laurent Rigaud","K1H","213.67","87","110",""
"Franck Delachair","K1H","214.11","141","113",""
"Alexandre Thomasseau","K1H","214.56","162","115",""
"Alexandre Di Nisi","K1H","215.21","122","118",""
"Anthony Mottais","K1H","215.67","106","121",""
"Xavier Jourdain","K1H","216.12","90","123",""
"Gregory Busson","K1H","216.24","103","124",""
"William Desnos","K1H","216.24","103","124",""
"Vincent Hannedouche","K1H","216.34","-","124",""
"Benjamin Thiboust","K1H","216.54","131","125",""
"Herve Busson","K1H","216.55","95","125",""
"Nicolas Rebours","K1H","217.77","82","132",""
"Vincent Froger","K1H","217.78","175","132",""
"Christophe Le Mercier","K1H","217.92","149","133",""
"Quentin De Fierville","K1H","218.64","116","136",""
"Romain Lecrenais-perrel","K1H","220.26","187","144",""
"Boris Pernelle","K1H","220.32","166","144",""
"Herve Launay","K1H","220.85","148","147",""
"Benjamin Thouvignon","K1H","221.38","103","150",""
"Romain Guyomard","K1H","222.00","163","153",""
"Valentin Brindeau","K1H","222.82","158","157",""
"Jean Yves Prigent","K1H","222.86","184","157",""
"Fabien Cambon","K1H","222.97","215","158",""
"Fabien Le Nechet","K1H","222.97","127","158",""
"Tristan Bronsard","K1H","223.87","183","163",""
"Louis-maxime Main","K1H","224.05","143","163",""
"Frederic Castryck","K1H","224.68","182","167",""
"Kilian Foulon","K1H","225.10","143","168",""
"Joris Rocher","K1H","225.11","180","168",""
"Paul Poulet","K1H","225.44","215","170",""
"Vincent Lemonnier","K1H","225.56","177","170",""
"Thibaud Delaunay","K1H","226.29","165","174",""
"Julien Dosse","K1H","226.39","123","175",""
"Anthony Cadoret","K1H","226.82","150","177",""
"Axel Marais","K1H","227.30","160","179",""
"Benoit Jouan","K1H","227.58","132","181",""
"Nicolas Carduner","K1H","227.88","180","182",""
"Alain Droniou","K1H","228.52","209","186",""
"Quentin Lyphout","K1H","228.75","171","187",""
"Mickael Louchard","K1H","229.34","187","190",""
"Pierre-yves Lebreton","K1H","229.48","227","191",""
"Jean Messialle","K1H","229.51","186","191",""
"Simon Boulan","K1H","229.64","192","192",""
"Pierre Yves Tanguy","K1H","230.57","197","196",""
"Etienne Legeay","K1H","231.25","195","199",""
"Philippe Niquet","K1H","233.52","206","211",""
"Eric Lamour","K1H","233.53","209","211",""
"Regis Cabel","K1H","234.12","218","214",""
"Valentin Cazin","K1H","234.20","218","214",""
"Riwal Chardon","K1H","235.18","213","220",""
"Julien Fougeron","K1H","235.44","222","221",""
"Lionel Tinevez","K1H","235.48","158","221",""
"Stephane Broute","K1H","235.69","183","222",""
"Erwan Beyou","K1H","237.19","206","229",""
"Sebastien Kerneis","K1H","237.48","178","231",""
"Emmanuel Moreau","K1H","238.50","205","236",""
"Michel Gombert","K1H","238.59","157","236",""
"Jacques Despierres","K1H","238.91","214","238",""
"Jeansebastien Simonklein","K1H","242.49","224","257",""
"Yves Lecointe","K1H","244.72","147","267",""
"Mathieu Godin","K1H","245.53","175","272",""
"Melen Pilorge","K1H","246.21","263","275",""
"Pierre Mikolajczak","K1H","246.58","272","277",""
"Solen Le Bourles","K1H","259.08","224","340",""
"Edern Le Ruyet","K1H","268.13","106","385",""
"Pierre Bontoux","K1H","272.23","124","407",""
"Anthony Thuillier","K1H","273.86","140","414",""
"Baptiste Granger","K1H","274.69","147","419",""
"Joffrey Lemeux","K1H","274.85","125","419",""
"Tangui Quemeneur","K1H","288.84","228","490",""
"Manuel Coquelin","K1H","373.35","183","917",""
"Bastien Belembert","K1H","Abs","-","-",""
"Quentin Moreaux","K1H","Abs","-","-",""
"Simon Despres","K1H","Abs","-","-",""
"Damien Caillon","K1H","Abs","-","-",""
"Melaine Pichard","K1H","Abs","-","-",""
