"Coupe de France N1 - Pau - 5ème Manche - 2004-05-15","5ème Manche","2004-05-15","Nationale 1","132"
"Pallud Renaud","K1H","190.42","38","39",""
"Samuel Hernanz","K1H","190.56","73","39",""
"Frederic Walczak","K1H","190.71","28","40",""
"Estanguet Aldric","K1H","191.39","43","42",""
"Sebastien Halilou","K1H","191.97","63","44",""
"Pierre Bourliaud","K1H","192.22","39","45",""
"Jean Christophe Boivin","K1H","192.51","47","46",""
"Thomas Jean Pascal","K1H","194.97","71","55",""
"Michael Guyon","K1H","195.25","103","56",""
"Thibaud Delaunay","K1H","195.58","63","57",""
"Benoit Rouffet","K1H","195.70","65","57",""
"Davy Egraz","K1H","197.96","61","65",""
"Matthieu Le Gall","K1H","198.01","47","65",""
"Boris Neveu","K1H","199.00","60","69",""
"Venceslas Viseur","K1H","200.50","55","74",""
"Piquard Gregoire","K1H","200.96","66","76",""
"Brogniart Arnaud","K1H","201.57","67","78",""
"Gregory Busson","K1H","201.64","92","78",""
"Damien Boudet","K1H","201.82","74","79",""
"Nicolas Coudert","K1H","202.01","106","79",""
"Roger Jeremie","K1H","202.55","69","81",""
"Lambert Guillaume","K1H","203.92","89","86",""
"Piquard Charles","K1H","204.17","75","87",""
"Cordonnier Raphael","K1H","204.26","93","87",""
"Bernard Babi","K1H","204.78","107","89",""
"Benoit Molinier","K1H","206.05","102","94",""
"Mathieu Le Gal","K1H","206.33","104","95",""
"Erwan Cadio","K1H","208.48","119","103",""
"Florian Berail","K1H","208.52","128","103",""
"Damien Laborde","K1H","208.64","65","103",""
"Jean Charles Creusot Walter","K1H","210.42","72","109",""
"Raphael Reveche","K1H","213.31","87","119",""
"Di Lauro Maxime","K1H","214.52","119","124",""
"Benoit Peschier","K1H","243.48","12","226",""
"Benoit Lepage","K1H","244.56","47","230",""
"Julien Tous","K1H","244.86","61","231",""
"Pierre Devaux","K1H","245.02","39","231",""
"Bernis Camille","K1H","245.40","47","233",""
"Cheutin Jean-Yves","K1H","246.05","17","235",""
"Benjamin Boukpeti","K1H","249.61","41","248",""
"Julien Arribe","K1H","252.18","52","257",""
"Benjamin Buys","K1H","258.94","115","281",""
"Christophe Augu","K1H","266.46","38","307",""
"Adrien Ferec","K1H","316.52","151","484",""
"Yoan Minvielle","K1H","329.50","81","530",""
"Ciaran Heurteau","K1H","371.00","130","676",""
"Lesquer David","K1H","384.14","89","723",""
"Aurelien Maynadier","K1H","396.47","40","766",""
