"Sélectif N2 du Pont des Grottes - St Pé de Bigorre - 2005-04-17","Course 1","2005-04-17","Nationale 2","177"
"Pierre Marie Roussel","K1H","220.57","162","180",""
"Florian Ordonneau","K1H","221.04","191","183",""
"Berthe Christophe","K1H","221.43","172","185",""
"Mehdi Amini","K1H","222.57","150","190",""
"Renaud Metereau","K1H","222.64","169","190",""
"Fabien Tournadre","K1H","223.48","166","194",""
"Mathieu Godin","K1H","223.93","220","196",""
"Christophe Le Mercier","K1H","224.17","173","198",""
"Thibaud Rottier","K1H","224.75","231","201",""
"Cedric Mace","K1H","225.11","214","202",""
"Kevin Gouabault","K1H","225.12","179","202",""
"Romain Chabrol","K1H","225.14","207","202",""
"Olivier Mourasse","K1H","225.39","236","203",""
"Childeric Thoreau","K1H","225.73","175","205",""
"Marc Laborde","K1H","226.21","196","208",""
"Court Germain","K1H","226.49","210","208",""
"Hafiz Ali Hassan","K1H","226.59","141","209",""
"Yves Lecointe","K1H","227.00","230","211",""
"Jeremy Wagner","K1H","227.64","138","215",""
"Jean-francois Souville","K1H","228.23","177","217",""
"Bastien Dantin","K1H","228.62","248","219",""
"Etienne Baudu","K1H","228.73","232","220",""
"Vaillant Tiphaine","K1H","228.77","353","220",""
"Ludovic Gloaguen","K1H","228.91","199","221",""
"Pascal Poitiers","K1H","231.36","196","232",""
"Gwenael Marquer","K1H","232.62","229","238",""
"Alain Droniou","K1H","232.81","200","239",""
"Jonathan Delagnes","K1H","232.94","203","240",""
"Christophe Gosselin","K1H","235.25","206","251",""
"Philippe Niquet","K1H","236.22","237","256",""
"Courtille Arnaud","K1H","237.23","197","260",""
"Morvan Antoine","K1H","237.27","224","260",""
"Jeremy Vibert","K1H","238.31","286","266",""
"Nicolas Masson","K1H","238.73","210","267",""
"Zoungrana Sebastien","K1H","239.95","176","274",""
"Larenaudie Sebastien","K1H","243.24","241","289",""
"Yannick Besse","K1H","247.24","228","309",""
"Loic Froissard","K1H","250.93","261","326",""
"Emmanuel Cosse","K1H","251.09","233","327",""
"Florent Boulet","K1H","266.98","138","404",""
"Anthony Cadoret","K1H","269.03","180","413",""
"Benoit Guillaume","K1H","271.47","112","425",""
"Yoann Hautecloche","K1H","272.21","146","428",""
"Clerc Pierrealain","K1H","284.28","230","486",""
"Nicolas Carduner","K1H","287.60","159","502",""
"Remy Guerinet","K1H","295.85","187","542",""
"Franck Peyrical","K1H","303.49","195","579",""
"Luc Doye","K1H","319.03","125","654",""
