"Championnat de France Slalom Elite - Stade D'eau Vive Pau-pyrénées - Course 1 - Demi-finale - 2016-04-05","Course 1 - Demi-finale","2016-04-05","Championnats de France","147"
"Carole Bouzidi","K1D","104.62","22.7","15.23",""
"Solene Graille","K1D","107.72","98.25","40.83",""
"Nouria Newman","K1D","110.26","53.16","61.82",""
"Berenice Kolenc","K1D","110.37","61.61","62.72",""
"Flora Huvelin","K1D","111.97","60.87","75.94",""
"Emilie Fer","K1D","112.88","19.29","83.46",""
"Romane Prigent","K1D","113.14","103.19","85.61",""
"Emeline Oudet","K1D","114.14","148.84","93.87",""
"Lea Turmeau","K1D","114.3","131.97","95.18",""
"Camille Prigent","K1D","115.01","57.63","101.05",""
"Estelle Mangin","K1D","115.14","29.31","102.13",""
"Lucie Baudu","K1D","115.35","53.83","103.86",""
"Pauline Guiet","K1D","117.09","33.99","118.23",""
"Julie Neime","K1D","119.51","83.93","138.22",""
"Fanchon Janssen","K1D","119.64","163.9","139.3",""
"Estelle Hellard","K1D","120.8","72.22","148.88",""
"Elise Pierron","K1D","123.11","192.34","167.96",""
"Marine Leveque","K1D","123.31","78.77","169.61",""
"Natacha Delassus","K1D","126.02","152.12","192",""
"Agathe Chaumet","K1D","130.91","163.15","232.4",""
"Lisa Mouffle","K1D","132.83","112.45","248.26",""
"Joey Bercon","K1D","133.76","130.24","255.94",""
"Claire Gaigeot","K1D","134.04","117.93","258.24",""
"Joana Palermo","K1D","139.92","121.47","306.82",""
"Anais Bernardy","K1D","143.12","180.4","333.25",""
"Lucie Prioux","K1D","169.28","100.55","549.34",""
"Laura Combot","K1D","175.05","95.44","597",""
"Boris Neveu","K1H","93.47","34.52","23.5",""
"Sebastien Combot","K1H","93.53","21.4","24.06",""
"Pierre Bourliaud","K1H","94.6","23.75","34.04",""
"Mathieu Biazizzo","K1H","94.92","14.36","37.03",""
"Benjamin Renia","K1H","94.95","21.63","37.31",""
"Nicolas Abbal","K1H","95.01","73.47","37.87",""
"Benoit Guillaume","K1H","95.36","28.79","41.14",""
"Etienne Daille","K1H","95.79","34.35","45.15",""
"Quentin Burgi","K1H","96.26","27.64","49.54",""
"Vivien Colober","K1H","96.31","11.76","50.01",""
"Clement Travert","K1H","96.35","57.46","50.38",""
"Enrick Cunsolo","K1H","96.47","70.93","51.5",""
"Quentin Mignard","K1H","97.97","80.04","65.5",""
"Pol Oulhen","K1H","98.27","51.19","68.3",""
"Mathieu Desnos","K1H","98.37","52.28","69.23",""
"Yann Le Govic","K1H","98.7","46.42","72.31",""
"Tom Scianimanico","K1H","98.88","52.92","73.99",""
"Goulwen Chapelier","K1H","98.93","54.55","74.46",""
"Thomas Rosset","K1H","99.27","34.41","77.64",""
"Mathys Huvelin","K1H","99.66","79.31","81.28",""
"Ludovic Di Nisi","K1H","99.91","37.38","83.61",""
"Mathurin Madore","K1H","100.16","73.62","85.94",""
"Paul Cornut-chauvinc","K1H","100.18","104.48","86.13",""
"Guillaume Graille","K1H","100.57","69.94","89.77",""
"Edgar Prigent","K1H","100.88","86.92","92.66",""
"Jonas Turmeau","K1H","100.88","89.77","92.66",""
"Thomas Schmitt","K1H","101.25","63.68","96.12",""
"Malo Quemeneur","K1H","101.34","73.79","96.96",""
"Alan Dollo","K1H","101.93","112.52","102.46",""
"Kendaor Le Huitou","K1H","102.26","115.18","105.54",""
"Loic Bertoia","K1H","102.5","159.2","107.78",""
"Valentin Brindeau","K1H","103.26","131.68","114.88",""
"Pol Euzenes","K1H","103.46","121.35","116.75",""
"Pierre Giudicelli","K1H","103.55","104.55","117.59",""
"Bertrand Gutierrez","K1H","103.96","91.63","121.41",""
"Charlie Barbier","K1H","105.13","108.71","132.33",""
"Thomas Durand","K1H","106.1","127.88","141.39",""
"Lucas Latimier","K1H","106.74","170.6","147.36",""
"Alexandre Lucas","K1H","106.93","121.66","149.14",""
"Maxime Bottex","K1H","107.89","87.07","158.1",""
"Gurgen Brun","K1H","109.32","83.49","171.44",""
"Nicolas Bernardy","K1H","117.11","190.22","244.16",""
"Sebastien Nouvel","K1H","117.89","120.71","251.44",""
"Boris Chenal","K1H","149.97","74.17","550.88",""
"William Desnos","K1H","149.99","79.86","551.07",""
"Sami Rocher","K1H","151.93","81.44","569.17",""
"Louison Turmeau","K1H","152.43","78.07","573.84",""
"Samuel Lhegu","K1H","153.16","95.03","580.66",""
"Martin Daviet","K1H","156.67","63.32","613.42",""
"Thibault Marchand","K1H","157.17","85.52","618.09",""
"Romain Faurie","K1H","163.04","76.66","672.88",""
"Benjamin Jacon","K1H","201.96","94.35","1036.17",""
"Titouan Dupras","K1H","248.58","103.18","1471.33",""
"Pierre Hellard","K1H","DNF","-","-",""
